Strategy,Weight,Weight_Pct
Volatility Factor,0.24975117058927565,24.975117058927566
Breakout Signal,0.14708690266679209,14.70869026667921
Beta Factor (BAB),0.13564757429667548,13.564757429667548
Leverage Inverted,0.11751435244840129,11.75143524484013
Dilution Factor,0.050000000000118096,5.000000000011809
Size Factor,0.04999999999978957,4.999999999978956
Mean Reversion,0.04999999999978957,4.999999999978956
Kurtosis Factor,0.04999999999978957,4.999999999978956
Days from High,0.04999999999978957,4.999999999978956
Carry Factor,0.04999999999978957,4.999999999978956
ADF (Blended),0.04999999999978957,4.999999999978956
