Strategy,Weight,Weight_Pct
Kurtosis Factor,0.6171790541923496,61.71790541923497
Breakout Signal,0.058199809870278174,5.819980987027817
Mean Reversion,0.036069015104152446,3.606901510415245
Size Factor,0.036069015104152446,3.606901510415245
Carry Factor,0.036069015104152446,3.606901510415245
Days from High,0.036069015104152446,3.606901510415245
Volatility Factor,0.036069015104152446,3.606901510415245
Beta Factor (BAB),0.036069015104152446,3.606901510415245
ADF (Blended),0.036069015104152446,3.606901510415245
Leverage Inverted,0.036069015104152446,3.606901510415245
Dilution Factor,0.036069015104152446,3.606901510415245
