date,n_coins,avg_weight,max_weight,min_weight,weight_concentration
2024-01-01,3,0.3333333333333334,0.36831954030966,0.2691202444465256,0.33953489942251813
2024-02-01,3,0.3333333333333333,0.45936657401141945,0.18846957169855638,0.37055780904363156
2024-03-01,3,0.3333333333333333,0.3548209852826884,0.3075113813710281,0.33448061187937583
2024-04-01,3,0.3333333333333333,0.46087925972501265,0.19507111621114492,0.36883257624300897
2024-05-01,3,0.3333333333333333,0.44482374453743745,0.1837530879386859,0.3695885304047797
2024-06-01,3,0.3333333333333333,0.4066502203568296,0.2021809696394011,0.35925458412035144
2024-07-01,3,0.3333333333333333,0.38761548703312254,0.28006448813381213,0.3391184822066281
2024-08-01,3,0.3333333333333333,0.5180749275931741,0.1501625408521639,0.4010167966194084
2024-09-01,3,0.3333333333333333,0.47981140450809306,0.17224870247759522,0.3809507685520547
2024-10-01,3,0.3333333333333333,0.36551667481987943,0.27631528586171095,0.33823692116141435
2024-11-01,3,0.3333333333333333,0.4255432823251401,0.2542327347248126,0.3482647677941031
2024-12-01,3,0.3333333333333333,0.3428374405457156,0.31844245173849167,0.3336744170801569
2025-01-01,3,0.3333333333333333,0.35071156745967774,0.3190590409287469,0.33384872623254713
2025-02-01,4,0.25,0.2711043676752983,0.23728852016796925,0.2506578709684462
2025-03-01,4,0.25,0.29192061462783325,0.202553511104487,0.2550444353536526
2025-04-01,4,0.24999999999999997,0.3327861482131531,0.16317035286801537,0.26871190652636845
2025-05-01,4,0.25,0.3390723568897761,0.16575110026423162,0.2707418368968447
2025-06-01,4,0.25,0.3343339183758253,0.17341234486911963,0.26631830788206395
2025-07-01,5,0.2,0.2720446950415956,0.12614689830895326,0.21631990941838988
2025-08-01,5,0.2,0.2456336229450678,0.11410789665206651,0.21173526580786906
2025-09-01,5,0.20000000000000004,0.2465957222852501,0.13364316689296832,0.2070678960216928
2025-10-01,5,0.2,0.27381547413887386,0.11001116244901274,0.21637829342132647
