Decile,EQ_Return,RP_Return,Return_Diff,EQ_Sharpe,RP_Sharpe,Sharpe_Diff,EQ_Vol,RP_Vol,Vol_Diff,EQ_MaxDD,RP_MaxDD,MaxDD_Diff
1,-27.516124928060936,4.624872513043199,32.14099744110413,-0.25883863561967,0.054518655021262,0.31335729064093204,106.30609631435522,84.83100896820578,-21.475087346149436,-97.95837875328256,-66.65013859426502,31.308240159017544
2,118.85966394246914,-12.06299293383012,-130.92265687629927,1.0001254704151057,-0.1357205782503371,-1.1358460486654427,118.84475244204712,88.8810900258609,-29.963662416186224,-90.20266864722664,-72.26662047001889,17.936048177207752
3,-24.832030893513146,9.300681284491064,34.13271217800421,-0.3124709838595552,0.1460117288118186,0.45848271267137375,79.46987776847234,63.698179318716754,-15.77169844975559,-93.5741753920339,-51.18666497320683,42.38751041882706
4,-19.8060852456304,47.43686356392607,67.24294880955647,-0.2297974759528393,0.6267964325050015,0.8565939084578408,86.1893071867123,75.6814511121959,-10.507856074516397,-93.54250417128765,-50.92012378060136,42.62238039068629
5,38.39921636251857,111.9296907171282,73.53047435460962,0.4174820533258109,1.3007909731468232,0.8833089198210123,91.97812470408422,86.04740732967436,-5.930717374409866,-88.21321433413394,-57.4483380029215,30.764876331212434
6,-3.754838677066219,35.17435583267488,38.929194509741095,-0.0391398192055072,0.400017001031743,0.43915682023725017,95.93398112932223,87.9321522384086,-8.001828890913629,-90.80466696869728,-64.63172463049854,26.172942338198737
7,-45.30466816025282,-0.6543947512083093,44.65027340904451,-0.4160968815162434,-0.00735372352008,0.4087431579961634,108.880095412309,88.98821793087869,-19.891877481430313,-98.85969688619592,-69.32492903294867,29.534767853247246
8,-19.361155257071506,-37.48836879679731,-18.127213539725805,-0.1733677711896531,-0.4069559129813944,-0.23358814179174128,111.67678470003312,92.11899274826666,-19.55779195176646,-94.2821578397606,-81.90262198894006,12.379535850820545
9,-23.70952626999536,-29.400993088360604,-5.691466818365242,-0.2296189665842851,-0.297437838095149,-0.06781887151086391,103.25595756608554,98.8475214742361,-4.408436091849438,-92.99534151769596,-77.12686747727474,15.86847404042122
10,-11.059550846634082,-28.1088459087284,-17.04929506209432,-0.1039980257983764,-0.2823834011705953,-0.17838537537221888,106.34385375810412,99.5414241495983,-6.802429608505818,-92.85775037905532,-83.43088456267613,9.426865816379191
