symbol,timestamp,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,spread_pct,total_bid_liquidity_usd,total_ask_liquidity_usd,total_bid_size,total_ask_size,avg_bid_price,avg_ask_price,depth_levels,total_liquidity
BTC/USDC:USDC,2025-11-02 19:38:23.912,109959.0,14.34133,109960.0,0.26375,109959.5,1.0,0.0009094298784092254,3484074.97074,1303246.01338,31.687369999999998,11.8506,109951.53497245118,109972.99827688049,20,4787320.98412
ETH/USDC:USDC,2025-11-02 19:38:23.912,3842.0,0.1812,3842.1,188.5962,3842.05,0.09999999999990905,0.002602811035916425,5268368.2223499995,6595085.84036,1371.676,1716.0751,3840.82554652119,3843.121924186185,20,11863454.062709998
ATOM/USDC:USDC,2025-11-02 19:38:23.912,2.9531,80.0,2.9542,96.51,2.95365,0.001100000000000101,0.03724899258406762,20488.970660000003,39070.933234,6942.03,13216.77,2.9514379309798437,2.9561635130217137,20,59559.903894
DYDX/USDC:USDC,2025-11-02 19:38:23.912,0.30948,4535.1,0.30987,5148.7,0.309675,0.00039000000000000146,0.12601783637068678,87277.99489199999,49322.781332,282771.3,158578.8,0.3086522390780111,0.31103010826163396,20,136600.77622399997
SOL/USDC:USDC,2025-11-02 19:38:24.417,183.06,1990.62,183.07,2.3,183.065,0.009999999999990905,0.005462689828466571,4406341.0002999995,3198287.3475,24081.04,17459.01,182.97968029204716,183.1883564703841,20,7604628.3478
AVAX/USDC:USDC,2025-11-02 19:38:24.417,18.096,120.87,18.099,558.73,18.0975,0.0030000000000001137,0.016578249336870656,273979.88879,232695.61148000002,15150.0,12849.66,18.084481108250824,18.10908704821762,20,506675.50027
BNB/USDC:USDC,2025-11-02 19:38:24.417,1074.9,38.969,1075.0,0.355,1074.95,0.09999999999990905,0.009303190994502655,1090467.671,952278.0723,1015.361,884.9879999999999,1073.9704115088132,1076.0350109831998,20,2042745.7433000002
APE/USDC:USDC,2025-11-02 19:38:24.919,0.39874,3000.0,0.39891,400.0,0.398825,0.00017000000000000348,0.04263429803882317,73997.53906699999,37028.354412,185827.9,92750.5,0.39820467791434977,0.39922538867175916,20,111025.89347899999
OP/USDC:USDC,2025-11-02 19:38:24.919,0.40578,2000.0,0.40613,400.0,0.40595499999999995,0.00035000000000001696,0.08625363497462098,57549.819803,117367.56820899999,141974.6,288509.0,0.4053529279392229,0.40680730309626384,20,174917.38801199998
LTC/USDC:USDC,2025-11-02 19:38:24.919,97.833,16.0,97.866,25.54,97.8495,0.03300000000000125,0.033730949679557254,112657.00121,91097.50135,1151.97,930.68,97.79508251951006,97.8827323569863,20,203754.50256
ARB/USDC:USDC,2025-11-02 19:38:24.919,0.29674,337.0,0.29676,337.0,0.29675,2.0000000000020002e-05,0.006739906989290287,113853.300376,97417.02187,383947.0,328097.0,0.2965338975848229,0.2969153081862986,20,211270.322246
DOGE/USDC:USDC,2025-11-02 19:38:24.919,0.1825,3491.0,0.18251,23984.0,0.182505,1.0000000000010001e-05,0.005479452054800001,1394306.90717,975643.87015,7644025.0,5342233.0,0.1824048073063602,0.18262847579841612,20,2369950.77732
INJ/USDC:USDC,2025-11-02 19:38:24.919,7.5097,35.4,7.5154,31.2,7.512549999999999,0.005700000000000038,0.07590183362850765,66937.31652000001,84455.39353,8920.7,11230.5,7.5035946192563365,7.520181072080495,20,151392.71005
SUI/USDC:USDC,2025-11-02 19:38:25.431,2.2961,1953.9,2.2962,2887.4,2.29615,9.999999999976694e-05,0.004355211009963283,360803.00784,250875.35785,157224.19999999998,109200.8,2.2948312526951957,2.2973765563072797,20,611678.36569
KPEPE/USDC:USDC,2025-11-02 19:38:25.431,0.006516,137758.0,0.006517,1182975.0,0.0065165,1.0000000000001327e-06,0.015346838551260478,783178.469254,1693118.575307,120375809.0,259424513.0,0.0065061117824263175,0.006526440218496237,20,2476297.044561
CRV/USDC:USDC,2025-11-02 19:38:25.431,0.46304,1225.8,0.46326,5400.0,0.46315,0.00021999999999999797,0.04751209398756003,17646.608036999998,51369.689541,38124.9,110822.40000000001,0.46286306421787327,0.46353164649926365,20,69016.297578
LDO/USDC:USDC,2025-11-02 19:38:25.431,0.86085,2000.0,0.86103,2000.0,0.86094,0.00017999999999995797,0.020909566126497994,78249.004398,58002.657926,90951.5,67321.2,0.8603377008405579,0.8615808679286763,20,136251.662324
LINK/USDC:USDC,2025-11-02 19:38:25.937,17.0,138.8,17.001,193.3,17.000500000000002,0.0010000000000012221,0.00588235294118366,342181.01300000004,300204.1411,20141.8,17644.0,16.988601465608834,17.014517178644297,20,642385.1541
STX/USDC:USDC,2025-11-02 19:38:25.937,0.41533,8088.3,0.41566,2106.9,0.41549499999999995,0.00032999999999999696,0.07945489129126164,101434.398573,125271.831368,244532.2,301086.2,0.4148099864680398,0.4160663337210407,20,226706.229941
CFX/USDC:USDC,2025-11-02 19:38:25.937,0.10045,10000.0,0.10048,1014.0,0.100465,3.0000000000002247e-05,0.029865604778499002,73469.80959,95194.22574,732607.0,945150.0,0.10028543214847797,0.10071864332645611,20,168664.03532999998
GMX/USDC:USDC,2025-11-02 19:38:25.937,9.6515,100.0,9.6583,50.0,9.654900000000001,0.006800000000000139,0.0704553696316649,57934.468833,38252.809331000004,6010.62,3957.09,9.638684334228415,9.666904045902418,20,96187.278164
SNX/USDC:USDC,2025-11-02 19:38:26.466,1.0004,488.5,1.0012,428.3,1.0008,0.0008000000000001339,0.07996801279489543,40464.244786,95246.73797,40489.5,95009.0,0.9993762527568877,1.0025022678904103,20,135710.982756
XRP/USDC:USDC,2025-11-02 19:38:26.466,2.4775,1864.0,2.4776,3915.0,2.47755,9.999999999976694e-05,0.004036326942472934,1467021.0338,1856805.03,592411.0,749111.0,2.4763568431376193,2.4786780997742657,20,3323826.0638
BCH/USDC:USDC,2025-11-02 19:38:26.466,532.3,4.0,532.42,24.852,532.3599999999999,0.12000000000000455,0.022543678376856013,132184.23744,79644.80275,248.46200000000002,149.544,532.009874507973,532.5844082678008,20,211829.04019
APT/USDC:USDC,2025-11-02 19:38:26.466,3.2624,613.13,3.2625,674.37,3.2624500000000003,0.00010000000000021103,0.0030652280529736096,62049.317984,59373.106273,19028.49,18187.05,3.2608639983519447,3.264581461699396,20,121422.424257
