symbol,timestamp,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,spread_pct,total_bid_liquidity_usd,total_ask_liquidity_usd,total_bid_size,total_ask_size,avg_bid_price,avg_ask_price,depth_levels,total_liquidity
AAVE/USDC:USDC,2025-11-02 19:38:26.466,225.0,6.0,225.1,7.9,225.05,0.09999999999999432,0.04444444444444192,265974.5146,219503.2402,1182.74,974.68,224.8799521450192,225.20544199121764,20,485477.7548
COMP/USDC:USDC,2025-11-02 19:38:27.001,34.811,28.99,34.837,30.0,34.824,0.026000000000003354,0.07468903507512957,112198.99183,72126.65711,3230.35,2065.52,34.732766365873665,34.91936999399667,20,184325.64893999998
WLD/USDC:USDC,2025-11-02 19:38:27.001,0.8216,5173.8,0.82171,2000.0,0.821655,0.0001100000000000545,0.013388510223959895,123435.225499,95777.493814,150317.8,116462.40000000001,0.8211617353300806,0.8223898340923765,20,219212.71931299998
FXS/USDC:USDC,2025-11-02 19:38:27.001,1.3077,1928.1,1.3088,2327.9,1.3082500000000001,0.0010999999999998789,0.08411715225203631,89269.60865,70146.35717,68412.0,53518.2,1.3048823108518972,1.3107009796667304,20,159415.96581999998
YGG/USDC:USDC,2025-11-02 19:38:27.550,0.11781,5000.0,0.11792,4913.0,0.117865,0.00010999999999999899,0.09337068160597486,79721.20762,63269.37618,677643.0,535679.0,0.11764484783285595,0.11811061508851382,20,142990.5838
TRX/USDC:USDC,2025-11-02 19:38:27.550,0.29538,13384.0,0.29543,15101.0,0.29540500000000003,5.0000000000050004e-05,0.01692734782316,158652.34088,205391.50326,537338.0,694905.0,0.29525613464895467,0.2955677441664688,20,364043.84414
KSHIB/USDC:USDC,2025-11-02 19:38:27.550,0.009953,325765.0,0.009955,151563.0,0.009954000000000001,2.0000000000002655e-06,0.020094443886268114,355170.952558,316761.560815,35724082.0,31788026.0,0.00994205960444274,0.009964807528941872,20,671932.513373
UNI/USDC:USDC,2025-11-02 19:38:27.550,5.7288,705.1,5.7301,17.5,5.72945,0.001300000000000523,0.02269236140204795,48972.07167,78800.36035999999,8553.1,13745.4,5.72565171341385,5.732853198888355,20,127772.43203
SEI/USDC:USDC,2025-11-02 19:38:27.550,0.18838,1327.0,0.18842,20151.0,0.1884,4.000000000001225e-05,0.021233676611111717,190782.07716000002,144667.72299,1013756.0,767059.0,0.18819329025919454,0.18860051572304087,20,335449.80015
RUNE/USDC:USDC,2025-11-02 19:38:28.073,0.84689,120.0,0.84826,156.0,0.847575,0.0013699999999999823,0.16176835244246388,90421.059421,68418.998697,106916.2,80506.1,0.8457189782371615,0.8498610502433976,20,158840.058118
ZRO/USDC:USDC,2025-11-02 19:38:28.073,1.5913,2700.0,1.5917,1639.0,1.5915,0.00039999999999995595,0.025136680701310622,95356.38002000001,42294.09107,59993.5,26547.5,1.5894451902289417,1.5931477943309165,20,137650.47109
DOT/USDC:USDC,2025-11-02 19:38:28.073,2.8854,1599.6,2.8878,18887.2,2.8866,0.0023999999999997357,0.08317737575378581,133726.41452999998,232634.73085,46377.799999999996,80455.5,2.883414360534566,2.8914708236229965,20,366361.14538
BANANA/USDC:USDC,2025-11-02 19:38:28.073,11.895,100.0,11.898,227.4,11.8965,0.0030000000000001137,0.02522068095838683,43461.1412,56649.0435,3658.3,4744.6,11.880146844162589,11.939687961050456,20,100110.1847
TRB/USDC:USDC,2025-11-02 19:38:28.616,25.799,50.0,25.803,122.05,25.801000000000002,0.004000000000001336,0.015504476917715167,48963.79969,44452.75238,1899.15,1721.41,25.781954921938762,25.823454249713894,20,93416.55207
FTT/USDC:USDC,2025-11-02 19:38:28.616,0.90244,300.0,0.90286,385.5,0.90265,0.00041999999999997595,0.04654049022649438,37372.678137,45627.794112999996,42200.0,49155.1,0.8856084866587678,0.9282413038118119,20,83000.47224999999
ARK/USDC:USDC,2025-11-02 19:38:28.616,0.31011,1000.0,0.31029,161.0,0.31020000000000003,0.00018000000000001348,0.05804391989939489,74549.68749,54628.511679999996,241802.0,175553.0,0.3083088125408392,0.31117959636121284,20,129178.19916999999
BIGTIME/USDC:USDC,2025-11-02 19:38:28.616,0.030092,20000.0,0.030116,20000.0,0.030104,2.3999999999999716e-05,0.07975541672205143,168410.42019,105361.891591,5607557.0,3491982.0,0.030032761181027674,0.030172518527014174,20,273772.311781
KAS/USDC:USDC,2025-11-02 19:38:28.616,0.050851,60707.0,0.050866,10000.0,0.0508585,1.5000000000001124e-05,0.02949794497650218,85240.247822,97600.383424,1678371.0,1916444.0,0.050787488476624065,0.050927855666014765,20,182840.631246
BLUR/USDC:USDC,2025-11-02 19:38:28.616,0.048278,1200.0,0.048321,20000.0,0.0482995,4.300000000000137e-05,0.089067484154276,74496.140695,118833.055925,1546618.0,2454146.0,0.04816712381143889,0.04842134735463986,20,193329.19662
TIA/USDC:USDC,2025-11-02 19:38:29.250,0.93207,523.6,0.93223,1944.8,0.93215,0.000160000000000049,0.017166092675448087,55887.272783,71973.93926300001,59991.4,77159.5,0.9315880740072744,0.9327942672386421,20,127861.212046
BSV/USDC:USDC,2025-11-02 19:38:29.250,21.978,4.61,21.99,66.1,21.984,0.011999999999996902,0.0546000546000405,108309.61817,106914.34624,4938.4400000000005,4846.13,21.93194979993682,22.06179905202708,20,215223.96441000002
ADA/USDC:USDC,2025-11-02 19:38:29.250,0.59461,1663.0,0.59474,2810.0,0.5946750000000001,0.0001300000000000745,0.021863069911383006,127191.15794,100390.33104,213954.0,168751.0,0.5944789905306749,0.594902140076207,20,227581.48898000002
TON/USDC:USDC,2025-11-02 19:38:29.726,2.2834,859.0,2.2837,875.8,2.28355,0.000300000000000189,0.013138302531321233,86661.56487,90881.89084000001,37969.7,39769.9,2.282387400216489,2.28519284282837,20,177543.45571
MINA/USDC:USDC,2025-11-02 19:38:29.726,0.14314,23412.0,0.1434,5000.0,0.14327,0.0002600000000000102,0.18164035210284354,126425.43919,144558.62032,885803.0,1005072.0,0.14272410365510166,0.14382911902828852,20,270984.05951
POLYX/USDC:USDC,2025-11-02 19:38:29.726,0.079754,31779.0,0.079917,626.0,0.0798355,0.00016299999999999648,0.20437846377610713,77224.967307,104543.139299,987600.0,1283427.0,0.07819458010024301,0.08145624121901753,20,181768.106606
