date,symbol,high,rolling_200d_high,days_since_200d_high
2025-09-17,0G/USDC:USDC,3.2,3.2,0
2025-09-18,0G/USDC:USDC,3.6399,3.6399,0
2025-09-19,0G/USDC:USDC,3.01,3.6399,1
2025-09-20,0G/USDC:USDC,2.853,3.6399,2
2025-09-21,0G/USDC:USDC,3.65,3.65,0
2025-09-22,0G/USDC:USDC,6.6666,6.6666,0
2025-09-23,0G/USDC:USDC,7.0744,7.0744,0
2025-09-24,0G/USDC:USDC,5.8289,7.0744,1
2025-09-25,0G/USDC:USDC,4.9895,7.0744,2
2025-09-26,0G/USDC:USDC,4.28,7.0744,3
2025-09-27,0G/USDC:USDC,3.9714,7.0744,4
2025-09-28,0G/USDC:USDC,3.864,7.0744,5
2025-09-29,0G/USDC:USDC,3.777,7.0744,6
2025-09-30,0G/USDC:USDC,2.8735,7.0744,7
2025-10-01,0G/USDC:USDC,2.9866,7.0744,8
2025-10-02,0G/USDC:USDC,2.8358,7.0744,9
2025-10-03,0G/USDC:USDC,3.4017,7.0744,10
2025-10-04,0G/USDC:USDC,3.3339,7.0744,11
2025-10-05,0G/USDC:USDC,3.0615,7.0744,12
2025-10-06,0G/USDC:USDC,3.2004,7.0744,13
2025-10-07,0G/USDC:USDC,3.0527,7.0744,14
2025-10-08,0G/USDC:USDC,2.8594,7.0744,15
2025-10-09,0G/USDC:USDC,2.7969,7.0744,16
2025-10-10,0G/USDC:USDC,2.7979,7.0744,17
2025-10-11,0G/USDC:USDC,2.427,7.0744,18
2025-10-12,0G/USDC:USDC,2.3152,7.0744,19
2025-10-13,0G/USDC:USDC,2.3703,7.0744,20
2025-10-14,0G/USDC:USDC,2.3563,7.0744,21
2025-10-15,0G/USDC:USDC,2.2054,7.0744,22
2025-10-16,0G/USDC:USDC,2.0863,7.0744,23
2025-10-02,2Z/USDC:USDC,0.88482,0.88482,0
2025-10-03,2Z/USDC:USDC,0.61807,0.88482,1
2025-10-04,2Z/USDC:USDC,0.52961,0.88482,2
2025-10-05,2Z/USDC:USDC,0.51431,0.88482,3
2025-10-06,2Z/USDC:USDC,0.4981,0.88482,4
2025-10-07,2Z/USDC:USDC,0.50265,0.88482,5
2025-10-08,2Z/USDC:USDC,0.43706,0.88482,6
2025-10-09,2Z/USDC:USDC,0.41227,0.88482,7
2025-10-10,2Z/USDC:USDC,0.3726,0.88482,8
2025-10-11,2Z/USDC:USDC,0.28092,0.88482,9
2025-10-12,2Z/USDC:USDC,0.26774,0.88482,10
2025-10-13,2Z/USDC:USDC,0.28884,0.88482,11
2025-10-14,2Z/USDC:USDC,0.29398,0.88482,12
2025-10-15,2Z/USDC:USDC,0.28972,0.88482,13
2025-10-16,2Z/USDC:USDC,0.27322,0.88482,14
2025-03-31,AAVE/USDC:USDC,164.51,164.51,0
2025-04-01,AAVE/USDC:USDC,171.4,171.4,0
2025-04-02,AAVE/USDC:USDC,169.0,171.4,1
2025-04-03,AAVE/USDC:USDC,157.12,171.4,2
2025-04-04,AAVE/USDC:USDC,154.2,171.4,3
2025-04-05,AAVE/USDC:USDC,155.57,171.4,4
2025-04-06,AAVE/USDC:USDC,152.65,171.4,5
2025-04-07,AAVE/USDC:USDC,136.09,171.4,6
2025-04-08,AAVE/USDC:USDC,136.08,171.4,7
2025-04-09,AAVE/USDC:USDC,144.92,171.4,8
2025-04-10,AAVE/USDC:USDC,143.27,171.4,9
2025-04-11,AAVE/USDC:USDC,139.41,171.4,10
2025-04-12,AAVE/USDC:USDC,150.04,171.4,11
2025-04-13,AAVE/USDC:USDC,148.27,171.4,12
2025-04-14,AAVE/USDC:USDC,147.04,171.4,13
2025-04-15,AAVE/USDC:USDC,142.12,171.4,14
2025-04-16,AAVE/USDC:USDC,137.33,171.4,15
2025-04-17,AAVE/USDC:USDC,141.45,171.4,16
2025-04-18,AAVE/USDC:USDC,141.08,171.4,17
2025-04-19,AAVE/USDC:USDC,142.95,171.4,18
2025-04-20,AAVE/USDC:USDC,143.3,171.4,19
2025-04-21,AAVE/USDC:USDC,146.0,171.4,20
2025-04-22,AAVE/USDC:USDC,158.85,171.4,21
2025-04-23,AAVE/USDC:USDC,168.85,171.4,22
2025-04-24,AAVE/USDC:USDC,170.66,171.4,23
2025-04-25,AAVE/USDC:USDC,170.58,171.4,24
2025-04-26,AAVE/USDC:USDC,173.05,173.05,0
2025-04-27,AAVE/USDC:USDC,179.22,179.22,0
2025-04-28,AAVE/USDC:USDC,174.88,179.22,1
2025-04-29,AAVE/USDC:USDC,171.21,179.22,2
2025-04-30,AAVE/USDC:USDC,166.97,179.22,3
2025-05-01,AAVE/USDC:USDC,179.39,179.39,0
2025-05-02,AAVE/USDC:USDC,179.24,179.39,1
2025-05-03,AAVE/USDC:USDC,181.12,181.12,0
2025-05-04,AAVE/USDC:USDC,178.95,181.12,1
2025-05-05,AAVE/USDC:USDC,180.73,181.12,2
2025-05-06,AAVE/USDC:USDC,179.0,181.12,3
2025-05-07,AAVE/USDC:USDC,179.92,181.12,4
2025-05-08,AAVE/USDC:USDC,208.75,208.75,0
2025-05-09,AAVE/USDC:USDC,221.22,221.22,0
2025-05-10,AAVE/USDC:USDC,230.52,230.52,0
2025-05-11,AAVE/USDC:USDC,230.63,230.63,0
2025-05-12,AAVE/USDC:USDC,229.67,230.63,1
2025-05-13,AAVE/USDC:USDC,238.69,238.69,0
2025-05-14,AAVE/USDC:USDC,239.51,239.51,0
2025-05-15,AAVE/USDC:USDC,235.48,239.51,1
2025-05-16,AAVE/USDC:USDC,245.0,245.0,0
2025-05-17,AAVE/USDC:USDC,231.83,245.0,1
2025-05-18,AAVE/USDC:USDC,244.08,245.0,2
2025-05-19,AAVE/USDC:USDC,249.92,249.92,0
2025-05-20,AAVE/USDC:USDC,273.22,273.22,0
2025-05-21,AAVE/USDC:USDC,262.13,273.22,1
2025-05-22,AAVE/USDC:USDC,260.25,273.22,2
2025-05-23,AAVE/USDC:USDC,265.32,273.22,3
2025-05-24,AAVE/USDC:USDC,277.08,277.08,0
2025-05-25,AAVE/USDC:USDC,271.13,277.08,1
2025-05-26,AAVE/USDC:USDC,276.28,277.08,2
2025-05-27,AAVE/USDC:USDC,283.3,283.3,0
2025-05-28,AAVE/USDC:USDC,274.7,283.3,1
2025-05-29,AAVE/USDC:USDC,274.51,283.3,2
2025-05-30,AAVE/USDC:USDC,256.14,283.3,3
2025-05-31,AAVE/USDC:USDC,254.48,283.3,4
2025-06-01,AAVE/USDC:USDC,254.69,283.3,5
2025-06-02,AAVE/USDC:USDC,258.4,283.3,6
2025-06-03,AAVE/USDC:USDC,273.37,283.3,7
2025-06-04,AAVE/USDC:USDC,276.05,283.3,8
2025-06-05,AAVE/USDC:USDC,266.88,283.3,9
2025-06-06,AAVE/USDC:USDC,255.25,283.3,10
2025-06-07,AAVE/USDC:USDC,260.75,283.3,11
2025-06-08,AAVE/USDC:USDC,257.73,283.3,12
2025-06-09,AAVE/USDC:USDC,286.06,286.06,0
2025-06-10,AAVE/USDC:USDC,318.33,318.33,0
2025-06-11,AAVE/USDC:USDC,324.86,324.86,0
2025-06-12,AAVE/USDC:USDC,309.36,324.86,1
2025-06-13,AAVE/USDC:USDC,294.22,324.86,2
2025-06-14,AAVE/USDC:USDC,291.19,324.86,3
2025-06-15,AAVE/USDC:USDC,278.92,324.86,4
2025-06-16,AAVE/USDC:USDC,294.05,324.86,5
