symbol,avg_period_return,avg_dilution_velocity,avg_rank,avg_volatility,typical_decile,n_periods,category
ZEC,0.2507898781945132,-0.14390716990447788,117.45454545454545,0.9215212647362879,1,22,Top 10
ENA,0.23646840458038393,31.393883775684934,36.5,1.2610055957232293,10,4,Top 10
XLM,0.20079072714123122,4.121226536952436,22.40909090909091,0.8597692852861841,5,22,Top 10
XRP,0.1633859840509462,3.3476743534552367,5.090909090909091,0.989748130531807,5,22,Top 10
JASMY,0.150922334696143,1.5104510555579778,88.27272727272727,1.4386388402689865,3,22,Top 10
TAO,0.14439031381465434,10.443438417294882,34.857142857142854,1.0706550710120977,7,7,Top 10
SUI,0.10929968336549578,14.65636547014803,28.818181818181817,1.1339306948768777,9,22,Top 10
DASH,0.10926066128423086,2.597207205106928,163.0,0.7601579394426264,4,22,Top 10
BONK,0.10727863604484397,16.88382542933952,58.61904761904762,1.4525599642275242,8,21,Top 10
ZEN,0.1026841663287803,4.766927564222845,194.55,1.142340637791468,6,20,Top 10
