symbol,volatility_30d,weight
UBTC/USDC,0.43703780990305097,0.2103693729024574
BTC/USDC:USDC,0.44018251225809624,0.20886647570874095
XRP/USDC:USDC,0.8003212070087614,0.1148780879462085
ETH/USDC:USDC,0.8149769677110867,0.11281223107713785
SOL/USDC:USDC,1.0317608272506429,0.0891091884627576
HYPE/USDC,1.135292167290793,0.08098300389349815
HYPE/USDC:USDC,1.143472832722762,0.08040363301421712
DOGE/USDC:USDC,1.2289601938809152,0.07481069806958862
XPL/USDC:USDC,3.311065190040344,0.027767308925393884
