date,symbol,old_weight,new_weight,trade
2021-02-01,ALGO,0.0,-0.2794508362535822,-0.2794508362535822
2021-02-01,SNX,0.0,-0.22774875494482608,-0.22774875494482608
2021-02-01,ETC,0.0,1.0,1.0
2021-02-01,ZEC,0.0,-0.2612310035645062,-0.2612310035645062
2021-02-01,XLM,0.0,-0.2315694052370855,-0.2315694052370855
2021-03-01,ALGO,-0.2794508362535822,-0.4866737534009378,-0.20722291714735563
2021-03-01,SNX,-0.22774875494482608,0.0,0.22774875494482608
2021-03-01,ZEC,-0.2612310035645062,-0.5133262465990622,-0.25209524303455605
2021-03-01,XLM,-0.2315694052370855,0.0,0.2315694052370855
2021-04-01,ALGO,-0.4866737534009378,-0.48464539291107106,0.002028360489866765
2021-04-01,ZEC,-0.5133262465990622,-0.515354607088929,-0.002028360489866765
2021-05-01,ALGO,-0.48464539291107106,-0.3423886732752752,0.14225671963579584
2021-05-01,CRV,0.0,-0.2810389653282118,-0.2810389653282118
2021-05-01,ZEC,-0.515354607088929,-0.376572361396513,0.13878224569241598
2021-06-01,ALGO,-0.3423886732752752,-0.2785721606492305,0.06381651262604471
2021-06-01,LINK,0.0,-0.2498635675754508,-0.2498635675754508
2021-06-01,ETC,1.0,0.4340993978816343,-0.5659006021183657
2021-06-01,CRV,-0.2810389653282118,-0.20724750455498278,0.07379146077322904
2021-06-01,LTC,0.0,0.5659006021183657,0.5659006021183657
2021-06-01,ZEC,-0.376572361396513,-0.26431676722033587,0.11225559417617714
2021-07-01,ALGO,-0.2785721606492305,-0.2734187342204841,0.005153426428746388
2021-07-01,LINK,-0.2498635675754508,-0.24230683756799312,0.007556730007457685
2021-07-01,ETC,0.4340993978816343,1.0,0.5659006021183657
2021-07-01,CRV,-0.20724750455498278,-0.22863407281807904,-0.02138656826309626
2021-07-01,LTC,0.5659006021183657,0.0,-0.5659006021183657
2021-07-01,ZEC,-0.26431676722033587,-0.25564035539344365,0.008676411826892216
2021-08-01,ALGO,-0.2734187342204841,-0.22340055647398263,0.050018177746501497
2021-08-01,LINK,-0.24230683756799312,-0.19088221248059237,0.051424625087400755
2021-08-01,ETC,1.0,-0.18601269724346636,-1.1860126972434664
2021-08-01,QNT,0.0,1.0,1.0
2021-08-01,CRV,-0.22863407281807904,-0.19014614622443718,0.038487926593641864
2021-08-01,ZEC,-0.25564035539344365,-0.20955838757752157,0.04608196781592208
2021-09-01,ALGO,-0.22340055647398263,-0.2168220037248462,0.006578552749136435
2021-09-01,FET,0.0,0.49364993606426005,0.49364993606426005
2021-09-01,QNT,1.0,0.5063500639357399,-0.4936499360642601
2021-09-01,ETC,-0.18601269724346636,-0.20020717460432055,-0.01419447736085419
2021-09-01,LINK,-0.19088221248059237,-0.19203162078049904,-0.0011494082999066735
2021-09-01,CRV,-0.19014614622443718,-0.17601792050041604,0.014128225724021143
2021-09-01,ZEC,-0.20955838757752157,-0.21492128038991823,-0.005362892812396658
2021-10-01,FET,0.49364993606426005,0.2095848094142009,-0.2840651266500591
2021-10-01,QNT,0.5063500639357399,0.22673950130726855,-0.27961056262847134
2021-10-01,ETC,-0.20020717460432055,-0.2862453647793336,-0.08603819017501305
2021-10-01,LINK,-0.19203162078049904,0.0,0.19203162078049904
2021-10-01,CRV,-0.17601792050041604,-0.20010036711386572,-0.024082446613449687
2021-10-01,SHIB,0.0,0.21632500676255886,0.21632500676255886
2021-10-01,LTC,0.0,0.34735068251597156,0.34735068251597156
2021-10-01,ZEC,-0.21492128038991823,-0.29605821445286185,-0.08113693406294362
2021-11-01,FET,0.2095848094142009,0.4860206331753435,0.2764358237611426
2021-11-01,ALGO,-0.21759605365393875,-0.17587974167539228,0.04171631197854647
2021-11-01,AVAX,0.0,-0.30872267398599845,-0.30872267398599845
2021-11-01,QNT,0.22673950130726855,0.5139793668246566,0.28723986551738806
2021-11-01,ETC,-0.2862453647793336,0.0,0.2862453647793336
2021-11-01,SHIB,0.21632500676255886,-0.1205754775191659,-0.33690048428172475
2021-11-01,LTC,0.34735068251597156,0.0,-0.34735068251597156
2021-11-01,CRV,-0.20010036711386572,-0.15558578464818618,0.04451458246567955
2021-11-01,ZEC,-0.29605821445286185,-0.23923632217125723,0.056821892281604613
2021-12-01,FET,0.4860206331753435,0.3132375518311151,-0.17278308134422837
2021-12-01,ALGO,-0.17587974167539228,-0.1895623295146706,-0.013682587839278337
2021-12-01,SNX,0.0,0.3772176555047866,0.3772176555047866
2021-12-01,AVAX,-0.30872267398599845,-0.3324109928196738,-0.023688318833675337
2021-12-01,QNT,0.5139793668246566,0.30954479266409823,-0.20443457416055838
2021-12-01,SHIB,-0.1205754775191659,-0.12982724486789715,-0.009251767348731246
2021-12-01,ZEC,-0.23923632217125723,-0.19242897377487264,0.04680734839638459
2022-01-01,FET,0.3132375518311151,0.5074064023149737,0.19416885048385857
2022-01-01,SNX,0.3772176555047866,0.0,-0.3772176555047866
2022-01-01,ALGO,-0.1895623295146706,-0.2786973094444115,-0.0891349799297409
2022-01-01,AVAX,-0.3324109928196738,-0.36538600147053113,-0.03297500865085734
2022-01-01,QNT,0.30954479266409823,0.49259359768502625,0.18304880502092802
2022-01-01,CRV,-0.15577045902288583,0.0,0.15577045902288583
2022-01-01,ZEC,-0.19242897377487264,-0.22564576239079667,-0.03321678861592403
2022-02-01,FET,0.5074064023149737,0.0,-0.5074064023149737
2022-02-01,ALGO,-0.2786973094444115,-0.5477032725145049,-0.2690059630700934
2022-02-01,SNX,0.0,1.0,1.0
