period,strategy,long_bucket,short_bucket,long_return,short_return,combined_return
2020-2021,Long Small + Short Large,5,1.0,2.6709802935300893,-1.0,0.8354901467650446
2020-2021,Long Large + Short Small,1,5.0,2.56439912586936,-1.0,0.7821995629346801
2020-2021,Long Small Only,5,,2.6709802935300893,0.0,2.6709802935300893
2020-2021,Long Large Only,1,,2.56439912586936,0.0,2.56439912586936
2021-2022,Long Small + Short Large,5,1.0,2.949249849444713,-1.0,0.9746249247223564
2021-2022,Long Large + Short Small,1,5.0,2.173246671901229,-1.0,0.5866233359506146
2021-2022,Long Small Only,5,,2.949249849444713,0.0,2.949249849444713
2021-2022,Long Large Only,1,,2.173246671901229,0.0,2.173246671901229
2022-2023,Long Small Only,5,,-0.7578636412255173,0.0,-0.7578636412255173
2023-2024,Long Small + Short Large,5,1.0,0.5335031121740341,-0.5962551894472155,-0.031376038636590664
2023-2024,Long Large + Short Small,1,5.0,0.5903213952379953,-0.5382765149945721,0.02602244012171162
2023-2024,Long Small Only,5,,0.5335031121740341,0.0,0.5335031121740341
2023-2024,Long Large Only,1,,0.5903213952379953,0.0,0.5903213952379953
2024-2025,Long Small + Short Large,5,1.0,1.163731003047487,-0.5251345374643894,0.3192982327915488
2024-2025,Long Large + Short Small,1,5.0,0.5261290147401716,-1.0,-0.2369354926299142
2024-2025,Long Small Only,5,,1.163731003047487,0.0,1.163731003047487
2024-2025,Long Large Only,1,,0.5261290147401716,0.0,0.5261290147401716
