symbol,type,base,quote,last_price,base_volume_24h,notional_volume_24h,bid,ask,high_24h,low_24h,change_24h,percentage_24h,active
JUP/USDC:USDC,swap,JUP,USDC,0.46802,0,5813736.4796400005,0.467901,0.468145,,,,,True
ETHFI/USDC:USDC,swap,ETHFI,USDC,1.80745,0,5588956.124860002,1.80672,1.80778,,,,,True
WLFI/USDC:USDC,swap,WLFI,USDC,0.198345,0,5582260.6433,0.198328,0.19835,,,,,True
S/USDC:USDC,swap,S,USDC,0.28085,0,5335142.50439,0.280732,0.28094,,,,,True
ZRO/USDC:USDC,swap,ZRO,USDC,2.4247,0,5108523.325639998,2.42366,2.42566,,,,,True
ONDO/USDC:USDC,swap,ONDO,USDC,0.96632,0,5088127.527260001,0.966247,0.966507,,,,,True
IP/USDC:USDC,swap,IP,USDC,10.067,0,5077808.239920001,10.06398,10.07222,,,,,True
NEAR/USDC:USDC,swap,NEAR,USDC,3.05635,0,5004437.219370003,3.05545,3.05671,,,,,True
SEI/USDC:USDC,swap,SEI,USDC,0.300055,0,4743358.51921,0.300001,0.300118,,,,,True
POPCAT/USDC:USDC,swap,POPCAT,USDC,0.24675,0,4531020.59815,0.246652,0.246868,,,,,True
BERA/USDC:USDC,swap,BERA,USDC,2.7942,0,4373211.988660001,2.79294,2.79545,,,,,True
WIF/USDC:USDC,swap,WIF,USDC,0.800185,0,4359297.396439999,0.800176,0.800231,,,,,True
KAITO/USDC:USDC,swap,KAITO,USDC,1.39165,0,4164038.0492000002,1.390913,1.392492,,,,,True
USDH/USDC,spot,USDH,USDC,0.999995,0,3981329.7386069996,,,,,,,True
PENDLE/USDC:USDC,swap,PENDLE,USDC,4.96125,0,3976721.4601000007,4.960924,4.962036,,,,,True
2Z/USDC:USDC,swap,2Z,USDC,0.4937,0,3907226.7314200005,0.493427,0.494008,,,,,True
PURR/USDC,spot,PURR,USDC,0.184755,0,3749982.5006100014,,,,,,,True
DOT/USDC:USDC,swap,DOT,USDC,4.38095,0,3624345.298580002,4.37948,4.38261,,,,,True
XLM/USDC:USDC,swap,XLM,USDC,0.406835,0,3174260.8411600003,0.406775,0.406985,,,,,True
W/USDC:USDC,swap,W,USDC,0.13037,0,3104797.576359999,0.13031,0.13043,,,,,True
HYPE/USDH,spot,HYPE,USDH,46.891,0,2766389.09615,,,,,,,True
TIA/USDC:USDC,swap,TIA,USDC,1.5331,0,2701040.01542,1.5328,1.5334,,,,,True
STX/USDC:USDC,swap,STX,USDC,0.66218,0,2660765.1585879996,0.66204,0.66232,,,,,True
TRX/USDC:USDC,swap,TRX,USDC,0.34689,0,2656126.2109400006,0.346858,0.346936,,,,,True
ZORA/USDC:USDC,swap,ZORA,USDC,0.05577,0,2575539.685504,0.055766,0.055993,,,,,True
TRUMP/USDC:USDC,swap,TRUMP,USDC,7.92525,0,2503317.8501499994,7.92414,7.92597,,,,,True
ZEN/USDC:USDC,swap,ZEN,USDC,9.6937,0,2463216.0699079987,9.6896,9.7004,,,,,True
MOODENG/USDC:USDC,swap,MOODENG,USDC,0.167865,0,2452537.22915,0.167832,0.167946,,,,,True
SNX/USDC:USDC,swap,SNX,USDC,1.2272,0,2382293.38376,1.22632,1.22932,,,,,True
PURR/USDC:USDC,swap,PURR,USDC,0.18506,0,2334144.089370001,0.184902,0.185406,,,,,True
TON/USDC:USDC,swap,TON,USDC,2.83625,0,2278321.2600099994,2.83616,2.8363,,,,,True
VIRTUAL/USDC:USDC,swap,VIRTUAL,USDC,1.15385,0,2162185.288879999,1.15352,1.15429,,,,,True
0G/USDC:USDC,swap,0G,USDC,2.94935,0,2159409.5224,2.94795,2.952492,,,,,True
HBAR/USDC:USDC,swap,HBAR,USDC,0.22874,0,2139793.1930400003,0.228701,0.228819,,,,,True
BCH/USDC:USDC,swap,BCH,USDC,596.38,0,2102701.55385,596.364,596.533,,,,,True
FET/USDC:USDC,swap,FET,USDC,0.57803,0,2078212.6188000005,0.5779,0.578088,,,,,True
MORPHO/USDC:USDC,swap,MORPHO,USDC,1.92595,0,2004907.92957,1.92524,1.92702,,,,,True
UUUSPX/USDC,spot,UUUSPX,USDC,1.5667,0,1897187.98849,,,,,,,True
HEMI/USDC:USDC,swap,HEMI,USDC,0.09581,0,1800145.2717999998,0.095777,0.095867,,,,,True
POL/USDC:USDC,swap,POL,USDC,0.248755,0,1766501.4550299998,0.248693,0.248831,,,,,True
KSHIB/USDC:USDC,swap,KSHIB,USDC,0.012816,0,1713432.3545910004,0.012815,0.012818,,,,,True
ZK/USDC:USDC,swap,ZK,USDC,0.057757,0,1567035.4359269997,0.057732,0.057778,,,,,True
ALGO/USDC:USDC,swap,ALGO,USDC,0.227735,0,1565075.6320700003,0.227678,0.227818,,,,,True
VINE/USDC:USDC,swap,VINE,USDC,0.065487,0,1557534.4352270002,0.065467,0.065511,,,,,True
HYPER/USDC:USDC,swap,HYPER,USDC,0.297625,0,1549012.7742600006,0.29736,0.297891,,,,,True
CELO/USDC:USDC,swap,CELO,USDC,0.42015,0,1548303.03454,0.419692,0.420563,,,,,True
PROVE/USDC:USDC,swap,PROVE,USDC,0.815835,0,1348861.83685,0.815618,0.816191,,,,,True
MELANIA/USDC:USDC,swap,MELANIA,USDC,0.18475,0,1293325.461268,0.18472,0.18487,,,,,True
DOOD/USDC:USDC,swap,DOOD,USDC,0.006943,0,1204260.6461200002,0.006932,0.006953,,,,,True
SUPER/USDC:USDC,swap,SUPER,USDC,0.609595,0,1155473.4279099999,0.609167,0.609739,,,,,True
OP/USDC:USDC,swap,OP,USDC,0.75162,0,1127893.5563760004,0.75127,0.75203,,,,,True
PROMPT/USDC:USDC,swap,PROMPT,USDC,0.15348,0,1120294.8521000005,0.15342,0.153577,,,,,True
FXS/USDC:USDC,swap,FXS,USDC,2.287,0,1109358.7707899997,2.28594,2.28858,,,,,True
ANIME/USDC:USDC,swap,ANIME,USDC,0.015007,0,1063173.68746,0.014999,0.01502,,,,,True
FEUSD/USDC,spot,FEUSD,USDC,0.993305,0,1061126.3796178002,,,,,,,True
JTO/USDC:USDC,swap,JTO,USDC,1.66305,0,1055014.9523000005,1.662491,1.663628,,,,,True
HPENGU/USDC,spot,HPENGU,USDC,0.033126,0,1033891.1797306198,,,,,,,True
MERL/USDC:USDC,swap,MERL,USDC,0.37387,0,1030189.27776,0.373575,0.374416,,,,,True
PYTH/USDC:USDC,swap,PYTH,USDC,0.165535,0,1027182.1789200004,0.165495,0.165578,,,,,True
GRASS/USDC:USDC,swap,GRASS,USDC,0.87734,0,903536.8657069998,0.87719,0.87755,,,,,True
USDHL/USDC,spot,USDHL,USDC,0.998825,0,892792.1916625003,,,,,,,True
GOAT/USDC:USDC,swap,GOAT,USDC,0.088478,0,822747.3315030001,0.088435,0.08849,,,,,True
FIL/USDC:USDC,swap,FIL,USDC,2.3946,0,817387.2421500003,2.39397,2.39567,,,,,True
PNUT/USDC:USDC,swap,PNUT,USDC,0.22503,0,814089.1388510002,0.22501,0.22509,,,,,True
BIO/USDC:USDC,swap,BIO,USDC,0.133345,0,739864.2975799999,0.133307,0.133391,,,,,True
REZ/USDC:USDC,swap,REZ,USDC,0.014288,0,731577.1679159998,0.014261,0.014312,,,,,True
BRETT/USDC:USDC,swap,BRETT,USDC,0.046856,0,719043.0304630001,0.046828,0.046877,,,,,True
SYRUP/USDC:USDC,swap,SYRUP,USDC,0.418735,0,705198.5514099996,0.41857,0.418947,,,,,True
USDE/USDC,spot,USDE,USDC,1.00025,0,661327.6294987,,,,,,,True
UBONK/USDC,spot,UBONK,USDC,2.127e-05,0,659857.6566682601,,,,,,,True
ETC/USDC:USDC,swap,ETC,USDC,19.9855,0,630323.67148,19.9807,19.9899,,,,,True
AI16Z/USDC:USDC,swap,AI16Z,USDC,0.10056,0,622545.9130470002,0.10052,0.1006,,,,,True
INIT/USDC:USDC,swap,INIT,USDC,0.337095,0,613767.1180299995,0.336994,0.337246,,,,,True
KAS/USDC:USDC,swap,KAS,USDC,0.078305,0,603097.2326570001,0.078278,0.078337,,,,,True
XAUT0/USDC,spot,XAUT0,USDC,3969.0,0,601832.0939999998,,,,,,,True
ATOM/USDC:USDC,swap,ATOM,USDC,4.2407,0,581037.7390990001,4.2393,4.2416,,,,,True
IMX/USDC:USDC,swap,IMX,USDC,0.74619,0,579983.1475899998,0.74598,0.74649,,,,,True
RESOLV/USDC:USDC,swap,RESOLV,USDC,0.111495,0,475537.2096299999,0.111429,0.111578,,,,,True
UXPL/USDH,spot,UXPL,USDH,1.0647,0,464656.771562,,,,,,,True
TST/USDC:USDC,swap,TST,USDC,0.033376,0,461962.7157459998,0.033353,0.033412,,,,,True
AIXBT/USDC:USDC,swap,AIXBT,USDC,0.101845,0,458856.815118,0.101803,0.101872,,,,,True
CHILLGUY/USDC:USDC,swap,CHILLGUY,USDC,0.04378,0,434927.444785,0.043758,0.043821,,,,,True
YZY/USDC:USDC,swap,YZY,USDC,0.41587,0,415662.6744400001,0.415437,0.416445,,,,,True
RAGE/USDC,spot,RAGE,USDC,0.28742,0,410441.9566325,,,,,,,True
RENDER/USDC:USDC,swap,RENDER,USDC,3.56795,0,387707.7435300002,3.56693,3.5692,,,,,True
GRIFFAIN/USDC:USDC,swap,GRIFFAIN,USDC,0.033835,0,377462.4098019999,0.033816,0.033852,,,,,True
KNEIRO/USDC:USDC,swap,KNEIRO,USDC,0.29288,0,372479.9170159999,0.29277,0.29303,,,,,True
XAUT0/USDT0,spot,XAUT0,USDT0,3964.85,0,358006.7770000001,,,,,,,True
NIL/USDC:USDC,swap,NIL,USDC,0.342595,0,350874.49952,0.342445,0.342719,,,,,True
GMX/USDC:USDC,swap,GMX,USDC,14.9915,0,350115.59943,14.9838,14.995,,,,,True
ORDI/USDC:USDC,swap,ORDI,USDC,8.6838,0,329016.6273610001,8.6817,8.6869,,,,,True
APE/USDC:USDC,swap,APE,USDC,0.57168,0,326585.1224259998,0.57157,0.57183,,,,,True
HFUN/USDC,spot,HFUN,USDC,39.0675,0,322710.2508799999,,,,,,,True
TURBO/USDC:USDC,swap,TURBO,USDC,0.003839,0,322196.2635770001,0.003838,0.003841,,,,,True
OM/USDC:USDC,swap,OM,USDC,0.17849,0,309551.6830600002,0.17847,0.17858,,,,,True
ENS/USDC:USDC,swap,ENS,USDC,21.801,0,304663.73117,21.7993,21.8122,,,,,True
SKY/USDC:USDC,swap,SKY,USDC,0.069336,0,300665.215919,0.069305,0.069386,,,,,True
NXPC/USDC:USDC,swap,NXPC,USDC,0.535175,0,298448.19555,0.534928,0.535597,,,,,True
ZETA/USDC:USDC,swap,ZETA,USDC,0.18655,0,280682.440834,0.18631,0.18676,,,,,True
VVV/USDC:USDC,swap,VVV,USDC,2.0267,0,276828.2460170001,2.0249,2.0291,,,,,True
BSV/USDC:USDC,swap,BSV,USDC,28.424,0,270055.84669,28.3914,28.4555,,,,,True
UBTC/USDH,spot,UBTC,USDH,124529.0,0,269598.7985000001,,,,,,,True
GMT/USDC:USDC,swap,GMT,USDC,0.04029,0,265118.65611,0.040275,0.04032,,,,,True
IO/USDC:USDC,swap,IO,USDC,0.55932,0,263100.003509,0.55906,0.55959,,,,,True
MAVIA/USDC:USDC,swap,MAVIA,USDC,0.13087,0,253542.02798,0.13065,0.13107,,,,,True
ZEREBRO/USDC:USDC,swap,ZEREBRO,USDC,0.018523,0,253484.3184350001,0.018506,0.018534,,,,,True
MEME/USDC:USDC,swap,MEME,USDC,0.002513,0,242952.485053,0.002511,0.002514,,,,,True
NEO/USDC:USDC,swap,NEO,USDC,6.2929,0,235535.986478,6.2913,6.2953,,,,,True
HYPE/USDT0,spot,HYPE,USDT0,46.7805,0,221468.31928,,,,,,,True
BABY/USDC:USDC,swap,BABY,USDC,0.052514,0,203391.4953770001,0.052489,0.052554,,,,,True
