Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,snapshot_date
1,Bitcoin,BTC,1147184157457.9104,58254.00985314,19692793.0,48439780271.06,0.72749226,-3.9297006,-9.37022135,20240501
2,Ethereum,ETH,362491631190.6311,2969.78478706,122059899.0100443,20005057444.9,0.09818498,-1.41095322,-5.41500085,20240501
3,Tether USDt,USDT,110436191578.11093,0.99855748,110595728040.53976,76859530069.05,-0.01179776,-0.06053707,-0.12445598,20240501
4,BNB,BNB,82856934666.8089,561.40819949,147587681.73101923,1502825527.06,0.46758125,-2.95250059,-7.67619803,20240501
5,Solana,SOL,60206144227.87435,134.62797561,447203814.4749497,4136407963.44,0.92304996,6.03741622,-8.87824028,20240501
6,USDC,USDC,32995543712.68823,0.99996633,32996654831.12336,9451759014.27,-0.00942583,0.00305911,-0.04856547,20240501
7,XRP,XRP,28620697426.08959,0.51700006,55359176420.0,1720060134.03,0.59057467,3.38657903,-1.97268147,20240501
8,Dogecoin,DOGE,18754533159.043526,0.13013391,144117186383.70523,2135887033.78,0.7497422,-2.39474346,-14.02019466,20240501
9,Toncoin,TON,16968249125.279322,4.88584155,3472942984.164917,272864704.59,0.31433281,-5.27838188,-12.0233603,20240501
10,Cardano,ADA,16034635872.775297,0.4498659,35643145909.034,526114090.99,0.31405055,2.05392119,-5.27341394,20240501
11,Shiba Inu,SHIB,13349459300.11893,2.265e-05,589289410812691.0,911381823.58,1.15683606,1.18171375,-11.73333239,20240501
12,Avalanche,AVAX,12632795008.643578,33.2881002,379498827.9166806,620506676.31,0.85482328,1.77847764,-8.46917511,20240501
13,TRON,TRX,10533385620.401695,0.12033049,87537130080.56892,482118833.93,0.2427806,0.72289559,6.27642189,20240501
14,Polkadot,DOT,9897495818.58593,6.88304336,1437953431.368154,398713344.53,0.24416031,7.17514596,-0.67980149,20240501
15,Bitcoin Cash,BCH,8353510734.980392,424.03863399,19699881.25,534977085.54,0.85316974,-2.33061596,-11.47782251,20240501
16,Chainlink,LINK,7834489980.150255,13.34438831,587099970.4527867,445362230.59,0.66724126,1.6055656,-8.20932721,20240501
17,Polygon,MATIC,6847196058.92996,0.69170426,9899022485.086287,407649321.58,0.60278107,3.69555113,-1.84754141,20240501
18,NEAR Protocol,NEAR,6562561042.92,6.14700111,1067603686.0,627276097.43,0.64080322,-0.55999871,-10.64881678,20240501
19,Internet Computer,ICP,6117160778.193067,13.20248399,463334080.32937473,201134940.44,0.96769847,2.66026968,-3.70246718,20240501
20,Litecoin,LTC,5965889549.190682,80.09586657,74484362.35750493,465312452.9,0.59715999,0.7554538,-3.68830277,20240501
21,UNUS SED LEO,LEO,5428508264.574663,5.85911854,926505962.9,1292515.08,0.08451667,0.49998704,1.55127264,20240501
22,Dai,DAI,5346577626.645855,0.99975486,5347888595.7464075,817654846.25,0.00328228,-0.01363354,-0.02235328,20240501
23,Uniswap,UNI,4215528176.5158324,7.03849921,598924294.71,181942809.43,0.65404364,0.04908852,-8.70208691,20240501
24,First Digital USD,FDUSD,4186100600.6117544,0.99704572,4198504144.05,10103244887.57,-0.03512845,-0.06867328,-0.31897758,20240501
25,Aptos,APT,3820241404.170718,8.93907902,427364093.66185623,239011494.23,1.13421909,2.69078651,-2.29538188,20240501
26,Ethereum Classic,ETC,3749650806.7740626,25.53628136,146836211.35347953,336291923.12,0.7400753,0.36728741,-3.14119159,20240501
27,Hedera,HBAR,3565234879.980047,0.09975785,35738891044.57564,312194797.1,-0.61256296,6.50574787,-19.94579292,20240501
28,Cosmos,ATOM,3417754831.151251,8.74261112,390930671.0,374899860.84,0.70084611,3.25584548,4.04450923,20240501
29,Cronos,CRO,3398095993.9231915,0.1278847,26571560696.0,33189787.27,0.92019072,-4.81213759,2.47294999,20240501
30,Stellar,XLM,3209754295.1732163,0.1110352,28907537359.139446,99567176.37,0.85399231,3.08228205,-2.99915361,20240501
31,Filecoin,FIL,3122649493.5258904,5.71342379,546546101.0,248116317.02,0.83828037,1.63149056,-5.56353452,20240501
32,Stacks,STX,3113928796.0483837,2.14009714,1455040864.662103,316178180.85,0.13760468,-0.84649275,-21.00918771,20240501
33,Mantle,MNT,3099347732.4515,0.94942658,3264441707.8368406,87681294.48,0.7783704,-0.80356986,-13.76898979,20240501
34,Immutable,IMX,2952703849.1130624,2.02682107,1456815249.3898141,68437206.25,0.51746857,5.20787034,-8.84836228,20240501
35,Render,RNDR,2963760930.9240503,7.65884447,386972335.2928149,225058597.15,0.7407381,4.1819739,-9.64325998,20240501
36,Pepe,PEPE,2941517659.9323745,6.99e-06,420689899999994.8,1150138557.64,0.06057589,4.56531342,-3.48221515,20240501
37,OKB,OKB,2922532189.2007213,48.70886982,60000000.0,7930504.96,0.05565878,-4.51725843,-10.46720875,20240501
38,Optimism,OP,2939287641.4569435,2.81169337,1045379867.0,675948019.08,4.07181597,10.8716704,16.17336247,20240501
39,Arbitrum,ARB,2735435469.031468,1.03070759,2653939384.0,495077511.31,0.91826258,0.83288721,-7.64073086,20240501
40,Sui,SUI,2681442969.0692825,1.14630919,2339196965.7338886,235934613.99,0.60893123,0.37935116,-8.35810707,20240501
41,dogwifhat,WIF,2612651666.626063,2.61551268,998906135.768378,539683830.16,0.97702532,4.50614906,-15.77138205,20240501
42,Kaspa,KAS,2565417699.255024,0.1091238,23509240002.513535,53423413.63,0.67218205,-0.84393882,-11.47552423,20240501
43,VeChain,VET,2561898054.6689954,0.03523228,72714516834.0,77079462.24,-0.05768552,-2.25663195,-11.41090854,20240501
44,Bittensor,TAO,2546610582.313622,380.84941994,6686660.0,52851589.23,0.57200207,-1.93308385,-15.74472869,20240501
45,Maker,MKR,2519616248.693549,2723.25740436,925221.48095696,75594271.03,1.40674118,2.1580098,-5.18993838,20240501
46,The Graph,GRT,2307587687.833806,0.24333681,9483101715.930285,108584202.5,-0.18965897,2.96141521,-9.88746137,20240501
47,Monero,XMR,2277085786.402913,123.5464286,18431012.63432938,44685649.79,1.33632172,3.49657428,3.96146245,20240501
48,Injective,INJ,2210477839.189549,23.66678629,93400000.0,131539415.3,0.47765834,-0.28061069,-10.47388566,20240501
49,Theta Network,THETA,2037341698.957704,2.0373417,1000000000.0,67062566.72,1.08696831,0.93705402,-12.08526932,20240501
50,Fantom,FTM,1887318347.4942482,0.67316839,2803634835.5265927,206629179.52,1.20743012,4.435457,-7.33817036,20240501
51,Arweave,AR,1876857107.574489,28.67436372,65454185.0,216695364.62,-0.27743914,-5.07472823,-13.01299445,20240501
52,Celestia,TIA,1755786230.2753737,9.69227724,181153116.790953,119683514.07,0.2451629,2.34830116,-12.26406619,20240501
53,Lido DAO,LDO,1737829711.7889888,1.9472577,892449782.8810817,103087584.05,1.4798403,4.09116956,-2.97053679,20240501
54,Core,CORE,1708642929.7500257,1.93054448,885057531.71398,122175460.4,0.78243418,0.03777515,-20.27184409,20240501
55,Fetch.ai,FET,1709635977.4884796,2.01573707,848144335.9857285,252784448.93,0.8081952,-0.47031555,-11.21232925,20240501
56,THORChain,RUNE,1626031199.2210844,4.84722723,335455947.0,400084110.66,0.74748246,0.1887856,-10.03386995,20240501
57,Bitget Token,BGB,1547979720.988398,1.1056998,1400000000.0,58003202.89,0.16832502,-2.70915032,-8.75622804,20240501
58,FLOKI,FLOKI,1519081570.2621613,0.00015872,9570911102783.838,204249343.32,0.50853275,1.51877345,-14.09188586,20240501
59,Bonk,BONK,1496680034.524483,2.296e-05,65191332386576.0,453146639.37,0.23956996,1.40493787,-6.42095313,20240501
60,Sei,SEI,1488557418.815526,0.53162765,2800000000.0,238768542.38,0.8814083,-2.15581371,-10.2030663,20240501
61,Algorand,ALGO,1470860843.489374,0.18066645,8141305831.152458,108345574.08,0.34090665,1.51033485,-14.70221044,20240501
62,Jupiter,JUP,1288734398.7358866,0.95461807,1350000000.0,191104786.77,0.61655111,3.58319156,-11.26719775,20240501
63,Flow,FLOW,1282494473.3229544,0.85232303,1504704697.0,70049147.44,0.16164921,1.36719315,-8.85755835,20240501
64,Gala,GALA,1277260625.4049923,0.0420864,30348537501.487926,177259037.76,0.322731,2.09502307,-10.93840745,20240501
65,Beam,BEAM,1246373788.401361,0.02353416,52960208905.622925,26079896.83,-0.42631292,1.07269054,-14.18029168,20240501
66,Aave,AAVE,1240393620.1238394,83.74810575,14811005.08509004,91283497.4,0.72875554,0.46158982,-7.66259809,20240501
67,Quant,QNT,1224146573.596153,101.39759296,12072738.0,22342230.28,0.3074539,1.91896851,-5.92369225,20240501
68,Wormhole,W,1239207297.3433394,0.6884485,1800000000.0,283486729.76,1.92541554,13.45395637,26.17705813,20240501
69,Bitcoin SV,BSV,1159350577.2757592,58.86330886,19695640.625,54746904.14,0.23475504,-2.72490638,-13.60353973,20240501
70,Flare,FLR,1156443692.6199982,0.02983612,38759853989.84844,27777330.15,0.51014979,4.1285977,-3.3390441,20240501
71,Ethena,ENA,1138224278.530487,0.79875388,1425000000.0,439690650.98,0.04738662,-1.91319382,-8.53676783,20240501
72,Neo,NEO,1144123354.4135847,16.21976631,70538831.0,147459274.98,0.58977565,-4.59308755,-10.78429826,20240501
73,BitTorrent (New),BTT,1142407800.4069996,1.18e-06,968246428571000.0,42540230.15,0.53395109,-3.48749997,-7.34647083,20240501
74,Ondo,ONDO,1068887919.2812307,0.769117,1389759838.4783604,215794279.61,1.10489607,3.26859596,-8.35038401,20240501
75,SingularityNET,AGIX,1047556121.2936672,0.81701624,1282172952.153369,118267238.08,0.29233803,-0.57013651,-13.81885558,20240501
76,Chiliz,CHZ,1035051093.3860035,0.11645109,8888289967.124962,107446077.79,0.31148036,8.07540508,-0.79895325,20240501
77,MultiversX,EGLD,1040151000.0785029,38.68707684,26886265.0,31081735.3,0.58983995,0.71697627,-7.0064526,20240501
78,Pendle,PENDLE,1031138503.7573899,4.31103944,239185588.24463487,108301169.64,0.43550764,2.23405581,-31.46116279,20240501
79,Axie Infinity,AXS,1005866467.0530744,6.99252639,143848790.87305236,56879809.51,0.42508509,3.72421351,-6.80821353,20240501
80,dYdX (Native),DYDX,958458855.0635645,2.06263224,464677529.17,12746338.87,0.82370692,2.29639152,-6.84518815,20240501
81,The Sandbox,SAND,957424960.942334,0.42406494,2257731926.2233224,106392169.37,0.35839362,1.47192302,-8.61546099,20240501
82,Akash Network,AKT,962523885.8401238,4.0900013,235335838.420854,14778770.19,0.74004693,1.16975584,-19.52702722,20240501
83,Worldcoin,WLD,934316451.3795077,4.65227543,200829994.81940556,267531433.4,-0.35913583,2.42852235,-5.66375416,20240501
84,Starknet,STRK,924908982.4809201,1.27047937,728000000.0,254285753.49,0.05984347,4.10057822,5.64986459,20240501
