Metric,Buggy,Fixed,Difference
Total Return (%),2641.0295650623752,-27.767696982678803,-2668.797262045054
Annualized Return (%),101.5870366347782,-6.65567434583817,-108.24271098061637
Volatility (%),98.03458879455627,40.28783439087014,-57.74675440368613
Sharpe Ratio,1.0362366781347605,-0.16520308044520882,-1.2014397585799692
Max Drawdown (%),-88.84278575934233,-60.980888166471125,27.86189759287121
Win Rate (%),50.654205607476634,51.44843568945539,0.7942300819787533
Avg Positions,4.5582554517133955,14.162224797219004,9.603969345505607
Median Positions,4.0,14.0,10.0
