date,symbol,old_weight,new_weight,weight_change,funding_rate_pct,position_type
2021-01-31,LTC,0.0,0.134178937464545,0.134178937464545,2.3893,long
2021-01-31,BCH,0.0,-0.10048684581036202,-0.10048684581036202,2.9883,short
2021-01-31,LINK,0.0,0.09879276575770211,0.09879276575770211,1.1438,long
2021-01-31,ETC,0.0,0.0980206916691126,0.0980206916691126,1.0,long
2021-01-31,BTC,0.0,0.16900760510864024,0.16900760510864024,1.0,long
2021-01-31,FIL,0.0,-0.2883745176634574,-0.2883745176634574,3.3971,short
2021-01-31,ETH,0.0,-0.11113863652618064,-0.11113863652618064,2.4297,short
2021-02-07,LTC,0.134178937464545,-0.2159828325260176,-0.3501617699905626,4.0981,short
2021-02-07,BCH,-0.10048684581036202,0.12381484915838296,0.22430169496874497,3.5322,long
2021-02-07,LINK,0.09879276575770211,0.12146175410326009,0.022668988345557972,0.791,long
2021-02-07,ETC,0.0980206916691126,0.11358207976738617,0.015561388098273565,3.5208000000000004,long
2021-02-07,ETH,-0.11113863652618064,0.14114131697097076,0.2522799534971514,1.0,long
2021-02-07,FIL,-0.2883745176634574,0.0,0.2883745176634574,3.7858,close
2021-02-07,BTC,0.16900760510864024,-0.2840171674739824,-0.45302477258262264,7.8463,short
2021-02-14,LTC,-0.2159828325260176,0.10855756104829843,0.324540393574316,9.6944,long
2021-02-14,BCH,0.12381484915838296,-0.29997343290923295,-0.42378828206761593,13.0461,short
2021-02-14,LINK,0.12146175410326009,0.08787810757574269,-0.0335836465275174,7.4291,long
2021-02-14,ETC,0.11358207976738617,0.08195258993634244,-0.03162948983104373,7.761800000000001,long
2021-02-14,ETH,0.14114131697097076,0.09822671456114854,-0.04291460240982223,10.0503,long
2021-02-14,FIL,0.0,-0.20002656709076705,-0.20002656709076705,13.6887,short
2021-02-14,BTC,-0.2840171674739824,0.12338502687846793,0.40740219435245034,10.0028,long
2021-02-21,LTC,0.10855756104829843,-0.22218521337901542,-0.33074277442731387,11.2383,short
2021-02-21,BCH,-0.29997343290923295,0.11574295121237027,0.4157163841216032,9.4816,long
2021-02-21,LINK,0.08787810757574269,0.11405638598017558,0.02617827840443289,4.7883,long
2021-02-21,ETC,0.08195258993634244,0.07936093231480386,-0.0025916576215385817,8.5964,long
2021-02-21,ETH,0.09822671456114854,0.12531578413039635,0.02708906956924781,8.940299999999999,long
2021-02-21,FIL,-0.20002656709076705,0.06552394636225391,0.26555051345302094,3.7186,long
2021-02-21,BTC,0.12338502687846793,-0.2778147866209845,-0.40119981349945244,13.9162,short
2021-02-28,LTC,-0.22218521337901542,-0.21704254201494524,0.005142671364070178,1.0,short
2021-02-28,BCH,0.11574295121237027,0.0,-0.11574295121237027,1.0,close
2021-02-28,LINK,0.11405638598017558,0.13821514889541087,0.02415876291523529,1.0,long
2021-02-28,ETC,0.07936093231480386,0.09837367707964896,0.019012744764845102,1.0,long
2021-02-28,ETH,0.12531578413039635,0.1759656507619319,0.05064986663153556,-0.1323,long
2021-02-28,FIL,0.06552394636225391,0.08744552326300827,0.021921576900754358,-1.7374,long
2021-02-28,BTC,-0.2778147866209845,-0.28295745798505473,-0.005142671364070206,1.5013,short
2021-03-07,LTC,-0.21704254201494524,-0.14493102074279782,0.07211152127214743,3.0272,short
2021-03-07,LINK,0.13821514889541087,0.20964142845002456,0.0714262795546137,1.0,long
2021-03-07,ETC,0.09837367707964896,0.1557106668164399,0.05733698973679095,1.0,long
2021-03-07,ETH,0.1759656507619319,-0.1825437665895851,-0.358509417351517,1.5179,short
2021-03-07,FIL,0.08744552326300827,0.13464790473353552,0.04720238147052726,1.0,long
2021-03-07,BTC,-0.28295745798505473,-0.17252521266761706,0.11043224531743767,5.9110000000000005,short
2021-03-14,LTC,-0.14493102074279782,-0.18635495227110616,-0.04142393152830834,9.8262,short
2021-03-14,BCH,0.0,0.1566107581633206,0.1566107581633206,6.393699999999999,long
2021-03-14,ETC,0.1557106668164399,-0.12441883594680289,-0.2801295027632428,12.0653,short
2021-03-14,LINK,0.20964142845002456,0.147589944042428,-0.06205148440759656,1.0,long
2021-03-14,ETH,-0.1825437665895851,0.1957992977942514,0.37834306438383647,6.6498,long
2021-03-14,FIL,0.13464790473353552,-0.18922621178209095,-0.3238741165156265,10.0024,short
2021-03-14,BTC,-0.17252521266761706,0.0,0.17252521266761706,9.4855,close
2021-03-21,LTC,-0.18635495227110616,0.0816789616150518,0.26803391388615794,1.4825,long
2021-03-21,BCH,0.1566107581633206,0.07126035168992076,-0.08535040647339984,1.0,long
2021-03-21,ETC,-0.12441883594680289,0.06404523557484325,0.18846407152164613,2.4004000000000003,long
2021-03-21,ETH,0.1957992977942514,0.07931892930775646,-0.11648036848649494,1.0,long
2021-03-21,LINK,0.147589944042428,0.05949600105564277,-0.08809394298678525,1.0,long
2021-03-21,FIL,-0.18922621178209095,0.046250663957116384,0.23547687573920734,1.4977,long
2021-03-21,BTC,0.0,0.09794985679966861,0.09794985679966861,1.0,long
2021-03-28,LTC,0.0816789616150518,-0.14123617049865786,-0.22291513211370967,5.9586,short
2021-03-28,BCH,0.07126035168992076,-0.13937875929151247,-0.21063911098143323,5.1518,short
2021-03-28,ETC,0.06404523557484325,-0.11622179183888788,-0.18026702741373113,6.708200000000001,short
2021-03-28,ETH,0.07931892930775646,0.1918994128480602,0.11258048354030374,1.6958000000000002,long
2021-03-28,LINK,0.05949600105564277,-0.10316327837094177,-0.16265927942658454,6.7637,short
2021-03-28,FIL,0.046250663957116384,0.08588857005997731,0.03963790610286093,1.0,long
