date,portfolio_value,return,n_coins
2021-02-02,1.011645962732919,0.011645962732919068,1
2021-02-03,1.1591614906832297,0.1458173445894091,1
2021-02-04,1.0981366459627329,-0.05264567983924984,1
2021-02-05,1.2981366459627326,0.18212669683257898,1
2021-02-06,1.263198757763975,-0.026913875598086112,1
2021-02-07,1.313975155279503,0.04019668100799012,1
2021-02-08,1.5630434782608695,0.18955329709288593,1
2021-02-09,1.5998447204968946,0.023544605603020186,1
2021-02-10,1.6034161490683232,0.002232359506939785,1
2021-02-11,1.9248447204968948,0.200464846019756,1
2021-02-12,2.6740683229813667,0.38923846402065165,1
2021-02-13,2.599378881987578,-0.02793101445909063,1
2021-02-14,2.287888198757764,-0.11983273596176813,1
2021-02-15,2.1072981366459627,-0.07893307995113352,1
2021-02-16,2.040527950310559,-0.03168521111192979,1
2021-02-17,2.1248447204968945,0.04132105623620741,1
2021-02-18,2.172049689440994,0.022215726395790725,1
2021-02-19,2.1305900621118017,-0.019087789533886124,1
2021-02-20,2.0385093167701864,-0.04321842431309686,1
2021-02-21,2.0321428571428575,-0.00312309567336988,1
2021-02-22,1.7763975155279506,-0.1258500802322916,1
2021-02-23,1.5619565217391307,-0.12071678321678314,1
2021-02-24,1.648291925465839,0.0552738840839051,1
2021-02-25,1.5240683229813667,-0.0753650494583138,1
2021-02-26,1.5105590062111804,-0.008863983698420785,1
2021-02-27,1.7082298136645966,0.130859375,1
2021-02-28,1.5895962732919258,-0.06944823197891103,1
2021-03-01,1.6927018633540376,0.06486275275959752,1
2021-03-02,1.8407276862990392,0.08744943581009168,1
2021-03-03,1.8461251862891213,0.002932264250848693,1
2021-03-04,1.7590116659636064,-0.04718722271517295,1
2021-03-05,1.7024484870083592,-0.03215622730066503,1
2021-03-06,1.7433515445963268,0.024026017762126095,1
2021-03-07,1.7802330961218806,0.02115554469772407,1
2021-03-08,1.7923713282695317,0.006818338662556878,1
2021-03-09,1.852906870646918,0.03377399617066579,1
2021-03-10,1.769470857901899,-0.045029792952242964,1
2021-03-11,1.7046517153806386,-0.0366319356048157,1
