rebalance_date,symbol,decile,dilution_velocity,rank,period_return,n_days
2021-02-01,ETC,2,0.0,48,0.49056603773585006,28
2021-02-01,BTC,4,1.6158525345621058,1,0.48030652616109526,28
2021-02-01,BCH,5,2.3722314228111987,10,0.2102126016554453,28
2021-02-01,LTC,5,2.5420841573349438,8,0.33300514995455854,28
2021-02-01,DASH,6,3.3728084959954514,42,1.1710393006358735,28
2021-02-01,LINK,6,5.891129032258064,7,0.21068674155301448,28
2021-02-01,ALGO,7,6.008795824692335,53,0.6927018633540376,28
2021-02-01,XLM,8,8.409634097679616,11,0.3327099972799876,28
2021-02-01,ZEC,9,12.455880616359371,45,0.402456891693902,28
2021-02-01,SNX,9,14.982835246406474,24,0.17881791943782188,28
2021-03-01,ETC,2,0.0,53,0.2738456052772327,31
2021-03-01,BTC,4,1.6029434019369455,1,0.18306184200453735,31
2021-03-01,BCH,4,1.9810169491525882,11,0.1085144566301095,31
2021-03-01,LTC,4,2.613220698985623,8,0.1514686665530367,31
2021-03-01,DASH,5,3.393929928279215,41,0.03703999999999974,31
2021-03-01,LINK,6,6.8097457627119615,9,0.08471037788966584,31
2021-03-01,XLM,6,7.524263442387454,10,-0.01673357778504503,31
2021-03-01,SNX,7,7.872337163366113,37,-0.07208663169915008,31
2021-03-01,ADA,8,11.498493645259398,3,-0.037235772357723684,15
2021-03-01,ZEC,8,12.456159957627095,52,0.32883317261330824,31
2021-03-01,CRV,9,16.117197653725555,97,0.38449625381942987,8
2021-03-01,ALGO,10,55.56212435765525,40,0.21209063388679983,31
2021-04-01,ETC,2,0.0,65,2.1318404478656405,30
2021-04-01,BTC,3,1.6073898809523361,1,-0.014766762795931143,30
2021-04-01,BCH,3,1.8359126984126848,14,0.8082098143617795,30
2021-04-01,LTC,4,2.574730368749665,9,0.36675383628558667,30
2021-04-01,DASH,4,3.3917520199061273,46,0.38163319533372775,30
2021-04-01,SNX,4,5.160754362651119,51,-0.051759920738384646,30
2021-04-01,XLM,5,6.534262598409709,16,0.275077013072172,30
2021-04-01,LINK,6,6.899166666666708,10,0.37273698855708703,30
2021-04-01,ADA,6,7.537901389669993,5,0.14313460564093927,30
2021-04-01,ZEC,7,12.455339037698376,59,0.5593855829704879,30
2021-04-01,CRV,8,14.34155801662496,100,0.030958067539377243,30
2021-04-01,ALGO,10,57.668908938485544,37,0.05623249829713184,30
2021-05-01,ETC,1,0.0,31,0.5120883049559819,31
2021-05-01,BTC,3,1.5732274107143036,1,-0.3659616918841714,31
2021-05-01,BCH,3,1.7929136904762344,10,-0.312339587354012,31
2021-05-01,LTC,4,1.9310477765622491,11,-0.3394223826714806,31
