date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure
2020-01-05,10000.0,38,39,9999.999999999989,0.0,9999.999999999989,9999.999999999989
2021-01-03,26433.186149532205,38,38,26433.18614953219,0.0,26433.18614953219,26433.18614953219
2022-01-02,88905.45986604656,38,38,88905.45986604657,0.0,88905.45986604657,88905.45986604657
2023-01-01,23580.039243079264,37,38,23580.039243079245,0.0,23580.039243079245,23580.039243079245
2024-01-07,40812.3113150889,38,38,40812.31131508892,0.0,40812.31131508892,40812.31131508892
2025-01-05,73462.29560909477,39,39,73462.29560909483,0.0,73462.29560909483,73462.29560909483
