strategy,initial_capital,final_capital,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,n_rebalances
Long Low Volume / Short High Volume,100000,21707.42608874719,-78.2925739112528,-25.867493015697065,27.564681637874017,-0.9384288690697227,-80.97918263829627,45.58087826570317,257
Long Low RVOL / Short High RVOL,100000,383.52155788989717,-99.61647844211011,-66.38410763036386,32.087331013457046,-2.068857257168667,-99.67905598680473,48.02668148971651,257
