decile,total_return_pct,annualized_return_pct,volatility_pct,sharpe_ratio,max_drawdown_pct,n_days,avg_coins,avg_weight_concentration
1,8.646953334625373,4.624872513043199,84.83100896820578,0.05451865502126206,-66.65013859426502,671,3.590909090909091,0.30819707332075597
2,-21.006608173491003,-12.062992933830119,88.8810900258609,-0.13572057825033718,-72.26662047001889,671,3.3181818181818183,0.3261387698064438
3,17.719456132616386,9.300681284491063,63.698179318716754,0.1460117288118186,-51.18666497320683,671,3.409090909090909,0.3431276926394041
4,103.83758250695018,47.43686356392607,75.6814511121959,0.6267964325050015,-50.92012378060136,671,3.090909090909091,0.3595093433537508
5,296.6004540999997,111.9296907171282,86.04740732967436,1.3007909731468232,-57.4483380029215,671,3.1363636363636362,0.36728406881390185
6,73.82301859968538,35.17435583267488,87.9321522384086,0.400017001031743,-64.63172463049854,671,3.5454545454545454,0.31429105191236056
7,-1.1971173025716153,-0.6543947512083093,88.98821793087869,-0.007353723520080021,-69.32492903294867,671,3.1363636363636362,0.35339290986529287
8,-57.76050613160937,-37.48836879679731,92.11899274826666,-0.4069559129813944,-81.90262198894006,671,3.3636363636363638,0.32740792156062837
9,-47.198995934995224,-29.400993088360604,98.8475214742361,-0.297437838095149,-77.12686747727474,671,3.3636363636363638,0.31765669732168916
10,-45.41275392834475,-28.108845908728398,99.5414241495983,-0.2823834011705953,-83.43088456267613,671,3.6363636363636362,0.2963159993472498
