symbol,timestamp,mid_price,best_bid,best_ask,best_bid_size,best_ask_size,spread_abs,spread_pct,spread_vol_adj,total_bid_liquidity,total_ask_liquidity,total_bid_size,total_ask_size,avg_bid_price,avg_ask_price,orderbook_imbalance,top_of_book_imbalance,depth_impact_100,depth_impact_1000,depth_impact_5000,depth_impact_10000,depth_impact_1000_vol_adj,liquidity_score,price_impact_per_1k,deep_bid_pct,deep_ask_pct,volume_24h,amihud_illiquidity,volatility_30d,orderbook_depth_levels,liquidity_regime
BTC/USDC:USDC,2025-11-02 19:56:43.935280,110138.5,110138.0,110139.0,4.25095,8.44162,1.0,0.000907947720370261,0.00040511105659136565,2602719.60792,2638794.74308,23.63315,23.95729,110130.03378390099,110145.79458194145,-0.006882578725195608,-0.33016717654501815,0.0004539738601851305,0.0004539738601851305,0.0004539738601851305,0.0004539738601851305,0.00020255552829568282,0.0006076665848870485,0.05,82.01146486639176,64.76605133392094,1413494625.7104597,0.0,2.241231646476895,20,Liquid
ETH/USDC:USDC,2025-11-02 19:56:46.435753,3854.05,3854.0,3854.1,117.9443,196.1853,0.09999999999990905,0.002594673136049326,0.0006592753085551465,5680915.70756,5416295.07722,1474.4039,1404.9828,3853.0254210260837,3855.0614834715416,0.023845688387115354,-0.2490723573964377,0.001297336568024663,0.001297336568024663,0.0012973365680305625,0.0012973365680305625,0.00032963765427757323,0.0009889129628327196,0.0049999999999954525,91.99852003445346,86.03994512946497,580642371.1593804,0.0,3.9356443391392215,20,Liquid
ATOM/USDC:USDC,2025-11-02 19:56:48.937236,2.96485,2.9643,2.9654,80.0,200.0,0.0010999999999996568,0.037101371064291844,0.007168953289309609,48479.295212000005,59157.548376,16364.61,19936.71,2.962447330672714,2.9672673362856763,-0.09920630156039312,-0.42857142857142855,0.01855068553215341,0.021327505720777854,0.02417945290680317,0.0364563164587772,0.004121030784139789,0.011289984073449399,6.323285533624823e-05,99.51083447281366,98.99745676370758,594998.2820890002,0.0,5.175284252391163,20,Illiquid
DYDX/USDC:USDC,2025-11-02 19:56:51.438433,0.31128,0.31116,0.3114,1373.6,9766.4,0.00024000000000001798,0.07710100231303585,,40862.941434,43151.349127,131567.4,138247.3,0.31058561189169964,0.3121315868519675,-0.027238314788106958,-0.7533931777378814,0.038550501156517925,0.04222964588889999,0.04614229939510674,0.06726828513251712,,,1.314524417229679e-05,98.95404158144039,92.95211616431925,359815.626254,0.0,,20,Medium
SOL/USDC:USDC,2025-11-02 19:56:53.961833,183.815,183.81,183.82,190.42,536.38,0.009999999999990905,0.005440252427707698,0.0010260127776272705,4584859.824,3516236.1213,24956.32,19118.010000000002,183.715380472762,183.92270541233108,0.13191100437712772,-0.4760044028618603,0.002720126213838387,0.0027201262138461177,0.002720126213853849,0.002720126213853849,0.0005130063888121771,0.0015390191664394477,0.0004999999999981241,99.23659388632161,97.19593997107488,333161333.0927002,0.0,5.302324246184028,20,Liquid
AVAX/USDC:USDC,2025-11-02 19:56:56.369017,18.151,18.149,18.153,68.95,497.72,0.003999999999997783,0.022037353313854792,,349825.62561,258871.50288,19287.37,14251.84,18.137549370909564,18.16407585827514,0.14942426778918877,-0.7566484903029982,0.011018676656927396,0.011018676656927396,0.013330015274099397,0.015373851576166619,,,0.00019999999999988915,99.6422864826389,96.50980851137244,4872706.32241,0.0,,20,Medium
BNB/USDC:USDC,2025-11-02 19:56:58.892953,1078.05,1078.0,1078.1,19.822,11.231,0.09999999999990905,0.0092760076063178,,1290191.8427,1156412.6477,1197.846,1071.644,1077.093251302755,1079.1014998450978,0.054679534646863995,0.27665603967410557,0.0046380038031589,0.0046380038031589,0.0046380038031589,0.0046380038031589,,,0.0049999999999954525,98.34380320098114,98.95295670415904,6788404.864099998,0.0,,20,Medium
APE/USDC:USDC,2025-11-02 19:57:01.501519,0.40053,0.40043,0.40063,1000.0,3000.0,0.00019999999999997797,0.04993383766508826,0.014967549398732708,57815.11972,46521.538054000004,144548.2,115952.8,0.39997121873534225,0.4012109932144804,0.10824174271005145,-0.5,0.02496691883254413,0.026696229801601887,0.03299573389325725,0.04107646676628006,0.00800213156047417,0.02296968095920688,1.0692640922435603e-05,99.30739570904757,97.41648696437142,826244.4298849996,0.0,3.336139827226234,20,Illiquid
OP/USDC:USDC,2025-11-02 19:57:04.010208,0.40851000000000004,0.40844,0.40858,5212.2,2000.0,0.00013999999999997348,0.03427088688158759,0.005570964746591352,74391.462281,121592.948718,182270.2,297226.4,0.4081383697444782,0.4090920211596278,-0.24084306601937253,0.4453842100884612,0.017135443440793797,0.017359227856446457,0.019807578208696126,0.034634342844356375,0.0028218600455381573,0.00839282479212951,7.091418171636943e-06,97.1382858963592,99.32795445080029,980123.6507710001,0.0,6.151696957435703,20,Illiquid
LTC/USDC:USDC,2025-11-02 19:57:06.417813,98.1845,98.173,98.196,15.97,47.72,0.022999999999996135,0.02342528606857104,0.004768178204618707,116668.76384,97045.97565,1188.69,988.06,98.14902442184253,98.21870701171993,0.09181766422300593,-0.4985084000628042,0.011712643034292758,0.011712643034278283,0.012190161146802856,0.01616857665054975,0.0023840891023078807,0.007152267306926588,0.0011499999999990962,98.65617603341532,95.17145034751373,11539099.020010002,0.0,4.912837789049092,20,Medium
