date,symbol,close,daily_return,volatility_30d
2025-09-17,0G/USDC:USDC,2.7815,,
2025-09-18,0G/USDC:USDC,2.8067,0.009019065466950638,
2025-09-19,0G/USDC:USDC,2.7694,-0.013378725761684876,
2025-09-20,0G/USDC:USDC,2.6399,-0.04788965258554992,
2025-09-21,0G/USDC:USDC,3.153,0.1776133429099972,
2025-09-22,0G/USDC:USDC,4.7488,0.40953757398794577,
2025-09-23,0G/USDC:USDC,5.739,0.18939302457535584,
2025-09-24,0G/USDC:USDC,4.9884,-0.14016976206177043,
2025-09-25,0G/USDC:USDC,3.8637,-0.25548994347985776,
2025-09-26,0G/USDC:USDC,3.6665,-0.05238774503288005,
2025-09-27,0G/USDC:USDC,3.71,0.011794348067626538,
2025-09-28,0G/USDC:USDC,3.7336,0.006341039034125048,
2025-09-29,0G/USDC:USDC,2.8598,-0.266621223336859,
2025-09-30,0G/USDC:USDC,2.5159,-0.12812109989627515,
2025-10-01,0G/USDC:USDC,2.7569,0.09147626765411086,
2025-10-02,0G/USDC:USDC,2.6989,-0.021262577484514805,
2025-10-03,0G/USDC:USDC,3.3322,0.2107884639229006,
2025-10-04,0G/USDC:USDC,2.9856,-0.10983201484194366,
2025-10-05,0G/USDC:USDC,2.8761,-0.03736552190196405,
2025-10-06,0G/USDC:USDC,3.0506,0.05890308281477217,
2025-10-07,0G/USDC:USDC,2.8473,-0.06896711576127658,
2025-10-08,0G/USDC:USDC,2.7884,-0.020903222192312547,
2025-10-09,0G/USDC:USDC,2.5936,-0.07242108263083205,
2025-10-10,0G/USDC:USDC,2.1406,-0.19196070843113633,
2025-10-11,0G/USDC:USDC,2.1758,0.016310249436707076,
2025-10-12,0G/USDC:USDC,2.2737,0.04401204749911076,
2025-10-13,0G/USDC:USDC,2.3525,0.034070131973441664,
2025-10-14,0G/USDC:USDC,2.1895,-0.07180538521808175,
2025-10-15,0G/USDC:USDC,2.0293,-0.07598230125852978,
2025-10-16,0G/USDC:USDC,1.9362,-0.04696361669695203,
2025-10-02,2Z/USDC:USDC,0.59723,,
2025-10-03,2Z/USDC:USDC,0.52108,-0.13639871800129308,
2025-10-04,2Z/USDC:USDC,0.49608,-0.04916637678774079,
2025-10-05,2Z/USDC:USDC,0.49089,-0.010517133932708677,
2025-10-06,2Z/USDC:USDC,0.49638,0.011121692321232734,
2025-10-07,2Z/USDC:USDC,0.43688,-0.1276832045862483,
2025-10-08,2Z/USDC:USDC,0.41407,-0.053623516185751535,
2025-10-09,2Z/USDC:USDC,0.36206,-0.1342250977103489,
2025-10-10,2Z/USDC:USDC,0.25883,-0.335638468410156,
2025-10-11,2Z/USDC:USDC,0.2578,-0.003987385032554791,
2025-10-12,2Z/USDC:USDC,0.26351,0.02190722742035851,
2025-10-13,2Z/USDC:USDC,0.28324,0.07220327685812768,
2025-10-14,2Z/USDC:USDC,0.2864,0.011094840302917445,
2025-10-15,2Z/USDC:USDC,0.26032,-0.09547779161576286,
2025-10-16,2Z/USDC:USDC,0.24369,-0.06601471773975554,
2025-03-31,ACE/USDC:USDC,0.6045,,
2025-04-01,ACE/USDC:USDC,0.6033,-0.0019870846081314177,
2025-04-02,ACE/USDC:USDC,0.5337,-0.12258070210681692,
2025-04-03,ACE/USDC:USDC,0.5291,-0.008656433429812958,
2025-04-04,ACE/USDC:USDC,0.5345,0.010154280555013866,
2025-04-05,ACE/USDC:USDC,0.5257,-0.016601022639697607,
2025-04-06,ACE/USDC:USDC,0.4622,-0.1287330099851219,
2025-04-07,ACE/USDC:USDC,0.4783,0.03424045284597092,
2025-04-08,ACE/USDC:USDC,0.4466,-0.06857481128019376,
2025-04-09,ACE/USDC:USDC,0.5082,0.12921173148000625,
2025-04-10,ACE/USDC:USDC,0.4844,-0.047964059207126555,
2025-04-11,ACE/USDC:USDC,0.4885,0.008428459803900125,
2025-04-12,ACE/USDC:USDC,0.5138,0.05049461319294585,
2025-04-13,ACE/USDC:USDC,0.4592,-0.11234823967042655,
