date,n_coins,avg_weight,max_weight,min_weight,weight_concentration
2024-01-01,2,0.5,0.8361089403823392,0.16389105961766076,0.7259384396098776
2024-02-01,3,0.3333333333333333,0.5748328176262903,0.11426020008202326,0.44015131318068695
2024-03-01,2,0.5,0.8022750446220094,0.1977249553779906,0.6827404052024755
2024-04-01,3,0.3333333333333333,0.38316176792047746,0.28101748047743097,0.3385593419364228
2024-05-01,3,0.3333333333333333,0.4142040207259232,0.18250488014171093,0.36751671270045305
2024-06-01,3,0.3333333333333333,0.41303311580988306,0.25581673447393904,0.34569897804957717
2024-07-01,3,0.3333333333333333,0.3874465798994375,0.23445151524533167,0.3480434157317572
2024-08-01,2,0.5,0.5310414293055751,0.4689585706944249,0.501927140666666
2024-09-01,3,0.3333333333333333,0.37801454907225546,0.30692853422466393,0.3363609851940532
2024-10-01,3,0.3333333333333333,0.39968072310584013,0.2890338196924243,0.3401838652136936
2024-11-01,3,0.3333333333333333,0.4022996211908752,0.2698595918850217,0.3421487661136873
2024-12-01,3,0.3333333333333333,0.44572555459649793,0.2456696050222035,0.3542617723588879
2025-01-01,3,0.3333333333333333,0.3707957977661457,0.2842576635265319,0.3372800574807576
2025-02-01,3,0.3333333333333333,0.4419893078628501,0.20640953582198115,0.36158281786549074
2025-03-01,3,0.3333333333333333,0.4082139449131677,0.21679222472846668,0.3542578663311274
2025-04-01,3,0.3333333333333333,0.3600043699786859,0.30413175070923393,0.3349038136197737
2025-05-01,3,0.3333333333333333,0.3803788291009071,0.28679051966819064,0.33771309819851436
2025-06-01,4,0.25,0.3028174920043886,0.19762277530142636,0.2566968066886127
2025-07-01,4,0.25,0.298190353526933,0.1863000813892607,0.25941674795413866
2025-08-01,4,0.25,0.27030207024271635,0.22877257235331436,0.25136862460763565
2025-09-01,4,0.25,0.3084026248688456,0.22710347568467623,0.25459972756031246
2025-10-01,5,0.2,0.26372848705693397,0.13086975781989654,0.20889881764124046
