rebalance_date,symbol,decile,dilution_velocity,rank,volatility,period_return,n_days
2024-03-01,ETC,4,2.9015872981059783,23,0.8295089132251566,0.0774299835255352,31
2024-03-01,DASH,4,3.0256688118472446,167,0.6418078337093129,0.11274654106564697,31
2024-03-01,JASMY,5,3.4529091939530234,93,1.864251142320901,-0.00818488204140555,31
2024-03-01,XRP,5,3.70550948295901,6,0.45945461771459895,0.015887788340091857,31
2024-03-01,XLM,6,4.214812058430496,35,0.4394409101432554,0.06652036433998765,31
2024-03-01,ZEN,6,6.196086769480522,195,1.2153751035784561,0.20033955857385433,31
2024-03-01,SHIB,6,6.809204114687013,14,1.0223045127590844,0.6968620485494375,31
2024-03-01,AVAX,7,7.313394872179639,10,0.940594223928882,0.19953325554258994,31
2024-03-01,LINK,7,7.893790983606562,12,0.7816787005752236,-0.08433434680755691,31
2024-03-01,ALGO,7,9.326133863030186,52,0.8274208637265734,0.09930008748906394,31
2024-03-01,SUI,8,9.366436338497913,48,1.2973864982341439,0.14623617763585806,31
2024-03-01,HNT,8,10.006535427824971,65,1.9339038854750572,-0.36816578483245155,31
2024-03-01,CRV,9,13.335425129912377,113,0.8038308518218784,0.0015267175572524216,31
2024-03-01,SNX,9,15.270936133263914,69,0.8921185998050629,-0.029709507042253946,31
2024-03-01,OP,9,16.06254060394856,34,1.3260001133446655,-0.06975196934213235,31
2024-03-01,APE,10,23.581785742008204,74,0.8564743030960527,-0.11413681393492625,31
2024-03-01,IMX,10,26.93828092326717,24,1.0657355479566535,-0.09783760204399583,31
2024-03-01,BONK,10,29.821616745785228,60,1.6115284560538325,0.03660498793242173,31
2024-04-01,SHIB,1,-0.04230556826521017,12,1.7540731182774811,-0.21039776692253986,30
2024-04-01,VET,1,0.0,44,0.9945338612980387,-0.20653889515219837,30
2024-04-01,QNT,1,0.0,68,0.7424265550645732,-0.20119741610209585,30
2024-04-01,STRK,2,0.0,73,1.268293080431601,-0.3780607247796278,30
2024-04-01,ZEC,2,0.0,175,0.910158392031672,-0.2358198693709177,30
2024-04-01,FET,2,0.7183041000581912,53,1.541528079722214,-0.30309328345283915,30
2024-04-01,CRO,3,1.305865555221309,33,0.8585969119436112,-0.16666666666666696,30
2024-04-01,BCH,3,1.4290596335870362,14,1.474976369567819,-0.3455058779968524,30
2024-04-01,BTC,3,1.4407035811865645,1,0.6063741905857406,-0.1638336943552856,30
2024-04-01,ADA,4,1.6721978010594722,9,0.8071198125768271,-0.2766395550697617,30
2024-04-01,LTC,4,1.7831145240884627,20,0.8366847849604342,-0.1938569989929504,30
2024-04-01,DASH,5,2.476351491020933,183,0.7904639024345079,-0.24391534391534397,30
2024-04-01,ETC,5,2.6072264538561973,27,0.9446180407670332,-0.2195718654434251,30
