date,symbol,side,weight,capital,price,shares
2020-01-05,BTC,LONG,0.013157894736842105,131.57894736842104,7411.31732676,0.01775378675169254
2020-01-05,ETH,LONG,0.013157894736842105,131.57894736842104,136.27677671,0.9655272933878085
2020-01-05,XRP,LONG,0.013157894736842105,131.57894736842104,0.1955372,672.9100517365547
2020-01-05,BCH,LONG,0.013157894736842105,131.57894736842104,224.09652398,0.5871530045694243
2020-01-05,LTC,LONG,0.013157894736842105,131.57894736842104,43.55320636,3.0211081655119054
2020-01-05,EOS,LONG,0.013157894736842105,131.57894736842104,2.70163144,48.70351500218736
2020-01-05,BNB,LONG,0.013157894736842105,131.57894736842104,14.11101855,9.324553497126615
2020-01-05,BSV,LONG,0.013157894736842105,131.57894736842104,110.86509078,1.1868384037092927
2020-01-05,XMR,LONG,0.013157894736842105,131.57894736842104,54.09689476,2.4322828131294583
2020-01-05,XLM,LONG,0.013157894736842105,131.57894736842104,0.04535862,2900.858698267739
2020-01-05,TRX,LONG,0.013157894736842105,131.57894736842104,0.01362289,9658.666213147213
2020-01-05,ADA,LONG,0.013157894736842105,131.57894736842104,0.03472142,3789.561238233374
2020-01-05,XTZ,LONG,0.013157894736842105,131.57894736842104,1.26356942,104.13274117414224
2020-01-05,LEO,LONG,0.013157894736842105,131.57894736842104,0.85698267,153.5374657791167
2020-01-05,ATOM,LONG,0.013157894736842105,131.57894736842104,4.23187727,31.092335380610184
2020-01-05,HT,LONG,0.013157894736842105,131.57894736842104,2.93813586,44.78313925497681
2020-01-05,NEO,LONG,0.013157894736842105,131.57894736842104,9.06881439,14.508947003426435
2020-01-05,LINK,LONG,0.013157894736842105,131.57894736842104,1.8077868,72.78454924464602
2020-01-05,ETC,LONG,0.013157894736842105,131.57894736842104,4.90789917,26.80962725817797
2020-01-05,HEDG,LONG,0.013157894736842105,131.57894736842104,1.81006277,72.6930300701235
2020-01-05,MIN,LONG,0.013157894736842105,131.57894736842104,3.00420704,43.79822882261172
2020-01-05,MIOTA,LONG,0.013157894736842105,131.57894736842104,0.17304361,760.3802727440849
2020-01-05,DASH,LONG,0.013157894736842105,131.57894736842104,51.47923094,2.555961792082301
2020-01-05,CRO,LONG,0.013157894736842105,131.57894736842104,0.0346182,3800.860453993016
2020-01-05,MKR,LONG,0.013157894736842105,131.57894736842104,442.08903524,0.29762997242623274
2020-01-05,ONT,LONG,0.013157894736842105,131.57894736842104,0.55206405,238.34000306381304
2020-01-05,VET,LONG,0.013157894736842105,131.57894736842104,0.00550431,23904.71237419786
2020-01-05,DOGE,LONG,0.013157894736842105,131.57894736842104,0.00241908,54392.14385982317
2020-01-05,XEM,LONG,0.013157894736842105,131.57894736842104,0.03236255,4065.7781098343935
2020-01-05,BAT,LONG,0.013157894736842105,131.57894736842104,0.18889797,696.5609390530827
2020-01-05,ZEC,LONG,0.013157894736842105,131.57894736842104,31.02127469,4.241571266278003
2020-01-05,INO,LONG,0.013157894736842105,131.57894736842104,1.38314903,95.12998564472915
2020-01-05,FTT,LONG,0.013157894736842105,131.57894736842104,2.15487044,61.061187218485884
2020-01-05,DCR,LONG,0.013157894736842105,131.57894736842104,17.78129905,7.399850089604169
2020-01-05,SNX,LONG,0.013157894736842105,131.57894736842104,1.12734729,116.71553968823667
2020-01-05,INB,LONG,0.013157894736842105,131.57894736842104,0.45850056,286.97663394003496
2020-01-05,QTUM,LONG,0.013157894736842105,131.57894736842104,1.63808932,80.3246476012804
2020-01-05,PZM,LONG,0.013157894736842105,131.57894736842104,0.28495156,461.7589999100936
2020-01-05,GXC,SHORT,-0.01282051282051282,128.2051282051282,0.39232862,326.77995351225763
2020-01-05,FET,SHORT,-0.01282051282051282,128.2051282051282,0.03867788,3314.6886076777787
2020-01-05,EVR,SHORT,-0.01282051282051282,128.2051282051282,0.05192333,2469.1237677769936
2020-01-05,RCN,SHORT,-0.01282051282051282,128.2051282051282,0.0454598,2820.186806917941
2020-01-05,BZ,SHORT,-0.01282051282051282,128.2051282051282,0.17421097,735.9188012392573
2020-01-05,HBAR,SHORT,-0.01282051282051282,128.2051282051282,0.01175996,10901.833697149328
2020-01-05,BRD,SHORT,-0.01282051282051282,128.2051282051282,0.25248363,507.77600197338813
2020-01-05,AGVC,SHORT,-0.01282051282051282,128.2051282051282,0.05722901,2240.212231613446
2020-01-05,AION,SHORT,-0.01282051282051282,128.2051282051282,0.06145323,2086.222777958591
2020-01-05,VEST,SHORT,-0.01282051282051282,128.2051282051282,0.00312947,40967.04176909451
2020-01-05,KICK,SHORT,-0.01282051282051282,128.2051282051282,6.836e-05,1875440.7285712142
2020-01-05,WICC,SHORT,-0.01282051282051282,128.2051282051282,0.11445893,1120.0972104590546
2020-01-05,TT,SHORT,-0.01282051282051282,128.2051282051282,0.00741992,17278.50545627557
2020-01-05,HYN,SHORT,-0.01282051282051282,128.2051282051282,0.06708388,1911.1167720938056
2020-01-05,RDD,SHORT,-0.01282051282051282,128.2051282051282,0.00073624,174134.967137249
2020-01-05,QBIT,SHORT,-0.01282051282051282,128.2051282051282,26.21647208,4.890250977092117
2020-01-05,FUN,SHORT,-0.01282051282051282,128.2051282051282,0.00323699,39606.27873584046
2020-01-05,NEW,SHORT,-0.01282051282051282,128.2051282051282,0.00176603,72595.10212461182
2020-01-05,LRC,SHORT,-0.01282051282051282,128.2051282051282,0.02212308,5795.084961277011
2020-01-05,TNT,SHORT,-0.01282051282051282,128.2051282051282,0.04758104,2694.4583011453346
2020-01-05,VERI,SHORT,-0.01282051282051282,128.2051282051282,9.44750936,13.570256807359035
