symbol,first_date,last_date,days_span,actual_days,expected_days,missing_days,coverage_pct,is_current,days_since_last,market_cap,rank,num_gaps,largest_gap_days,gaps
GNO,2022-07-21,2022-10-28,99,100,100,0,100.0,False,1102,969143274.0308416,95.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
BIO,2025-07-31,2025-10-24,85,86,86,0,100.0,False,10,963692599.7358963,111.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
ZEC,2021-01-01,2025-10-24,1757,1758,1758,0,100.0,False,10,955795255.3769988,110.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
RSR,2025-04-22,2025-10-24,185,186,186,0,100.0,False,10,900348878.381598,112.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
W,2025-07-02,2025-10-24,114,115,115,0,100.0,False,10,868432960.5077666,116.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
JTO,2024-01-01,2025-10-24,662,663,663,0,100.0,False,10,864265984.8432496,115.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
PENDLE,2025-03-27,2025-10-24,211,212,212,0,100.0,False,10,855735460.3852999,118.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
POPCAT,2025-02-13,2025-10-24,253,254,254,0,100.0,False,10,844807311.7319478,121.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
CAKE,2025-06-12,2025-10-24,134,135,135,0,100.0,False,10,838357954.1236086,122.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
ATOM,2020-01-14,2020-10-27,287,288,288,0,100.0,False,1833,806970071.7444313,16.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
BNT,2021-01-01,2025-10-24,1757,1758,1758,0,100.0,False,10,796914085.8537238,115.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
GIGA,2024-12-29,2025-10-24,299,300,300,0,100.0,False,10,769429559.7931653,126.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
