symbol,first_date,last_date,days_span,actual_days,expected_days,missing_days,coverage_pct,is_current,days_since_last,market_cap,rank,num_gaps,largest_gap_days,gaps
ILV,2022-10-13,2022-10-28,15,16,16,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
IO,2024-10-09,2024-10-27,18,19,19,0,100.0,False,372,,999.0,1,371,"[{'start': Timestamp('2024-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 371}]"
JASMY,2021-10-07,2021-10-28,21,22,22,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
LPT,2021-06-24,2021-10-28,126,127,127,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
MASK,2021-07-15,2021-10-28,105,106,106,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
METIS,2022-06-28,2022-10-28,122,123,123,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
NKN,2021-04-09,2021-10-28,202,203,203,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
NMR,2020-08-18,2020-10-27,70,71,71,0,100.0,False,1833,,999.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
OGN,2021-04-09,2021-10-28,202,203,203,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
ONDO,2024-01-22,2024-10-27,279,280,280,0,100.0,False,372,,999.0,1,371,"[{'start': Timestamp('2024-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 371}]"
OP,2022-06-01,2022-10-28,149,150,150,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
PERP,2021-10-19,2021-10-28,9,10,10,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
