date,symbol,close,volume,market_cap,dw,dw_rank,dw_percentile,signal,weight
2024-01-22,BONK/USD,1.043e-05,1300985395368.0,651393425.618817,1.4394750681184154,1.0,14.285714285714285,-1,-0.5
2024-01-22,OXT/USD,0.09,6930391.0,263691628.991675,2.323628032476292,6.0,85.71428571428571,1,0.25
2024-01-22,XLM/USD,0.112639,83785461.0,3259659946.8074923,2.408484915558216,7.0,100.0,1,0.25
2024-01-23,BONK/USD,1.081e-05,1775209212701.0,651393425.618817,1.5139326375312514,1.0,14.285714285714285,-1,-0.5
2024-01-23,OXT/USD,0.0888,3619226.0,263691628.991675,2.3736531109557264,6.0,85.71428571428571,1,0.25
2024-01-23,XLM/USD,0.11165,61387266.0,3259659946.8074923,2.416007895976559,7.0,100.0,1,0.25
2024-01-24,BONK/USD,1.105e-05,1355024643858.0,651393425.618817,1.5109185672010603,1.0,14.285714285714285,-1,-0.5
2024-01-24,OXT/USD,0.0887,3503623.0,263691628.991675,2.3758587005599363,6.0,85.71428571428571,1,0.25
2024-01-24,XLM/USD,0.112624,51009778.0,3259659946.8074923,2.423962597841879,7.0,100.0,1,0.25
2024-01-25,BONK/USD,1.128e-05,965180653347.0,651393425.618817,1.507350498606288,1.0,14.285714285714285,-1,-0.5
2024-01-25,OXT/USD,0.0881,2397182.0,263691628.991675,2.3747073249118857,6.0,85.71428571428571,1,0.25
2024-01-25,XLM/USD,0.111749,41003418.0,3259659946.8074923,2.4318968884210594,7.0,100.0,1,0.25
2024-01-26,BONK/USD,1.182e-05,1262434729626.0,651393425.618817,1.492951737154934,1.0,14.285714285714285,-1,-0.5
2024-01-26,CRO/USD,0.0822,9818703.7,2193472219.621349,2.315984210587914,6.0,85.71428571428571,1,0.25
2024-01-26,XLM/USD,0.115861,54217865.0,3259659946.8074923,2.3585320449569855,7.0,100.0,1,0.25
2024-01-27,BONK/USD,1.164e-05,565077149923.0,651393425.618817,1.512254706126672,1.0,14.285714285714285,-1,-0.5
2024-01-27,CRO/USD,0.0818,4989037.5,2193472219.621349,2.3818563941053514,6.0,85.71428571428571,1,0.25
2024-01-27,XLM/USD,0.1163,23007041.0,3259659946.8074923,2.4181662075769847,7.0,100.0,1,0.25
2024-01-28,BONK/USD,1.157e-05,1132569615659.0,651393425.618817,1.5124293396383157,1.0,14.285714285714285,-1,-0.5
2024-01-28,CRO/USD,0.0809,3409589.0,2193472219.621349,2.37417951267017,6.0,85.71428571428571,1,0.25
2024-01-28,XLM/USD,0.113765,36974955.0,3259659946.8074923,2.3891060315364236,7.0,100.0,1,0.25
2024-01-29,BONK/USD,1.201e-05,913837140537.0,651393425.618817,1.5111880995468467,1.0,14.285714285714285,-1,-0.5
2024-01-29,CRO/USD,0.0838,6535328.2,2193472219.621349,2.3507274002220404,6.0,85.71428571428571,1,0.25
2024-01-29,XLM/USD,0.116472,46198490.0,3259659946.8074923,2.430933403351291,7.0,100.0,1,0.25
2024-01-30,BONK/USD,1.125e-05,939506298860.0,651393425.618817,1.5330139690961568,1.0,14.285714285714285,-1,-0.5
2024-01-30,CRO/USD,0.0835,8590564.1,2193472219.621349,2.393817135216406,6.0,85.71428571428571,1,0.25
2024-01-30,XLM/USD,0.112769,50927569.0,3259659946.8074923,2.4612856234675564,7.0,100.0,1,0.25
2024-01-31,BONK/USD,1.064e-05,855938101763.0,651393425.618817,1.5084814199255383,1.0,14.285714285714285,-1,-0.5
2024-01-31,CRO/USD,0.0812,5064378.6,2193472219.621349,2.35741865996076,6.0,85.71428571428571,1,0.25
2024-01-31,XLM/USD,0.10986,51859513.0,3259659946.8074923,2.378110996664758,7.0,100.0,1,0.25
2024-02-01,BONK/USD,1.075e-05,749101434845.0,651393425.618817,1.6287441145543171,1.0,16.666666666666664,-1,-0.5
2024-02-01,ALGO/USD,0.1587,10025375.3,1430115479.6308138,2.1527510379492973,5.0,83.33333333333334,1,0.25
2024-02-01,XLM/USD,0.10986,37476677.0,3259659946.8074923,2.350405582507208,6.0,100.0,1,0.25
2024-02-02,BONK/USD,1.053e-05,544853456017.0,651393425.618817,1.661153164971281,1.0,16.666666666666664,-1,-0.5
2024-02-02,ALGO/USD,0.1608,11547525.7,1430115479.6308138,2.349863884762749,5.0,83.33333333333334,1,0.25
2024-02-02,XLM/USD,0.110272,49350946.0,3259659946.8074923,2.703580037150298,6.0,100.0,1,0.25
2024-02-03,BONK/USD,1.033e-05,264015838090.0,651393425.618817,1.610764428933995,1.0,16.666666666666664,-1,-0.5
2024-02-03,ALGO/USD,0.1657,7489839.4,1430115479.6308138,2.236948596351125,5.0,83.33333333333334,1,0.25
2024-02-03,XLM/USD,0.110965,51234121.0,3259659946.8074923,2.6543103620807553,6.0,100.0,1,0.25
2024-02-04,BONK/USD,1.007e-05,500823763944.0,651393425.618817,1.644928953625495,1.0,16.666666666666664,-1,-0.5
