rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
41,Ethena,ENA,10.43,,239878160.7453,2300977705.8788757,219375566.5984072,-0.7001,-1.0508,,4.42,99.35,2.02,43.3
75,Virtuals Protocol,VIRTUAL,5.88,,45918504.26694,781034213.0833814,320490547.5722329,-0.3646,-0.3477,,55.93,8.52,1.25,60.0
92,Artificial Superintelligence Alliance,FET,5.15,,28765500.1104,558039912.9798357,93378287.69944397,0.8067,0.8437,,4.3,30.87,0.41,96.7
29,Mantle,MNT,4.1,,161978835.55684,3948225350.573865,119377610.84123076,0.789,0.7019,,8.76,126.39,0.52,93.3
53,Arbitrum,ARB,2.69,,39616181.4608,1470475230.5064917,193697723.57779756,0.6635,0.5765,,2.39,18.86,0.41,90.0
18,Sui,SUI,2.28,,165701286.71252,7270996057.3424225,1052479212.6765482,0.4796,0.3371,,1.93,14.23,0.53,83.3
40,Pepe,PEPE,1.75,,41111982.468,2351801566.4348297,396748449.9781196,0.8193,-0.494,,4.99,8.78,5.59,80.0
11,Hyperliquid,HYPE,1.66,,215737533.29765004,13007031748.951254,535144782.1258522,0.5,0.6519,,9.94,33.39,0.82,90.0
28,Bittensor,TAO,1.6,,64250845.4694,4026046650.4662,465006652.1637419,0.3306,0.2592,,9.04,10.79,0.41,76.7
47,Polygon (prev. MATIC),POL,1.11,,19238174.71404,1732401397.5989554,103220453.0367211,0.2834,0.1469,,1.24,18.02,0.51,70.0
66,Render,RENDER,1.03,,10487453.8285,1021262856.1237028,48278607.2179172,0.3292,0.0702,,4.18,21.43,0.61,63.3
60,VeChain,VET,0.78,,9910239.019596,1264080840.0100305,38050896.61289103,0.6259,0.6119,,6.54,21.87,0.57,83.3
25,Toncoin,TON,0.59,,28582759.953,4880161663.796626,121901861.77988304,-0.3605,-0.1275,,2.84,21.94,0.77,60.0
30,Internet Computer,ICP,0.42,,15423105.023999998,3639290406.381992,1081196005.9331613,0.195,-0.0796,,4.94,1.33,1.0,60.0
19,Hedera,HBAR,0.41,,28414789.5475,6953550758.24065,260115192.29296437,0.3504,0.2419,,2.5,10.33,0.88,73.3
54,Kaspa,KAS,0.29,,4087272.62765,1411880611.0731256,77513958.03643128,0.5,0.394,,8.66,4.86,0.4,93.3
78,Optimism,OP,0.25,,1750850.0,694582437.6535128,94911540.92405942,0.0129,-0.0292,,2.97,1.89,1.88,73.3
2,Ethereum,ETH,0.23,,939252090.0,400853872183.9613,37297108892.19009,0.8371,0.54,,2.27,2.41,0.6,86.7
21,Monero,XMR,0.23,,15583220.365679998,6685355710.990319,157825742.13462523,2.2121,1.3167,,8.8,8.53,1.7,93.3
9,Dogecoin,DOGE,0.21,,51864570.0,24581231148.92859,1883671075.0906017,0.5737,0.1094,,3.0,2.63,0.97,63.3
50,Filecoin,FIL,0.19,,2924540.0,1525940466.0503128,883061688.6591727,0.5994,-0.1633,,7.65,0.36,2.25,66.7
22,Litecoin,LTC,0.18,,12356930.0,6681878922.107909,545361947.8736444,0.7712,0.5192,,3.52,2.14,0.66,80.0
24,Shiba Inu,SHIB,0.18,,9776020.639100004,5338141247.222119,149867349.43432677,0.7633,-0.1356,,2.39,6.37,2.43,66.7
6,Solana,SOL,0.18,,157267900.0,86235126993.56015,5470885889.518915,0.6674,-0.0086,,2.26,2.6,2.5,73.3
31,Uniswap,UNI,0.15,,5106190.0,3319372192.9007998,186108606.2633083,0.432,0.4424,,3.53,2.69,0.92,80.0
42,Ethereum Classic,ETC,0.15,,3307240.0,2260372373.796236,111188109.08658949,1.0,0.6113,,3.59,2.85,1.81,90.0
13,Bitcoin Cash,BCH,0.13,,12156170.0,9443516608.44444,277896814.45984524,-1.1454,0.3823,,5.52,4.32,1.24,80.0
1,Bitcoin,BTC,0.12,,2437380500.0,2018046872167.4136,63684470000.30354,0.7648,0.5818,,1.73,3.83,0.48,90.0
