rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
41,Ethena,ENA,10.31,,239878160.7453,2326936776.371329,219707461.58492604,-0.7001,-1.0508,,4.42,99.2,2.02,43.3
75,Virtuals Protocol,VIRTUAL,5.82,,45918504.26694,788310433.1315631,313068450.07667875,-0.3646,-0.3477,,55.93,8.72,1.25,60.0
91,Artificial Superintelligence Alliance,FET,5.06,,28765500.1104,568255181.2286896,98173778.0391871,0.8067,0.8437,,4.3,29.36,0.41,96.7
29,Mantle,MNT,4.06,,161978835.55684,3992777714.6896186,117863073.52392703,0.789,0.7019,,8.76,128.01,0.52,93.3
53,Arbitrum,ARB,2.67,,39616181.4608,1485035105.712975,195122639.84877163,0.6635,0.5765,,2.39,18.72,0.41,90.0
18,Sui,SUI,2.27,,165701286.71252,7315132259.687513,1060668948.5311393,0.4796,0.3371,,1.93,14.12,0.53,83.3
40,Pepe,PEPE,1.74,,41111982.468,2365175318.575789,400293225.59071904,0.8193,-0.494,,4.99,8.7,5.59,80.0
11,Hyperliquid,HYPE,1.63,,215737533.29765004,13222623298.58008,541826452.9335511,0.5,0.6519,,9.94,32.98,0.82,90.0
28,Bittensor,TAO,1.58,,64250845.4694,4064422919.3950777,469735133.3029631,0.3306,0.2592,,9.04,10.68,0.41,76.7
47,Polygon (prev. MATIC),POL,1.1,,19238174.71404,1746405959.0394328,103634779.99771048,0.2834,0.1469,,1.24,17.95,0.51,70.0
65,Render,RENDER,1.02,,10487453.8285,1031612068.1146748,48342148.41711438,0.3292,0.0702,,4.18,21.4,0.61,63.3
60,VeChain,VET,0.78,,9910239.019596,1277410409.2397048,38330470.83771031,0.6259,0.6119,,6.54,21.71,0.57,83.3
25,Toncoin,TON,0.58,,28582759.953,4915329871.995713,122958231.97001068,-0.3605,-0.1275,,2.84,21.76,0.77,60.0
30,Internet Computer,ICP,0.43,,15423105.023999998,3613803534.47257,1083075502.2838626,0.195,-0.0796,,4.94,1.33,1.0,60.0
19,Hedera,HBAR,0.41,,28414789.5475,7006845548.437128,262693248.434943,0.3504,0.2419,,2.5,10.23,0.88,73.3
54,Kaspa,KAS,0.28,,4087272.62765,1464061305.5634704,82078392.85849993,0.5,0.394,,8.66,4.59,0.4,93.3
78,Optimism,OP,0.25,,1750850.0,700791982.3564364,96055014.50151064,0.0129,-0.0292,,2.97,1.87,1.88,73.3
2,Ethereum,ETH,0.23,,939252090.0,401206570742.758,36850840535.96948,0.8371,0.54,,2.27,2.44,0.6,86.7
21,Monero,XMR,0.23,,15583220.365679998,6728485382.648425,160918831.48798025,2.2121,1.3167,,8.8,8.37,1.7,93.3
9,Dogecoin,DOGE,0.21,,51864570.0,24713142020.10397,1889075817.8620555,0.5737,0.1094,,3.0,2.62,0.97,63.3
50,Filecoin,FIL,0.19,,2924540.0,1552267959.4364724,945622004.6656584,0.5994,-0.1633,,7.65,0.33,2.25,66.7
22,Litecoin,LTC,0.18,,12356930.0,6722200450.815578,549187968.0786786,0.7712,0.5192,,3.52,2.13,0.66,80.0
23,Shiba Inu,SHIB,0.18,,9776020.639100004,5370178906.178435,150838148.19630054,0.7633,-0.1356,,2.39,6.33,2.43,66.7
6,Solana,SOL,0.18,,157267900.0,86696879275.49727,5483155024.668449,0.6674,-0.0086,,2.26,2.59,2.5,73.3
31,Uniswap,UNI,0.15,,5106190.0,3346308201.417476,187314568.54076225,0.432,0.4424,,3.53,2.67,0.92,80.0
42,Ethereum Classic,ETC,0.14,,3307240.0,2288176708.4130263,114341749.48284642,1.0,0.6113,,3.59,2.77,1.81,90.0
13,Bitcoin Cash,BCH,0.13,,12156170.0,9497476420.09064,278996399.3250452,-1.1454,0.3823,,5.52,4.3,1.24,80.0
1,Bitcoin,BTC,0.12,,2437380500.0,2022582969703.861,63334514594.847206,0.7648,0.5818,,1.73,3.85,0.48,90.0
37,NEAR Protocol,NEAR,0.09,,2463380.0,2740956206.0863914,420080099.17025816,0.6149,0.3936,,5.37,0.6,0.94,66.7
26,Polkadot,DOT,0.09,,4035340.0,4559359312.69201,306943334.8668177,-0.3284,-0.1423,,1.43,1.33,1.71,56.7
44,Aptos,APT,0.08,,1709580.0,2054029896.1045663,150148410.14019826,-1.82,-3.1032,,2.86,1.09,6.44,43.3
20,Avalanche,AVAX,0.08,,5604960.0,6944396212.88148,415761856.5037409,-0.8623,-0.8227,,1.35,1.4,3.26,56.7
32,Aave,AAVE,0.08,,2433500.0,3045280549.413504,314534008.9342755,-0.4747,0.2227,,1.74,0.82,1.89,80.0
5,BNB,BNB,0.08,,101390470.0,131226606623.95572,2800394264.93751,0.0,0.0896,,6.9,3.21,0.31,16.7
12,Chainlink,LINK,0.08,,7978870.0,10350629304.805738,747511508.9297346,0.6474,0.6382,,3.75,1.07,0.48,93.3
10,Cardano,ADA,0.07,,14463360.0,19294038478.825565,876185427.2277898,0.3988,0.5385,,2.69,1.62,0.61,76.7
59,Cosmos,ATOM,0.07,,918920.0,1293583362.98746,88899055.23049295,-1.0299,-1.7624,,3.36,1.06,5.18,53.3
4,XRP,XRP,0.05,,72370880.0,133329953747.74287,5699196928.409984,0.5763,0.4896,,2.97,1.16,0.64,76.7
55,Algorand,ALGO,0.05,,757750.0,1404730446.5727985,64003492.04587322,0.7729,0.5033,,1.39,1.17,1.17,86.7
39,OKB,OKB,0.04,,1087271.3292,2491342955.3097386,103992772.76987472,0.5,0.536,,10.21,0.9,0.2,100.0
8,TRON,TRX,0.03,,8067550.0,26906673606.991493,658322177.6311815,-1.4605,0.1309,,3.39,1.22,1.2,73.3
16,Stellar,XLM,0.02,,1652660.0,8724360818.540998,202311133.8993036,0.6132,0.693,,7.24,0.73,0.67,83.3
7,USDC,USDC,0.01,,5403221.924120001,75464805722.23328,18320084051.22222,-0.1283,-0.1442,,2.19,0.03,0.73,40.0
3,Tether USDt,USDT,0.0,,6136008.0708,183395784409.23465,135772697518.28375,-0.1237,-3.2817,,9.31,0.0,5.9,46.7
