rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
300,MANTRA,OM,19.08,,18987068.383855,99531442.7681875,26433897.67760628,-4.6292,-10.7248,,4.42,70.81,27.48,26.7
41,Ethena,ENA,10.38,,239878160.7453,2310748837.157669,219740828.79694468,-0.7001,-1.0508,,4.42,99.18,2.02,43.3
75,Virtuals Protocol,VIRTUAL,5.83,,45918504.26694,788114156.1156136,318608396.5574589,-0.3646,-0.3477,,55.93,8.57,1.25,60.0
92,Artificial Superintelligence Alliance,FET,5.15,,28765500.1104,558612082.8865622,94506831.67060268,0.8067,0.8437,,4.3,30.5,0.41,96.7
29,Mantle,MNT,4.08,,161978835.55684,3965327886.764689,118597317.88878524,0.789,0.7019,,8.76,127.22,0.52,93.3
53,Arbitrum,ARB,2.69,,39616181.4608,1470952158.4156775,193901188.84387875,0.6635,0.5765,,2.39,18.84,0.41,90.0
18,Sui,SUI,2.27,,165701286.71252,7299104619.624147,1055651477.6524256,0.4796,0.3371,,1.93,14.18,0.53,83.3
40,Pepe,PEPE,1.74,,41111982.468,2357351830.442912,398407175.2836599,0.8193,-0.494,,4.99,8.74,5.59,80.0
11,Hyperliquid,HYPE,1.65,,215737533.29765004,13094516123.250256,536719425.2427162,0.5,0.6519,,9.94,33.29,0.82,90.0
28,Bittensor,TAO,1.58,,64250845.4694,4057608308.0228233,466905762.6974909,0.3306,0.2592,,9.04,10.74,0.41,76.7
47,Polygon (prev. MATIC),POL,1.11,,19238174.71404,1735579953.1202796,103347427.25567822,0.2834,0.1469,,1.24,18.0,0.51,70.0
66,Render,RENDER,1.03,,10487453.8285,1022384296.6376402,48141282.63546038,0.3292,0.0702,,4.18,21.49,0.61,63.3
60,VeChain,VET,0.78,,9910239.019596,1268065890.8256843,38110107.98823785,0.6259,0.6119,,6.54,21.83,0.57,83.3
25,Toncoin,TON,0.58,,28582759.953,4893175714.9883,122031666.56359692,-0.3605,-0.1275,,2.84,21.92,0.77,60.0
30,Internet Computer,ICP,0.42,,15423105.023999998,3639307740.2847342,1080231683.412797,0.195,-0.0796,,4.94,1.33,1.0,60.0
19,Hedera,HBAR,0.41,,28414789.5475,6987506612.116814,261091201.4484024,0.3504,0.2419,,2.5,10.29,0.88,73.3
54,Kaspa,KAS,0.29,,4087272.62765,1424150996.2317462,79171010.65740272,0.5,0.394,,8.66,4.76,0.4,93.3
79,Optimism,OP,0.25,,1750850.0,694133785.7417381,94966506.14780052,0.0129,-0.0292,,2.97,1.89,1.88,73.3
2,Ethereum,ETH,0.23,,939252090.0,400787432145.1744,36480631778.60905,0.8371,0.54,,2.27,2.46,0.6,86.7
21,Monero,XMR,0.23,,15583220.365679998,6703913113.904616,158184279.08626768,2.2121,1.3167,,8.8,8.51,1.7,93.3
9,Dogecoin,DOGE,0.21,,51864570.0,24619222039.165478,1886283926.28694,0.5737,0.1094,,3.0,2.62,0.97,63.3
50,Filecoin,FIL,0.19,,2924540.0,1522990322.2549994,903518677.8229816,0.5994,-0.1633,,7.65,0.35,2.25,66.7
22,Litecoin,LTC,0.18,,12356930.0,6698199948.023553,546014856.6488068,0.7712,0.5192,,3.52,2.14,0.66,80.0
24,Shiba Inu,SHIB,0.18,,9776020.639100004,5345135222.555893,150155416.03933105,0.7633,-0.1356,,2.39,6.36,2.43,66.7
6,Solana,SOL,0.18,,157267900.0,86566058170.44664,5469073126.564033,0.6674,-0.0086,,2.26,2.6,2.5,73.3
31,Uniswap,UNI,0.15,,5106190.0,3325866298.7803087,186456137.2078267,0.432,0.4424,,3.53,2.68,0.92,80.0
42,Ethereum Classic,ETC,0.15,,3307240.0,2264733608.7787027,111565666.6216246,1.0,0.6113,,3.59,2.84,1.81,90.0
13,Bitcoin Cash,BCH,0.13,,12156170.0,9473312154.510216,278432608.7371126,-1.1454,0.3823,,5.52,4.31,1.24,80.0
1,Bitcoin,BTC,0.12,,2437380500.0,2019374307438.5293,63048002611.70333,0.7648,0.5818,,1.73,3.87,0.48,90.0
37,NEAR Protocol,NEAR,0.09,,2463380.0,2713299328.441564,411188307.6390985,0.6149,0.3936,,5.37,0.62,0.94,66.7
26,Polkadot,DOT,0.09,,4035340.0,4466087210.458893,290247339.9552843,-0.3284,-0.1423,,1.43,1.41,1.71,56.7
44,Aptos,APT,0.08,,1709580.0,2013148619.639504,147505349.74234426,-1.82,-3.1032,,2.86,1.1,6.44,43.3
20,Avalanche,AVAX,0.08,,5604960.0,6917856857.814669,414777086.1890581,-0.8623,-0.8227,,1.35,1.4,3.26,56.7
32,Aave,AAVE,0.08,,2433500.0,3028590161.304955,312388665.9942304,-0.4747,0.2227,,1.74,0.83,1.89,80.0
5,BNB,BNB,0.08,,101390470.0,130904105309.22302,2792270637.5042005,0.0,0.0896,,6.9,3.22,0.31,16.7
12,Chainlink,LINK,0.08,,7978870.0,10317018335.650734,739867774.2450305,0.6474,0.6382,,3.75,1.08,0.48,93.3
10,Cardano,ADA,0.08,,14463360.0,19192608833.7131,872539356.8880934,0.3988,0.5385,,2.69,1.62,0.61,76.7
59,Cosmos,ATOM,0.07,,918920.0,1278135160.2542386,86934967.20945857,-1.0299,-1.7624,,3.36,1.08,5.18,53.3
55,Algorand,ALGO,0.05,,757750.0,1394497924.4611545,63517467.86611446,0.7729,0.5033,,1.39,1.18,1.17,86.7
4,XRP,XRP,0.05,,72370880.0,133292834619.6179,5691508492.408116,0.5763,0.4896,,2.97,1.16,0.64,76.7
39,OKB,OKB,0.04,,1087271.3292,2471579360.461659,103329061.00989428,0.5,0.536,,10.21,0.91,0.2,100.0
8,TRON,TRX,0.03,,8067550.0,26855446797.412968,653847724.9973006,-1.4605,0.1309,,3.39,1.23,1.2,73.3
15,Stellar,XLM,0.02,,1652660.0,8682338591.976276,202161627.34562427,0.6132,0.693,,7.24,0.73,0.67,83.3
7,USDC,USDC,0.01,,5403221.924120001,75458896513.4494,18054038959.81291,-0.1283,-0.1442,,2.19,0.03,0.73,40.0
3,Tether USDt,USDT,0.0,,6136008.0708,183380684864.4836,135339821708.40411,-0.1237,-3.2817,,9.31,0.0,5.9,46.7
