date,symbol,category,signal,z_score,percentile_rank,basket_corr,basket_return_20d,coin_return_20d,divergence,market_cap,volume_30d,volatility_30d
2025-10-24,ALGO,Dino Coins,NONE,0.0559791706741382,100.0,0.6805003485421608,-0.21707641607823613,-0.19949142810217357,0.01758498797606256,3384098842.854815,15343147.283333333,0.8581268877108662
2025-10-24,XLM,Dino Coins,NONE,-0.05597917067413773,50.0,0.738901017227514,-0.19949142810217357,-0.21707641607823613,-0.01758498797606256,13373293388.155737,49173985.535964265,0.7068309741016585
2025-10-24,BONK,Meme Coins,NONE,-0.5144955799133628,83.33333333333334,0.8633807003693105,-0.4183177019412835,-0.3372092354360865,0.08110846650519699,2620322044.1454067,917979662023.3,1.2431211100545916
2025-10-24,FLOKI,Meme Coins,NONE,-0.8355659870146209,66.66666666666666,0.8958698024685382,-0.415051687027822,-0.36588394535208557,0.049167741675736454,1911027839.4132748,15590969088.266666,1.308302942975402
2025-10-24,GIGA,Meme Coins,NONE,0.6845036991604498,16.666666666666664,0.7711768625564641,-0.3969572400527218,-0.4889302558319303,-0.09197301577920847,769429559.7931653,79913057.7,1.2804613167624046
2025-10-24,MOG,Meme Coins,NONE,0.472833070892542,,0.8375428160094877,-0.3639429809281258,-0.4175891812950844,-0.05364620036695855,1135029920.0852993,2293392649245.7,1.437581578622014
2025-10-24,PEPE,Meme Coins,NONE,-0.08499090838064269,100.0,0.9168798009652384,-0.41817782331286857,-0.33540416673348705,0.08277365657938152,8714215845.94732,2028837385035.2666,1.1264851057252139
2025-10-24,POPCAT,Meme Coins,NONE,0.298043469580916,50.0,0.9384835541521878,-0.40615175219653,-0.4228719142771884,-0.016720162080658407,844807311.7319478,16318124.354333336,1.3154439971068257
2025-10-24,TURBO,Meme Coins,NONE,-0.1802090336633948,33.33333333333333,0.8755848972567603,-0.4052224138203746,-0.4305748238703434,-0.0253524100499688,655209318.6224619,306525926.46666664,1.2693153850604793
2025-10-24,WIF,Meme Coins,NONE,-0.2671711773799772,,0.8727618951870434,-0.4437653298580968,-0.44719214605542545,-0.0034268161973286526,2098966578.6955955,8037160.880333333,1.447872260468945
2025-10-24,BONK,SOL Ecosystem,NONE,-0.09793279847039779,50.0,0.7883629863614351,-0.3340872464032647,-0.3372092354360865,-0.0031219890328217925,2620322044.1454067,917979662023.3,1.2431211100545916
2025-10-24,PYTH,SOL Ecosystem,NONE,0.02910626767705376,100.0,0.7950086540835558,-0.3604366131967972,-0.32761377023889904,0.03282284295789817,1417261137.014019,8822998.646666668,1.2021268138917232
2025-10-24,WIF,SOL Ecosystem,NONE,0.13491299709874432,,0.8052929840427467,-0.39479416520102006,-0.44719214605542545,-0.05239798085440539,2098966578.6955955,8037160.880333333,1.447872260468945
