symbol,score_total_yield,score_utility_yield,score_onchain_yield,combined_score,combined_rank,signal
AAVE,2.7321644722691927,2.531776270869373,0.2003882013998196,1.821442981512795,52.5,neutral
ADA,1.797809947308406,0.0,1.797809947308406,1.1985399648722705,70.0,neutral
AERO,24.277384239377103,24.277384239377103,0.0,16.1849228262514,15.0,short
ALGO,1.88,0.0,1.88,1.2533333333333332,65.0,neutral
ARB,0.2532508813167852,0.0,0.2532508813167852,0.16883392087785679,90.0,long
ATOM,1.9237224382006088,0.0,1.9237224382006088,1.2824816254670726,60.0,neutral
AVAX,1.160240016814437,0.0,1.160240016814437,0.7734933445429579,75.0,neutral
BAL,2.259053708559644,2.259053708559644,0.0,1.5060358057064294,55.00000000000001,neutral
BNB,6.97959044833054,0.0,6.97959044833054,4.653060298887026,22.5,neutral
BNT,0.8706657775897488,0.8706657775897488,0.0,0.5804438517264993,80.0,long
BTC,0.4523541965164553,0.0,0.4523541965164553,0.30156946434430354,82.5,long
CAKE,10.293452783579864,10.293452783579864,0.0,6.86230185571991,20.0,short
COMP,2.115275484186202,2.115275484186202,0.0,1.4101836561241345,57.49999999999999,neutral
CRO,1.913292950759388,1.913292950759388,0.0,1.2755286338395921,62.5,neutral
CRV,1.4645197965202517,0.9271205359973516,0.5373992605229,0.9763465310135011,72.5,neutral
CVX,3.2667120674556847,3.2667120674556847,0.0,2.1778080449704564,42.5,neutral
DAI,1.0945557104665826,0.0,1.0945557104665826,0.7297038069777217,77.5,neutral
DOT,12.281680883724308,0.0,12.281680883724308,8.187787255816206,17.5,short
DRIFT,0.0,0.0,0.0,0.0,100.0,long
EIGEN,0.0397802280202085,0.0397802280202085,0.0,0.026520152013472336,92.5,long
ENA,0.0011377960197825,0.0011377960197825,0.0,0.000758530679855,97.5,long
ETH,3.222728158416282,0.0,3.222728158416282,2.148485438944188,45.0,neutral
ETHFI,29.454575812534276,29.454575812534276,0.0,19.63638387502285,10.0,short
KNC,262.492535919568,262.492535919568,0.0,174.99502394637867,2.5,short
LDO,2.968165644434805,2.809955644434805,0.15821,1.97877709628987,50.0,neutral
LINK,,,1.243109194503155,1.243109194503155,67.5,neutral
MKR,6.480896054928298,6.480896054928298,0.0,4.320597369952199,25.0,neutral
MORPHO,3.105793310988423,3.105793310988423,0.0,2.070528873992282,47.5,neutral
ONDO,3.576781106340396,3.576781106340396,0.0,2.384520737560264,40.0,neutral
OP,0.303240455851557,0.0,0.303240455851557,0.202160303901038,87.5,long
PENDLE,35.22943298688936,0.075717748614218,35.15371523827514,23.486288657926238,7.5,short
RPL,0.3470563920883561,0.3470563920883561,0.0,0.23137092805890405,85.0,long
SNX,0.0060606797032664,0.0060606797032664,0.0,0.0040404531355109335,95.0,long
SOL,5.049101684739348,0.0,5.049101684739348,3.366067789826232,30.0,neutral
SUI,5.055125620450714,0.0,5.055125620450714,3.370083746967143,27.500000000000004,neutral
SUSHI,27.817996519720232,27.817996519720232,0.0,18.54533101314682,12.5,short
UNI,50.88386733097333,50.73681395915743,0.1470533718158984,33.92257822064889,5.0,short
USDT,4.007592745026114,0.0,4.007592745026114,2.6717284966840764,35.0,neutral
XTZ,5.0162513868444165,0.0,5.0162513868444165,3.344167591229611,32.5,neutral
YFI,3.6158204413651855,3.6158204413651855,0.0,2.4105469609101235,37.5,neutral
