date,symbol,rank,signal,position_side,score_value,ret,d_oi,z_ret,z_doi
2021-10-16,ETC,1,LONG,LONG,0.7342656290603664,-0.002785748372397201,0.062047119244983406,-0.011661061279985207,0.7342656290603664
2021-10-16,BTC,2,LONG,LONG,0.5642452473759884,-0.013346877544375246,0.035404020561657035,-0.5237165746682031,0.5642452473759884
2021-10-16,LINK,3,LONG,LONG,0.5525213570657614,0.007917919603776635,-0.0303262968095126,0.18869019468510678,-0.5525213570657614
2021-10-16,MASK,4,LONG,LONG,0.4630431077431187,0.00889773541986516,-0.08441865804319626,0.22500275013574084,-0.4630431077431187
2021-10-16,GRT,5,LONG,LONG,0.4258281847290456,-0.018587895768090917,0.0454770197983585,-0.28549809893267775,0.4258281847290456
2021-10-16,ADA,6,LONG,LONG,0.4186113805792222,-0.017654476186099943,0.03144784714134374,-0.3592100201100791,0.4186113805792222
2021-10-16,DOGE,7,LONG,LONG,0.09039504120501275,0.013149712278101022,0.001699987326730934,0.30619912661744564,-0.09039504120501275
2021-10-16,COTI,8,SHORT,SHORT,-0.07292871086457839,0.011964250391770515,0.04147311011359278,0.0163267144736622,0.07292871086457839
2021-10-16,SKL,9,SHORT,SHORT,-0.17980216776732275,0.02624097535294556,0.019722082111574224,0.5214416090216362,0.17980216776732275
2021-10-16,ETH,10,SHORT,SHORT,-0.1956895077139914,-0.010408710759909567,-0.0031643074077791766,-0.2692629457850884,-0.1956895077139914
2021-10-16,ZEC,11,SHORT,SHORT,-0.21077835317178106,-0.002694778519076735,-0.0076039444846500714,0.006634557937612902,-0.21077835317178106
2021-10-16,SOL,12,SHORT,SHORT,-0.2895965522329086,-0.035243191565276,-0.014467319782564658,-0.5357394176560801,-0.2895965522329086
2021-10-16,1INCH,13,SHORT,SHORT,-0.3080514560599734,-0.011478332940850988,-0.027678078909438852,-0.15627253011390882,-0.3080514560599734
2021-10-16,IOTX,14,SHORT,SHORT,-0.43710954648531625,0.026756013410093704,0.13779772906242016,0.32076380757492406,0.43710954648531625
2021-10-16,BAT,15,SHORT,SHORT,-0.4447987360669219,0.035489884981950826,0.05302256637203051,0.7899365731827556,0.4447987360669219
2021-10-16,ANKR,16,SHORT,SHORT,-0.4957512893918227,0.0028808884190900663,0.06344366021875203,0.10935574868121789,0.4957512893918227
2021-10-16,SNX,17,SHORT,SHORT,-0.5244959918660406,0.0024578088728541836,0.04461649961906744,0.24302835115297158,0.5244959918660406
2021-10-16,SUSHI,18,SHORT,SHORT,-0.5503707737489321,0.02730879066458325,0.055427824232918255,0.48315877720401396,0.5503707737489321
2021-10-16,DOT,19,SHORT,SHORT,-0.7144562732178993,-0.03565507142387503,-0.06402733173817055,-0.5619821028287659,-0.7144562732178993
2021-10-16,TRB,20,SHORT,SHORT,-0.7231759602329049,0.027688254183145578,0.11058777807969555,0.5167265287730728,0.7231759602329049
2021-10-16,BCH,21,SHORT,SHORT,-0.8370352348368642,-0.00022384599489111423,-0.0569063179025342,0.011282100773813527,-0.8370352348368642
2021-10-16,NKN,22,SHORT,SHORT,-2.593415966940374,0.09697189174960652,0.6128189655604412,1.1762117989320526,2.593415966940374
2021-10-17,BCH,1,LONG,LONG,2.120384545395105,-0.020925491065262314,0.1588068940728462,-0.45267960280536806,2.120384545395105
2021-10-17,ETC,2,LONG,LONG,1.4135821665843873,-0.019513360264674873,0.10819661343676401,-0.39273133067829286,1.4135821665843873
2021-10-17,ETH,3,LONG,LONG,0.7673059788938863,0.004564385975758256,-0.03176777927521002,0.009592627000048787,-0.7673059788938863
2021-10-17,ADA,4,LONG,LONG,0.7013665688107785,-0.008991829657136297,0.047042933141337784,-0.15666843520150495,0.7013665688107785
2021-10-17,LINK,5,LONG,LONG,0.6289127146922101,-0.025722484389828715,0.06741343739533079,-0.42782062649466795,0.6289127146922101
2021-10-17,MASK,6,LONG,LONG,0.07960006503265654,0.048039976587362254,-0.005581382093730269,0.7438221483369238,-0.07960006503265654
2021-10-17,BTC,7,LONG,LONG,-0.08449484683602831,0.010615556485060296,0.017931855333209512,0.04539047879721035,0.08449484683602831
2021-10-17,COTI,8,SHORT,SHORT,-0.1113348706033947,-0.029162448688991316,-0.013043798256905603,-0.3066310184810496,-0.1113348706033947
2021-10-17,SNX,9,SHORT,SHORT,-0.23023054710145277,-0.022319908038344494,-0.04730577449759821,-0.20606975445506248,-0.23023054710145277
2021-10-17,DOGE,10,SHORT,SHORT,-0.2480330407350436,0.0016842109244301628,0.021048851978822114,0.044807153567978576,0.2480330407350436
2021-10-17,GRT,11,SHORT,SHORT,-0.32596667862423057,-0.028803615296893653,-0.025470605231483034,-0.4765680883626065,-0.32596667862423057
2021-10-17,IOTX,12,SHORT,SHORT,-0.44778741294276886,-0.07062789773910572,-0.1220356468754531,-0.9377906926940757,-0.44778741294276886
2021-10-17,TRB,13,SHORT,SHORT,-0.614544200238465,0.04206915362556174,0.08519007890312302,0.7309427847181245,0.614544200238465
2021-10-17,SUSHI,14,SHORT,SHORT,-0.6277194232546531,-0.0234385729720179,-0.07556435935318362,-0.2848078829767719,-0.6277194232546531
2021-10-17,ZEC,15,SHORT,SHORT,-0.8044462248962305,0.0903193915347682,0.08468815656251039,1.8306171413387244,0.8044462248962305
2021-10-17,SKL,16,SHORT,SHORT,-0.8415738437992913,-0.04175390807885204,-0.1108000142790182,-0.5926002080822647,-0.8415738437992913
2021-10-17,DOT,17,SHORT,SHORT,-0.9986124432730755,0.008226573965966377,0.12668841208453685,0.002181105271268104,0.9986124432730755
