symbol,signal,weight,signal_strength,r_squared,breakout_z_score
PAXG/USD,LONG,0.25,2.971252190232753,0.8808940028799473,3.3729962748284144
TRAC/USD,LONG,0.25,1.1140187911021937,0.5921917355569359,1.8811792266139908
GIGA/USD,SHORT,0.16666666666666666,1.1543216337593305,0.5548626829688301,-2.080373521576645
ATH/USD,SHORT,0.16666666666666666,1.0970267744017097,0.7274609272619634,-1.5080215765412006
PENDLE/USD,SHORT,0.16666666666666666,1.007444391300519,0.5881326854447078,-1.7129542639493929
