rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
300,MANTRA,OM,19.13,,18987068.383855,99244623.6855186,41036416.3123837,-4.6292,-10.7248,,4.42,45.61,27.48,26.7
41,Ethena,ENA,10.46,,239878160.7453,2292807227.813112,394101774.0544055,-0.7001,-1.0508,,4.42,55.3,2.02,43.3
98,Artificial Superintelligence Alliance,FET,5.79,,28765500.1104,496943572.6922642,112519435.9245583,0.8067,0.8437,,4.3,25.62,0.41,96.7
72,Virtuals Protocol,VIRTUAL,5.06,,45918504.26694,907529979.8232584,537610201.6405027,-0.3646,-0.3477,,55.93,5.08,1.25,60.0
27,Mantle,MNT,3.87,,161978835.55684,4181128296.0907207,266025309.3363216,0.789,0.7019,,8.76,56.72,0.52,93.3
53,Arbitrum,ARB,2.82,,39616181.4608,1406579633.1830308,356770233.5328415,0.6635,0.5765,,2.39,10.24,0.41,90.0
17,Sui,SUI,2.27,,165701286.71252,7291767288.519122,2181658153.1543083,0.4796,0.3371,,1.93,6.86,0.53,83.3
39,Pepe,PEPE,1.74,,41111982.468,2356207468.684004,776653561.9787997,0.8193,-0.494,,4.99,4.48,5.59,80.0
11,Hyperliquid,HYPE,1.65,,215737533.29765004,13106935608.883438,1096178551.4348292,0.5,0.6519,,9.94,16.3,0.82,90.0
28,Bittensor,TAO,1.56,,64250845.4694,4118125985.9423246,844921458.7315303,0.3306,0.2592,,9.04,5.94,0.41,76.7
47,Polygon (prev. MATIC),POL,1.12,,19238174.71404,1711539213.3186796,170555930.43364367,0.2834,0.1469,,1.24,10.91,0.51,70.0
67,Render,RENDER,1.08,,10487453.8285,967611248.4959948,90862506.8618371,0.3292,0.0702,,4.18,11.38,0.61,63.3
58,VeChain,VET,0.82,,9910239.019596,1204610380.599265,56016294.08766786,0.6259,0.6119,,6.54,14.85,0.57,83.3
25,Toncoin,TON,0.61,,28582759.953,4720405038.257609,265926146.08876804,-0.3605,-0.1275,,2.84,10.06,0.77,60.0
35,Internet Computer,ICP,0.55,,15423105.023999998,2787235218.0533237,1391907401.686365,0.195,-0.0796,,4.94,1.03,1.0,60.0
18,Hedera,HBAR,0.4,,28414789.5475,7182924103.223194,518085890.29605424,0.3504,0.2419,,2.5,5.19,0.88,73.3
61,Kaspa,KAS,0.35,,4087272.62765,1181032649.3153954,84569191.96248448,0.5,0.394,,8.66,4.45,0.4,93.3
68,Filecoin,FIL,0.3,,2924540.0,965656794.1680572,295074409.15288377,0.5994,-0.1633,,7.65,1.07,2.25,66.7
79,Optimism,OP,0.27,,1750850.0,659498618.5852476,220514121.911364,0.0129,-0.0292,,2.97,0.82,1.88,73.3
22,Monero,XMR,0.25,,15583220.365679998,6256803995.443303,218546541.57773587,2.2121,1.3167,,8.8,6.16,1.7,93.3
2,Ethereum,ETH,0.24,,939252090.0,395312328788.4201,76882888213.71582,0.8371,0.54,,2.27,1.17,0.6,86.7
9,Dogecoin,DOGE,0.21,,51864570.0,24648985359.410496,4781830221.679266,0.5737,0.1094,,3.0,1.03,0.97,63.3
21,Litecoin,LTC,0.19,,12356930.0,6541572405.861027,1087532696.2078469,0.7712,0.5192,,3.52,1.08,0.66,80.0
24,Shiba Inu,SHIB,0.19,,9776020.639100004,5233530444.792283,297170569.4510629,0.7633,-0.1356,,2.39,3.21,2.43,66.7
6,Solana,SOL,0.18,,157267900.0,85249293553.69902,11632939769.399015,0.6674,-0.0086,,2.26,1.22,2.5,73.3
30,Uniswap,UNI,0.16,,5106190.0,3205357784.608611,337962192.8664898,0.432,0.4424,,3.53,1.48,0.92,80.0
42,Ethereum Classic,ETC,0.15,,3307240.0,2213780484.99488,195033907.03620255,1.0,0.6113,,3.59,1.63,1.81,90.0
13,Bitcoin Cash,BCH,0.13,,12156170.0,9612928785.594336,473185986.821748,-1.1454,0.3823,,5.52,2.54,1.24,80.0
1,Bitcoin,BTC,0.12,,2437380500.0,2017677780972.468,110720374244.197,0.7648,0.5818,,1.73,2.2,0.48,90.0
40,NEAR Protocol,NEAR,0.1,,2463380.0,2355086074.556315,344762200.4602727,0.6149,0.3936,,5.37,0.73,0.94,66.7
29,Polkadot,DOT,0.1,,4035340.0,4103495258.995481,380692941.7547612,-0.3284,-0.1423,,1.43,1.07,1.71,56.7
45,Aptos,APT,0.09,,1709580.0,1850021698.420606,220503766.4436957,-1.82,-3.1032,,2.86,0.74,6.44,43.3
32,Aave,AAVE,0.08,,2433500.0,2886393416.080533,487812645.2083485,-0.4747,0.2227,,1.74,0.53,1.89,80.0
20,Avalanche,AVAX,0.08,,5604960.0,6845378273.111231,854842367.168926,-0.8623,-0.8227,,1.35,0.68,3.26,56.7
5,BNB,BNB,0.08,,101390470.0,128849478547.54552,5807563352.659682,0.0,0.0896,,6.9,1.55,0.31,16.7
12,Chainlink,LINK,0.08,,7978870.0,10274706429.78762,1618322097.0278485,0.6474,0.6382,,3.75,0.49,0.48,93.3
10,Cardano,ADA,0.08,,14463360.0,18712062074.96726,1853550612.855781,0.3988,0.5385,,2.69,0.76,0.61,76.7
59,Cosmos,ATOM,0.08,,918920.0,1201755774.8391602,168535845.30259314,-1.0299,-1.7624,,3.36,0.56,5.18,53.3
54,Algorand,ALGO,0.06,,757750.0,1356745514.768398,109179526.57010782,0.7729,0.5033,,1.39,0.69,1.17,86.7
4,XRP,XRP,0.05,,72370880.0,132979037994.7799,9838154411.527449,0.5763,0.4896,,2.97,0.67,0.64,76.7
37,OKB,OKB,0.04,,1087271.3292,2600063303.666319,179311376.40931454,0.5,0.536,,10.21,0.52,0.2,100.0
8,TRON,TRX,0.03,,8067550.0,26997548261.29235,1694578428.0635004,-1.4605,0.1309,,3.39,0.48,1.2,73.3
16,Stellar,XLM,0.02,,1652660.0,8660796211.44812,402715007.83434623,0.6132,0.693,,7.24,0.37,0.67,83.3
7,USDC,USDC,0.01,,5403221.924120001,75158221397.79729,30610588722.6335,-0.1283,-0.1442,,2.19,0.02,0.73,40.0
3,Tether USDt,USDT,0.0,,6136008.0708,183401490297.446,239460235104.37445,-0.1237,-3.2817,,9.31,0.0,5.9,46.7
