rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
300,MANTRA,OM,18.89,,18987068.383855,100514429.80794393,26677694.46257315,-4.6292,-10.7248,,4.42,70.16,27.48,26.7
41,Ethena,ENA,10.33,,239878160.7453,2321743170.745084,219550669.3976645,-0.7001,-1.0508,,4.42,99.27,2.02,43.3
75,Virtuals Protocol,VIRTUAL,5.79,,45918504.26694,792671824.7824497,316211785.0835316,-0.3646,-0.3477,,55.93,8.63,1.25,60.0
92,Artificial Superintelligence Alliance,FET,5.09,,28765500.1104,565110188.5349716,96031718.3671186,0.8067,0.8437,,4.3,30.02,0.41,96.7
29,Mantle,MNT,4.07,,161978835.55684,3983682090.343856,117997892.7060542,0.789,0.7019,,8.76,127.86,0.52,93.3
53,Arbitrum,ARB,2.67,,39616181.4608,1481209462.483672,194737633.17245105,0.6635,0.5765,,2.39,18.76,0.41,90.0
18,Sui,SUI,2.26,,165701286.71252,7319967464.969409,1058904930.0244474,0.4796,0.3371,,1.93,14.14,0.53,83.3
40,Pepe,PEPE,1.74,,41111982.468,2367527098.190108,399303730.4308774,0.8193,-0.494,,4.99,8.72,5.59,80.0
11,Hyperliquid,HYPE,1.63,,215737533.29765004,13202243506.60973,540343490.1047149,0.5,0.6519,,9.94,33.07,0.82,90.0
28,Bittensor,TAO,1.58,,64250845.4694,4074938140.852019,469466488.0482696,0.3306,0.2592,,9.04,10.68,0.41,76.7
47,Polygon (prev. MATIC),POL,1.1,,19238174.71404,1742738924.2952862,103538834.6735264,0.2834,0.1469,,1.24,17.97,0.51,70.0
65,Render,RENDER,1.02,,10487453.8285,1030255146.5632104,48241090.34467667,0.3292,0.0702,,4.18,21.44,0.61,63.3
60,VeChain,VET,0.78,,9910239.019596,1274976194.8072312,38338284.83066168,0.6259,0.6119,,6.54,21.7,0.57,83.3
25,Toncoin,TON,0.58,,28582759.953,4911780192.242355,122211828.15969583,-0.3605,-0.1275,,2.84,21.89,0.77,60.0
30,Internet Computer,ICP,0.43,,15423105.023999998,3563665162.610145,1078088407.911615,0.195,-0.0796,,4.94,1.33,1.0,60.0
19,Hedera,HBAR,0.41,,28414789.5475,7014335131.861809,262505642.02110115,0.3504,0.2419,,2.5,10.23,0.88,73.3
54,Kaspa,KAS,0.28,,4087272.62765,1456839505.7134576,80874862.3549056,0.5,0.394,,8.66,4.66,0.4,93.3
78,Optimism,OP,0.25,,1750850.0,698761849.9471794,95461673.65122944,0.0129,-0.0292,,2.97,1.88,1.88,73.3
2,Ethereum,ETH,0.23,,939252090.0,401518675909.07086,36832678120.139984,0.8371,0.54,,2.27,2.44,0.6,86.7
21,Monero,XMR,0.23,,15583220.365679998,6722955209.304357,159190757.71726018,2.2121,1.3167,,8.8,8.46,1.7,93.3
9,Dogecoin,DOGE,0.21,,51864570.0,24711277413.628544,1887418861.1691897,0.5737,0.1094,,3.0,2.62,0.97,63.3
