rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
290,MANTRA,OM,16.7,,18987068.383855,113704059.01063022,22504640.20482255,-4.6292,-10.7248,,4.42,83.17,27.48,26.7
39,Ethena,ENA,9.14,,239878160.7453,2624552842.847321,205648701.42400387,-0.7001,-1.0508,,4.42,105.98,2.02,43.3
96,Artificial Superintelligence Alliance,FET,5.06,,28765500.1104,568998880.1042747,123970826.01647171,0.8067,0.8437,,4.3,23.25,0.41,96.7
69,Virtuals Protocol,VIRTUAL,4.24,,45918504.26694,1083073312.876191,541400899.8101763,-0.3646,-0.3477,,55.93,5.04,1.25,60.0
29,Mantle,MNT,3.54,,161978835.55684,4578889936.45325,95590574.5492366,0.789,0.7019,,8.76,157.84,0.52,93.3
50,Arbitrum,ARB,2.4,,39616181.4608,1652661807.729489,136059160.73910484,0.6635,0.5765,,2.39,26.85,0.41,90.0
17,Sui,SUI,1.95,,165701286.71252,8506784281.862637,602285889.5306492,0.4796,0.3371,,1.93,24.86,0.53,83.3
11,Hyperliquid,HYPE,1.54,,215737533.29765004,14008595180.968807,372163114.21470994,0.5,0.6519,,9.94,48.01,0.82,90.0
37,Pepe,PEPE,1.49,,41111982.468,2753175996.6655912,211855020.44292545,0.8193,-0.494,,4.99,16.44,5.59,80.0
27,Bittensor,TAO,1.29,,64250845.4694,4967018831.610849,453377506.9788484,0.3306,0.2592,,9.04,11.06,0.41,76.7
47,Polygon (prev. MATIC),POL,0.97,,19238174.71404,1984303655.10498,102713119.56277063,0.2834,0.1469,,1.24,18.11,0.51,70.0
64,Render,RENDER,0.9,,10487453.8285,1165426873.1517978,38969159.06849845,0.3292,0.0702,,4.18,26.55,0.61,63.3
57,VeChain,VET,0.72,,9910239.019596,1378135977.988222,24841467.24642638,0.6259,0.6119,,6.54,33.5,0.57,83.3
44,Internet Computer,ICP,0.67,,15423105.023999998,2289045206.876693,391284593.14945376,0.195,-0.0796,,4.94,3.67,1.0,60.0
24,Toncoin,TON,0.5,,28582759.953,5769891659.827705,130007726.66915812,-0.3605,-0.1275,,2.84,20.58,0.77,60.0
18,Hedera,HBAR,0.35,,28414789.5475,8138279735.47313,249539942.3423269,0.3504,0.2419,,2.5,10.77,0.88,73.3
56,Kaspa,KAS,0.3,,4087272.62765,1379579873.4608722,27999887.1111923,0.5,0.394,,8.66,13.45,0.4,93.3
65,Filecoin,FIL,0.25,,2924540.0,1160012255.4445198,257423695.8667201,0.5994,-0.1633,,7.65,1.22,2.25,66.7
22,Monero,XMR,0.24,,15583220.365679998,6418844634.372554,153004644.01304457,2.2121,1.3167,,8.8,8.8,1.7,93.3
80,Optimism,OP,0.23,,1750850.0,777604823.430309,93637521.67823178,0.0129,-0.0292,,2.97,1.92,1.88,73.3
2,Ethereum,ETH,0.2,,939252090.0,464225086076.28864,18338448893.71531,0.8371,0.54,,2.27,4.9,0.6,86.7
9,Dogecoin,DOGE,0.19,,51864570.0,27839644659.83312,904162719.196295,0.5737,0.1094,,3.0,5.47,0.97,63.3
23,Shiba Inu,SHIB,0.17,,9776020.639100004,5894052312.008853,116255871.80070543,0.7633,-0.1356,,2.39,8.21,2.43,66.7
20,Litecoin,LTC,0.16,,12356930.0,7510494303.27117,755373898.3380268,0.7712,0.5192,,3.52,1.55,0.66,80.0
6,Solana,SOL,0.15,,157267900.0,101976828113.29112,3054963232.0054164,0.6674,-0.0086,,2.26,4.65,2.5,73.3
30,Uniswap,UNI,0.14,,5106190.0,3632502365.762632,152324132.73745683,0.432,0.4424,,3.53,3.29,0.92,80.0
40,Ethereum Classic,ETC,0.13,,3307240.0,2473946731.3329945,93267715.94401588,1.0,0.6113,,3.59,3.4,1.81,90.0
13,Bitcoin Cash,BCH,0.11,,12156170.0,10607585169.91921,411919913.4025209,-1.1454,0.3823,,5.52,2.91,1.24,80.0
1,Bitcoin,BTC,0.11,,2437380500.0,2186185659998.0005,32803791942.24297,0.7648,0.5818,,1.73,7.43,0.48,90.0
38,NEAR Protocol,NEAR,0.09,,2463380.0,2733833253.030131,113390229.88515036,0.6149,0.3936,,5.37,2.23,0.94,66.7
28,Polkadot,DOT,0.08,,4035340.0,4752023334.941736,161655876.11466417,-0.3284,-0.1423,,1.43,2.53,1.71,56.7
