rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
300,MANTRA,OM,19.13,,18987068.383855,99253030.1567291,41009898.85896586,-4.6292,-10.7248,,4.42,45.64,27.48,26.7
41,Ethena,ENA,10.45,,239878160.7453,2296445253.1255946,394210469.8177668,-0.7001,-1.0508,,4.42,55.29,2.02,43.3
97,Artificial Superintelligence Alliance,FET,5.82,,28765500.1104,494556018.9561725,112252884.67919704,0.8067,0.8437,,4.3,25.68,0.41,96.7
73,Virtuals Protocol,VIRTUAL,5.08,,45918504.26694,904294916.6979506,537490943.7407925,-0.3646,-0.3477,,55.93,5.08,1.25,60.0
27,Mantle,MNT,3.87,,161978835.55684,4190722001.54622,265841569.9851054,0.789,0.7019,,8.76,56.75,0.52,93.3
53,Arbitrum,ARB,2.82,,39616181.4608,1406877473.1528275,356584850.35605323,0.6635,0.5765,,2.39,10.24,0.41,90.0
17,Sui,SUI,2.27,,165701286.71252,7285668848.309344,2180046364.9263163,0.4796,0.3371,,1.93,6.87,0.53,83.3
39,Pepe,PEPE,1.74,,41111982.468,2358289921.689862,777177736.3043612,0.8193,-0.494,,4.99,4.48,5.59,80.0
11,Hyperliquid,HYPE,1.65,,215737533.29765004,13048284465.00993,1092910487.0105393,0.5,0.6519,,9.94,16.35,0.82,90.0
28,Bittensor,TAO,1.56,,64250845.4694,4117544612.926278,842880355.7473308,0.3306,0.2592,,9.04,5.95,0.41,76.7
47,Polygon (prev. MATIC),POL,1.12,,19238174.71404,1711421562.5284128,170689990.072936,0.2834,0.1469,,1.24,10.9,0.51,70.0
67,Render,RENDER,1.08,,10487453.8285,967533075.9982928,90857789.61798625,0.3292,0.0702,,4.18,11.39,0.61,63.3
58,VeChain,VET,0.82,,9910239.019596,1204610380.599265,56016294.08766786,0.6259,0.6119,,6.54,14.85,0.57,83.3
25,Toncoin,TON,0.61,,28582759.953,4713097874.280561,266080940.6703287,-0.3605,-0.1275,,2.84,10.05,0.77,60.0
36,Internet Computer,ICP,0.57,,15423105.023999998,2727054516.6258707,1380436044.9005373,0.195,-0.0796,,4.94,1.04,1.0,60.0
19,Hedera,HBAR,0.4,,28414789.5475,7162870275.875833,517406524.802561,0.3504,0.2419,,2.5,5.19,0.88,73.3
61,Kaspa,KAS,0.35,,4087272.62765,1184266744.0459523,84612891.64011987,0.5,0.394,,8.66,4.45,0.4,93.3
68,Filecoin,FIL,0.3,,2924540.0,965138291.7462392,295360916.9366548,0.5994,-0.1633,,7.65,1.07,2.25,66.7
79,Optimism,OP,0.27,,1750850.0,659305645.7170603,219994386.9526858,0.0129,-0.0292,,2.97,0.82,1.88,73.3
22,Monero,XMR,0.25,,15583220.365679998,6239414165.077968,218270641.8079525,2.2121,1.3167,,8.8,6.17,1.7,93.3
2,Ethereum,ETH,0.24,,939252090.0,395032278424.0349,75969824766.31728,0.8371,0.54,,2.27,1.18,0.6,86.7
9,Dogecoin,DOGE,0.21,,51864570.0,24706381518.727127,4780986528.726303,0.5737,0.1094,,3.0,1.03,0.97,63.3
21,Litecoin,LTC,0.19,,12356930.0,6534873762.178236,1085862116.9964714,0.7712,0.5192,,3.52,1.08,0.66,80.0
24,Shiba Inu,SHIB,0.19,,9776020.639100004,5233530444.792283,297170569.4510629,0.7633,-0.1356,,2.39,3.21,2.43,66.7
6,Solana,SOL,0.18,,157267900.0,85471653235.86992,11616398335.752851,0.6674,-0.0086,,2.26,1.22,2.5,73.3
30,Uniswap,UNI,0.16,,5106190.0,3205107004.189733,337718676.8763452,0.432,0.4424,,3.53,1.48,0.92,80.0
42,Ethereum Classic,ETC,0.15,,3307240.0,2217277472.344421,194922573.21906257,1.0,0.6113,,3.59,1.63,1.81,90.0
13,Bitcoin Cash,BCH,0.13,,12156170.0,9622506785.657171,475303306.34822,-1.1454,0.3823,,5.52,2.52,1.24,80.0
1,Bitcoin,BTC,0.12,,2437380500.0,2016070201155.3308,109867803855.14262,0.7648,0.5818,,1.73,2.22,0.48,90.0
40,NEAR Protocol,NEAR,0.1,,2463380.0,2354244611.883416,344363226.1405998,0.6149,0.3936,,5.37,0.73,0.94,66.7
29,Polkadot,DOT,0.1,,4035340.0,4098505756.049429,380319610.7229593,-0.3284,-0.1423,,1.43,1.07,1.71,56.7
45,Aptos,APT,0.09,,1709580.0,1848345377.1904075,220451762.60721675,-1.82,-3.1032,,2.86,0.74,6.44,43.3
32,Aave,AAVE,0.08,,2433500.0,2886393416.080533,487812645.2083485,-0.4747,0.2227,,1.74,0.53,1.89,80.0
20,Avalanche,AVAX,0.08,,5604960.0,6850610847.496047,854737281.8596588,-0.8623,-0.8227,,1.35,0.68,3.26,56.7
5,BNB,BNB,0.08,,101390470.0,128842544991.03166,5809739304.811268,0.0,0.0896,,6.9,1.55,0.31,16.7
12,Chainlink,LINK,0.08,,7978870.0,10279408480.91331,1616541955.8915436,0.6474,0.6382,,3.75,0.5,0.48,93.3
10,Cardano,ADA,0.08,,14463360.0,18712062074.96726,1853550612.855781,0.3988,0.5385,,2.69,0.76,0.61,76.7
59,Cosmos,ATOM,0.08,,918920.0,1201056455.080262,169026047.33563566,-1.0299,-1.7624,,3.36,0.56,5.18,53.3
54,Algorand,ALGO,0.06,,757750.0,1359171948.4851112,109161643.27782494,0.7729,0.5033,,1.39,0.69,1.17,86.7
4,XRP,XRP,0.05,,72370880.0,133017749279.1962,9852757415.23106,0.5763,0.4896,,2.97,0.67,0.64,76.7
37,OKB,OKB,0.04,,1087271.3292,2596004700.5799127,178929906.02016246,0.5,0.536,,10.21,0.52,0.2,100.0
8,TRON,TRX,0.03,,8067550.0,26988818511.56875,1697670098.6202295,-1.4605,0.1309,,3.39,0.47,1.2,73.3
16,Stellar,XLM,0.02,,1652660.0,8647664156.238386,402377156.5791814,0.6132,0.693,,7.24,0.37,0.67,83.3
7,USDC,USDC,0.01,,5403221.924120001,75147802442.62749,30529990744.973625,-0.1283,-0.1442,,2.19,0.02,0.73,40.0
3,Tether USDt,USDT,0.0,,6136008.0708,183378332752.47305,238477131085.0079,-0.1237,-3.2817,,9.31,0.0,5.9,46.7
