rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
294,MANTRA,OM,16.73,,18987068.383855,113514928.76612473,45203560.82847565,-4.6292,-10.7248,,4.42,41.41,27.48,26.7
42,Ethena,ENA,9.65,,239878160.7453,2486299882.6708136,338770449.06648195,-0.7001,-1.0508,,4.42,64.33,2.02,43.3
69,Virtuals Protocol,VIRTUAL,4.44,,45918504.26694,1033945798.1414908,662616428.5226148,-0.3646,-0.3477,,55.93,4.12,1.25,60.0
29,Mantle,MNT,3.85,,161978835.55684,4210440532.8048553,192757371.3108793,0.789,0.7019,,8.76,78.27,0.52,93.3
78,Artificial Superintelligence Alliance,FET,3.31,,28765500.1104,868950259.5776987,1049594860.3761096,0.8067,0.8437,,4.3,2.75,0.41,96.7
50,Arbitrum,ARB,2.38,,39616181.4608,1663805427.5096493,309008884.54003745,0.6635,0.5765,,2.39,11.82,0.41,90.0
18,Sui,SUI,2.09,,165701286.71252,7941246157.983719,1354879858.115004,0.4796,0.3371,,1.93,11.05,0.53,83.3
41,Pepe,PEPE,1.57,,41111982.468,2618394663.677856,587407300.9339219,0.8193,-0.494,,4.99,5.93,5.59,80.0
30,Bittensor,TAO,1.56,,64250845.4694,4122558280.238208,643985571.4739627,0.3306,0.2592,,9.04,7.79,0.41,76.7
11,Hyperliquid,HYPE,1.51,,215737533.29765004,14265703948.471254,658745261.6411601,0.5,0.6519,,9.94,27.13,0.82,90.0
47,Polygon (prev. MATIC),POL,1.0,,19238174.71404,1925470929.8267431,154823332.93284884,0.2834,0.1469,,1.24,12.02,0.51,70.0
63,Render,RENDER,0.82,,10487453.8285,1277086395.821561,272355009.03548974,0.3292,0.0702,,4.18,3.8,0.61,63.3
56,VeChain,VET,0.67,,9910239.019596,1471672507.9684658,73519763.91904281,0.6259,0.6119,,6.54,11.32,0.57,83.3
26,Toncoin,TON,0.54,,28582759.953,5251016295.766171,187579336.7218848,-0.3605,-0.1275,,2.84,14.26,0.77,60.0
21,Hedera,HBAR,0.38,,28414789.5475,7540568123.212069,398759713.0776434,0.3504,0.2419,,2.5,6.74,0.88,73.3
28,Internet Computer,ICP,0.35,,15423105.023999998,4460440993.033634,1447595367.4516823,0.195,-0.0796,,4.94,0.99,1.0,60.0
58,Kaspa,KAS,0.29,,4087272.62765,1412761798.7384236,94019532.93790688,0.5,0.394,,8.66,4.01,0.4,93.3
22,Monero,XMR,0.23,,15583220.365679998,6780018191.022289,202192892.90616536,2.2121,1.3167,,8.8,6.66,1.7,93.3
2,Ethereum,ETH,0.23,,939252090.0,413218142097.8857,42083165077.45749,0.8371,0.54,,2.27,2.14,0.6,86.7
80,Optimism,OP,0.22,,1750850.0,807963897.703875,187833348.33022645,0.0129,-0.0292,,2.97,0.96,1.88,73.3
9,Dogecoin,DOGE,0.19,,51864570.0,27171474244.484413,2933858589.896029,0.5737,0.1094,,3.0,1.69,0.97,63.3
6,Solana,SOL,0.18,,157267900.0,89485329277.92035,6487951999.047142,0.6674,-0.0086,,2.26,2.19,2.5,73.3
23,Shiba Inu,SHIB,0.16,,9776020.639100004,5959047699.581866,268015203.8552648,0.7633,-0.1356,,2.39,3.56,2.43,66.7
19,Litecoin,LTC,0.16,,12356930.0,7838762033.92874,1530459171.3370526,0.7712,0.5192,,3.52,0.76,0.66,80.0
31,Uniswap,UNI,0.14,,5106190.0,3733702972.206472,349636860.2788539,0.432,0.4424,,3.53,1.43,0.92,80.0
43,Filecoin,FIL,0.12,,2924540.0,2436833592.7782,3559896291.669785,0.5994,-0.1633,,7.65,0.09,2.25,66.7
38,Ethereum Classic,ETC,0.12,,3307240.0,2766058018.4880075,628646399.6408626,1.0,0.6113,,3.59,0.5,1.81,90.0
14,Bitcoin Cash,BCH,0.12,,12156170.0,10254244381.155216,807747833.1271145,-1.1454,0.3823,,5.52,1.49,1.24,80.0
1,Bitcoin,BTC,0.12,,2437380500.0,2058201028846.872,91518932371.4522,0.7648,0.5818,,1.73,2.66,0.48,90.0
33,Aave,AAVE,0.08,,2433500.0,3187401094.708409,433136104.7598847,-0.4747,0.2227,,1.74,0.6,1.89,80.0
24,Polkadot,DOT,0.08,,4035340.0,5365871082.704927,771532940.5093611,-0.3284,-0.1423,,1.43,0.53,1.71,56.7
45,Aptos,APT,0.07,,1709580.0,2296344792.5974383,375598484.4277834,-1.82,-3.1032,,2.86,0.43,6.44,43.3
5,BNB,BNB,0.07,,101390470.0,136585833439.63268,3577869877.9424706,0.0,0.0896,,6.9,2.51,0.31,16.7
20,Avalanche,AVAX,0.07,,5604960.0,7648306635.419846,817707209.2583975,-0.8623,-0.8227,,1.35,0.71,3.26,56.7
12,Chainlink,LINK,0.07,,7978870.0,11048218723.422203,1057876993.9861383,0.6474,0.6382,,3.75,0.76,0.48,93.3
10,Cardano,ADA,0.07,,14463360.0,20764467882.334946,1283625101.364653,0.3988,0.5385,,2.69,1.1,0.61,76.7
32,NEAR Protocol,NEAR,0.07,,2463380.0,3579809296.773646,1544667292.455216,0.6149,0.3936,,5.37,0.16,0.94,66.7
57,Cosmos,ATOM,0.06,,918920.0,1468468121.3611536,184196776.2988864,-1.0299,-1.7624,,3.36,0.51,5.18,53.3
4,XRP,XRP,0.05,,72370880.0,139227609573.5788,5951323008.491334,0.5763,0.4896,,2.97,1.11,0.64,76.7
52,Algorand,ALGO,0.05,,757750.0,1607793259.5091236,104935148.09096676,0.7729,0.5033,,1.39,0.71,1.17,86.7
40,OKB,OKB,0.04,,1087271.3292,2631683685.4379945,92756380.87635368,0.5,0.536,,10.21,1.01,0.2,100.0
8,TRON,TRX,0.03,,8067550.0,27694677676.961323,924421189.6871328,-1.4605,0.1309,,3.39,0.87,1.2,73.3
