date,symbol,rank,signal,position_side,score_value,ret,d_oi,z_ret,z_doi
2025-10-24,MOG,1,LONG,LONG,1.2763624748710842,0.02247285585205816,0.16459460255301472,0.41781065470062456,1.2763624748710842
2025-10-24,WIF,2,LONG,LONG,1.1747156824377656,0.011342276603934498,0.11556561118391073,0.27780992023036577,1.1747156824377656
2025-10-24,LA,3,LONG,LONG,1.1120635104905532,0.017196342589620883,0.12020476390570245,0.21503860022726676,1.1120635104905532
2025-10-24,BTC,4,LONG,LONG,0.7782537041536634,0.009352310141707676,0.02196150744416414,0.4281182926204739,0.7782537041536634
2025-10-24,BCH,5,LONG,LONG,0.75718151725193,0.020677893021291638,0.06870101362429182,0.6969109432259405,0.75718151725193
2025-10-24,ENA,6,LONG,LONG,0.681407189078739,0.04169957246161404,0.06771047059000423,0.6454842955562555,0.681407189078739
2025-10-24,JTO,7,LONG,LONG,0.5763308950614068,0.002945781380865209,0.04758962441351677,0.19555055878859567,0.5763308950614068
2025-10-24,BONK,8,LONG,LONG,0.5707910415788122,0.006170742926659756,0.0477356169084171,0.2208869694437589,0.5707910415788122
2025-10-24,ALGO,9,LONG,LONG,0.5536951941250317,0.012048338516174484,0.027508691403074437,0.31950727505114124,0.5536951941250317
2025-10-24,POPCAT,10,LONG,LONG,0.5001012333743483,0.01640995143487789,0.057149068102093636,0.3510055069675091,0.5001012333743483
2025-10-24,ETH,11,NEUTRAL,FLAT,0.43878716624708686,0.02532195476154442,0.008215119774824586,0.6546002320472525,0.43878716624708686
2025-10-24,ME,12,NEUTRAL,FLAT,0.4000952962873698,0.004618945856294521,-0.0034040879626306975,0.30163189537058754,0.4000952962873698
2025-10-24,OXT,13,NEUTRAL,FLAT,0.37739680822058536,0.009950330853167877,0.015347290630655763,0.35297775084672783,0.37739680822058536
2025-10-24,WLD,14,NEUTRAL,FLAT,0.35838713983159265,0.010350868723656148,0.014193648131616499,0.4558229610018449,0.35838713983159265
2025-10-24,ETHFI,15,NEUTRAL,FLAT,0.3113781886783165,0.023410738365249147,0.022707760125047827,0.49880915881475,0.3113781886783165
2025-10-24,LINK,16,NEUTRAL,FLAT,0.2796826879255828,0.011349176537220895,0.00499007012475694,0.3010238191164776,0.2796826879255828
2025-10-24,CAKE,17,NEUTRAL,FLAT,0.27902536012034584,-0.028368083894488305,-0.053336323191988555,-0.26632643611423307,-0.27902536012034584
2025-10-24,ETC,18,NEUTRAL,FLAT,0.19995718790837017,0.00825139559456689,-0.00792378024218543,0.2374102143097044,0.19995718790837017
2025-10-24,LDO,19,NEUTRAL,FLAT,0.19275714321686488,0.018630675863130372,-0.0018243920413318904,0.307445886489213,0.19275714321686488
2025-10-24,ENS,20,NEUTRAL,FLAT,0.1173961092513893,0.006518927909817229,-0.028204832171990546,0.23386023386527033,0.1173961092513893
2025-10-24,SUPER,21,NEUTRAL,FLAT,0.09550994292846608,-0.002808479287166654,-0.02769939337951932,0.10153297066127312,-0.09550994292846608
2025-10-24,GRT,22,NEUTRAL,FLAT,0.07238333073454253,0.015600940442479505,-0.00841003418494779,0.45666835474905326,0.07238333073454253
2025-10-24,PAXG,23,NEUTRAL,FLAT,0.06071002057947525,-0.015295832407414167,-0.0005967386753944481,-0.9278565928122607,-0.06071002057947525
2025-10-24,BICO,24,NEUTRAL,FLAT,0.04470104348175655,0.013899837689033578,-0.013455550144570338,0.4120435786334959,0.04470104348175655
2025-10-24,SNX,25,SHORT,SHORT,0.024504062079835152,-0.00965413773308979,0.004730520416810435,-0.1247869759018366,-0.024504062079835152
2025-10-24,API3,26,SHORT,SHORT,0.015462599821576191,-0.010137668284455004,-0.003937412491993086,-0.06372000341284567,-0.015462599821576191
2025-10-24,FLOKI,27,SHORT,SHORT,-0.02063518463248739,-0.00685403642779292,0.02302017032219794,-0.01931835153860103,0.02063518463248739
2025-10-24,AAVE,28,SHORT,SHORT,-0.09529395779591202,0.019995381231551868,-0.05214802020848097,0.5046606167760673,-0.09529395779591202
2025-10-24,ATH,29,SHORT,SHORT,-0.11596756901881627,-0.005477589868299049,-0.007343881367756211,0.2198924879864644,0.11596756901881627
2025-10-24,BIO,30,SHORT,SHORT,-0.13779425133246004,0.03649246785757976,-0.03738400010361076,0.5621045331559394,-0.13779425133246004
2025-10-24,ZEC,31,SHORT,SHORT,-0.18295485268296388,0.07789901645327824,0.03057484761806961,0.2008876193036794,-0.18295485268296388
2025-10-24,MORPHO,32,SHORT,SHORT,-0.2573763990284114,0.04038523161600671,-0.037068837573990265,0.5141013955937568,-0.2573763990284114
2025-10-24,POWR,33,SHORT,SHORT,-0.368137198580829,-0.0016949156599914694,0.011689964589798763,0.11496726493165398,0.368137198580829
2025-10-24,BNT,34,SHORT,SHORT,-1.1462353329877495,0.013725539546123655,-0.056539937315905675,0.4327663046380547,-1.1462353329877495
