rank,coin_name,coin_symbol,oi_to_mcap_ratio,leverage_score,latest_oi,market_cap,volume_24h,avg_funding_7d,avg_funding_30d,oi_growth_30d,oi_volatility_30d,oi_to_volume_ratio,funding_volatility_30d,positive_funding_pct
43,Ethena,ENA,10.21,,239878160.7453,2349483875.2275653,279818987.60376686,-0.7001,-1.0508,,4.42,77.89,2.02,43.3
77,Virtuals Protocol,VIRTUAL,5.42,,45918504.26694,847115468.7697266,310395046.4046477,-0.3646,-0.3477,,55.93,8.8,1.25,60.0
85,Artificial Superintelligence Alliance,FET,3.99,,28765500.1104,720750814.6259267,153599923.5422127,0.8067,0.8437,,4.3,18.77,0.41,96.7
29,Mantle,MNT,3.86,,161978835.55684,4195971272.1576166,114513315.34577905,0.789,0.7019,,8.76,131.75,0.52,93.3
55,Arbitrum,ARB,2.7,,39616181.4608,1466709711.0122333,255470197.6713892,0.6635,0.5765,,2.39,14.3,0.41,90.0
20,Sui,SUI,2.23,,165701286.71252,7428497687.066978,821671887.1592426,0.4796,0.3371,,1.93,18.22,0.53,83.3
32,Bittensor,TAO,1.77,,64250845.4694,3627259447.392347,260064634.9701155,0.3306,0.2592,,9.04,19.29,0.41,76.7
41,Pepe,PEPE,1.66,,41111982.468,2480360343.007958,300358732.11092186,0.8193,-0.494,,4.99,11.59,5.59,80.0
11,Hyperliquid,HYPE,1.64,,215737533.29765004,13152048664.626492,424114608.1734672,0.5,0.6519,,9.94,42.13,0.82,90.0
48,Polygon (prev. MATIC),POL,1.05,,19238174.71404,1837722504.240611,152071571.15662906,0.2834,0.1469,,1.24,12.23,0.51,70.0
63,Render,RENDER,0.85,,10487453.8285,1227288693.181935,97668768.52009276,0.3292,0.0702,,4.18,10.59,0.61,63.3
56,VeChain,VET,0.68,,9910239.019596,1448190886.0839746,49141200.26385486,0.6259,0.6119,,6.54,16.93,0.57,83.3
25,Toncoin,TON,0.56,,28582759.953,5100252069.483648,150737212.63843971,-0.3605,-0.1275,,2.84,17.75,0.77,60.0
34,Internet Computer,ICP,0.47,,15423105.023999998,3296314797.2320414,450248448.3492377,0.195,-0.0796,,4.94,3.19,1.0,60.0
19,Hedera,HBAR,0.38,,28414789.5475,7556778861.092648,351953241.18323886,0.3504,0.2419,,2.5,7.63,0.88,73.3
60,Kaspa,KAS,0.3,,4087272.62765,1365152992.0097537,46623969.85664465,0.5,0.394,,8.66,8.08,0.4,93.3
80,Optimism,OP,0.22,,1750850.0,784599919.6643634,117632248.93280728,0.0129,-0.0292,,2.97,1.53,1.88,73.3
