symbol
AAVE
AERO
ANKR
ARB
ATH
AXL
BAL
BICO
BNT
BONK
BTRST
CAKE
CELO
CELR
COMP
COTI
CRV
CTSI
DIA
DOT
ETHFI
GRT
IMX
IOTX
KNC
LDO
LINK
LPT
LRC
MAGIC
METIS
MKR
MOG
MORPHO
