Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,snapshot_date
63,Immutable,IMX,1229703553.234774,0.69540878,1768317543.3898141,30620641.26,-0.30417195,-3.48588743,-4.00337007,20250301
64,Stacks,STX,1227513790.2999969,0.81019919,1515076553.12004,43255844.39,-0.28155518,-2.70555086,-12.68009559,20250301
65,Worldcoin,WLD,1181226542.5717292,1.10561181,1068391757.6268873,139051563.03,-0.16735678,-0.36921863,-12.04200212,20250301
66,Theta Network,THETA,1172965689.176805,1.17296569,1000000000.0,13939016.92,-0.36771315,0.62910346,-13.4425652,20250301
67,Sei,SEI,1157496775.0780733,0.24852319,4657499999.0,101046405.83,-0.88197645,-0.76238992,-11.03906479,20250301
68,The Graph,GRT,1136650793.506458,0.11903933,9548531509.165474,39962240.39,-0.25160126,-1.14812527,-14.21617534,20250301
69,Lido DAO,LDO,1121286359.4009647,1.24920119,897602695.87191,91571508.41,-0.64827615,-1.693529,-26.05611034,20250301
70,Quant,QNT,1112012155.406979,92.10935874,12072738.0,21153860.09,-0.48517938,-4.26831558,-4.33809174,20250301
71,Movement,MOVE,1067885812.391742,0.44495242,2400000000.0,63522190.06,-0.85627827,0.36297735,-10.63927127,20250301
72,Bonk,BONK,1052475236.2321028,1.354e-05,77715221313992.61,73938581.41,-0.18132142,-0.61760355,-16.17888937,20250301
73,Flare,FLR,1009987176.9299644,0.01707227,59159502397.9693,9731905.57,0.53671939,3.1061991,-14.87444073,20250301
74,Berachain,BERA,886523178.3235371,8.2482618,107480000.0,240225897.3,0.71329656,-5.15927104,9.9412028,20250301
75,JasmyCoin,JASMY,882670973.061185,0.01785157,49444999677.16958,27312129.7,-0.69028408,-2.30864436,-16.38732289,20250301
76,EOS,EOS,871070548.2737218,0.56207493,1549740980.8527,67912453.51,-0.50460006,0.04200921,-12.69233681,20250301
77,Tezos,XTZ,788433386.3800292,0.76363931,1032468301.720979,21770346.29,-0.56359658,-0.41214601,-14.54670078,20250301
78,The Sandbox,SAND,783258681.7161939,0.31783489,2464357126.2233224,62757045.28,-0.27672189,-0.35860871,-10.80390721,20250301
79,FLOKI,FLOKI,773297266.4717325,8.038e-05,9620436821912.674,77754323.17,-0.14886391,-1.89571157,-18.13503586,20250301
80,Ethereum Name Service,ENS,759379860.313314,21.33973087,35585259.48011855,55583719.59,-0.58229238,-0.94385817,-21.49707537,20250301
81,IOTA,IOTA,758357411.085916,0.2077387,3650535129.0,32242826.09,-0.92971484,2.40231707,-9.40949264,20250301
82,PayPal USD,PYUSD,753369796.3253479,0.9996838,753608083.703083,16357992.34,-0.0117839,-0.03096366,-0.04494358,20250301
83,Gala,GALA,743715269.8982352,0.01966474,37819728247.20251,67771511.65,-0.51490142,-1.59760606,-14.85855133,20250301
84,Flow,FLOW,740921778.115712,0.47293383,1566649989.8244228,24451304.01,-0.22560176,-1.65805729,-10.84495052,20250301
85,Pyth Network,PYTH,739400816.8035662,0.20397332,3624987952.478968,25466430.26,-0.21806477,-2.46253598,-14.66334257,20250301
86,Nexo,NEXO,731502155.7766382,1.1321007,646145839.5746847,11741734.04,-0.7565652,1.86838139,-15.40219424,20250301
87,Jito,JTO,726642728.3104299,2.42465726,299688843.3,36060804.81,-0.10282392,-3.99869413,-18.12569052,20250301
88,BitTorrent [New],BTT,721026022.7065933,7.3e-07,986061142857000.0,17139997.75,-0.25033107,-0.55724456,-13.79350867,20250301
89,Kaia,KAIA,714818241.4881437,0.11999098,5957266715.032926,14672946.96,-0.2713729,-2.51460168,-11.2385638,20250301
90,Tether Gold,XAUt,703895199.8843361,2855.2806213,246524.0,3759886.79,0.01442362,-0.03623324,-2.80510766,20250301
91,Bitcoin SV,BSV,690626536.3052692,34.82400626,19831909.375,41060849.34,-0.22599979,-2.68973923,-7.39610616,20250301
92,Virtuals Protocol,VIRTUAL,683622447.7538011,1.05400133,648597330.7953789,76571129.13,-0.00463952,-4.14760105,-15.35622839,20250301
93,Neo,NEO,677683562.6982089,9.60724119,70538831.0,23704029.38,-0.2130235,0.03546438,-10.8905258,20250301
94,Raydium,RAY,669890082.1306435,2.30323111,290847965.959333,79206692.77,-0.10027181,-6.71779011,-46.46372485,20250301
95,dogwifhat,WIF,610346319.1396561,0.61105443,998841160.914918,297833839.02,-0.28092091,-2.66192344,-13.1660927,20250301
96,MultiversX,EGLD,604824597.4243032,21.65778632,27926427.40665753,15984184.44,-0.17332458,-0.30218735,-7.75766531,20250301
97,Zcash,ZEC,600585279.8325026,37.80399363,15886821.0,66392238.86,-0.15768056,0.63134806,5.28525686,20250301
98,PAX Gold,PAXG,596424497.6722349,2851.5274364,209159.656,20099444.74,-0.10938258,-0.29073035,-3.50476681,20250301
99,Ronin,RON,593534034.3288852,0.95825622,619389698.9641546,7422329.73,-0.22561197,0.0401903,-21.85132468,20250301
100,Axie Infinity,AXS,591829159.644359,3.72018295,159086036.22250015,23664776.61,-0.22743045,-1.0710357,-12.72215018,20250301
101,Grass,GRASS,578332089.819224,2.37113579,243905091.0,44654715.88,-1.99200173,8.23793475,9.42036915,20250301
102,PancakeSwap,CAKE,575908539.6396159,1.98521744,290098468.3319121,60406716.37,-0.65901592,-0.53860075,-21.55659824,20250301
103,Helium,HNT,573491833.7107097,3.23285976,177394590.46004692,3819431.11,-0.40022227,-1.70956614,-8.96960026,20250301
104,Decentraland,MANA,571334421.2301655,0.29416033,1942255184.1130493,39834367.17,-0.37432127,-0.58206874,-7.71730295,20250301
105,Starknet,STRK,568166247.6405687,0.20709496,2743505868.988425,27093964.36,-0.21843431,-3.90237309,-11.56908676,20250301
106,Curve DAO Token,CRV,562022683.1167771,0.43594959,1289191905.0,67626059.32,-0.43246213,-3.08091029,-13.58648975,20250301
107,Pudgy Penguins,PENGU,550144337.211706,0.00875184,62860396090.04,78140169.01,-0.05552301,-3.70673467,-2.06527358,20250301
108,Conflux,CFX,550027914.5114727,0.11161161,4928052770.73,29066916.79,-0.20765125,-0.69890321,-8.53885912,20250301
109,FTX Token,FTT,541577699.5031599,1.64665783,328895103.813207,14008832.02,-0.43163824,-1.31996713,-13.5956058,20250301
110,Onyxcoin,XCN,548270199.1798986,0.01682188,32592684478.0,107713632.62,4.74168089,17.95960326,-6.40523668,20250301
111,Polygon,MATIC,540568936.4512863,0.28246083,1913783718.0,5569464.76,-0.39022101,3.84118516,-5.34204189,20250301
112,Arweave,AR,540860869.7235777,8.2382415,65652466.0,33312750.78,-0.72180966,-0.88184875,-14.2907048,20250301
113,KAITO,KAITO,529421795.6847514,2.19323183,241388889.0,698875132.29,1.74027997,10.31649816,41.69178214,20250301
114,dYdX,DYDX,510627961.4268124,0.68826053,741910860.4412594,18014522.09,-0.08753706,-2.69370034,-14.57100083,20250301
115,TrueUSD,TUSD,494055510.70590496,0.99705242,495516083.0,51085829.82,-0.00309915,0.04026305,-0.11742893,20250301
116,SPX6900,SPX,489636070.45990765,0.52592879,930993090.07,14351804.61,-0.3483349,-1.59479065,-28.50937248,20250301
117,Aerodrome Finance,AERO,483394825.4953105,0.61375263,787605306.4595315,17587507.13,-0.86358678,1.68087928,-22.87204675,20250301
118,Core,CORE,477384276.94873387,0.47935696,995884738.447068,31181094.97,-0.13487582,-0.4856665,-9.25506341,20250301
119,Chiliz,CHZ,473541596.4535433,0.0501787,9437103330.0,54880920.37,-0.07857219,-1.68806832,-4.74529625,20250301
120,Pendle,PENDLE,472278676.2713312,2.85397296,165481132.07554984,32997767.95,-0.10954506,-0.67440572,-18.4001815,20250301
121,ApeCoin,APE,471707893.7302595,0.62672815,752651515.0,52405545.2,-0.22147012,-2.30104308,-14.39291938,20250301
122,Official Melania Meme,MELANIA,457684390.783618,0.85180147,537313455.560547,33472968.66,0.06680195,-1.39538008,-33.13000966,20250301
123,Kava,KAVA,458253522.35162735,0.4231907,1082853491.0,12169238.34,-0.21819827,-3.08439459,-3.29062604,20250301
124,eCash,XEC,454916043.55172026,2.294e-05,19831876547583.0,9012488.01,-0.00968053,-1.17783823,-13.05079918,20250301
125,Morpho,MORPHO,455836549.2627331,2.02478768,225128073.2627717,24277068.24,0.36760079,-3.66382228,-9.61781302,20250301
126,Compound,COMP,445976712.2715213,50.27919739,8870004.60313492,30020567.09,-0.2872737,-1.31555713,-10.74444369,20250301
127,THORChain,RUNE,436487656.9910996,1.24029185,351923346.0,762658795.92,-0.09539926,-3.66938228,-8.8600825,20250301
128,Trust Wallet Token,TWT,427903399.4454925,1.02700949,416649900.0,17784766.82,-0.04428548,2.0932982,-1.98876666,20250301
129,APENFT,NFT,423287429.1693791,4.2e-07,999990000000000.0,23411328.9,-0.4995425,0.77464009,-4.55325014,20250301
130,Amp,AMP,418576934.88633716,0.00496936,84231565354.4628,97066624.22,0.68244319,9.50566701,-6.97039291,20250301
131,AIOZ Network,AIOZ,413317484.94041806,0.35624416,1160208451.672547,11754130.35,-0.10253453,0.99644852,-20.10044654,20250301
132,BinaryX,BNX,411668400.91963124,1.10593897,372234284.74618614,42614679.98,-0.02179802,-8.46272807,-4.96000816,20250301
133,Reserve Rights,RSR,409665650.690138,0.00737402,55555276903.0,19893356.38,-0.93702038,-0.45694517,-15.3284705,20250301
134,Beam,BEAM,410993020.53713465,0.0083086,49466004168.0,12055049.65,-0.2336395,-2.0032165,-13.86265187,20250301
135,DeepBook Protocol,DEEP,401730148.9307174,0.13549078,2965000000.0,16268210.93,-1.25855436,0.81457408,-20.39899115,20250301
136,Akash Network,AKT,400140987.55860084,1.6116145,248285794.661141,6220945.61,-0.07535415,-1.17324858,-11.46374367,20250301
137,ai16z,AI16Z,395571199.1006105,0.35961056,1099998833.7247276,67883811.43,0.78530062,-10.88680625,-8.29616122,20250301
138,Wormhole,W,390834096.5142698,0.13542804,2885917122.0,26629833.64,-0.45185303,-3.66347393,-18.44319932,20250301
139,Axelar,AXL,384272498.57179743,0.41582123,924129093.888746,7671808.33,-0.23216223,-0.89065887,-13.84489089,20250301
140,Mina,MINA,382203584.882082,0.31388211,1217666036.8400393,23130123.75,-0.25644866,-2.22234401,-13.57279648,20250301
141,Gnosis,GNO,379892681.7255048,146.8127856,2587599.43946027,4133840.17,-0.16795377,-1.90525069,-18.42259922,20250301
142,EigenLayer,EIGEN,376390990.17453986,1.60181537,234977760.92,42369187.35,0.22046059,-6.1954505,-18.04461793,20250301
143,Brett (Based),BRETT,372950800.7101073,0.03763289,9910236395.0,18559609.45,-0.31958846,-1.28913589,-26.64896813,20250301
144,Terra Classic,LUNC,367368674.3887218,6.712e-05,5473235199824.22,14035733.09,-0.57118811,-0.48816546,-9.53395603,20250301
145,ZKsync,ZK,346969307.04135907,0.09441342,3675000000.0,28383019.15,-0.43109663,-3.07066148,-11.67058957,20250301
146,Golem,GLM,356794610.5934985,0.35679461,1000000000.0,27050011.53,3.11200045,0.65162687,18.35570609,20250301
147,1inch Network,1INCH,333672888.3830238,0.2425225,1375843001.082544,20699668.42,-0.28202749,0.67993023,-9.05735235,20250301
148,Creditcoin,CTC,318672497.970035,0.74210663,429416053.0,12776813.56,0.89044284,3.96346018,-3.73758545,20250301
149,JUST,JST,317553473.12419116,0.03207611,9900000000.0,37827001.73,0.11205746,-0.21116181,-4.72792066,20250301
150,Dash,DASH,309518570.33649516,25.4389912,12167092.94507943,45349686.43,-0.15405979,-1.79945256,-7.04187947,20250301
151,Kusama,KSM,310099104.76263505,19.17114504,16175304.29906421,11856129.63,-0.31669891,-2.45344951,-5.82631116,20250301
152,SafePal,SFP,308812078.32293046,0.61762416,500000000.0,8985760.1,-0.14549503,-0.49705421,-5.83421395,20250301
153,Theta Fuel,TFUEL,303904464.16613334,0.04429984,6860170591.0,5291761.75,0.08493417,0.30398765,-11.73077375,20250301
154,Synthetix,SNX,301815347.4391624,0.88908802,339466216.9903987,18456869.0,-0.22038535,-2.29632666,-13.29642459,20250301
155,Nervos Network,CKB,299020454.18162656,0.00649405,46045267177.87692,93989833.76,-0.00994414,-4.33281109,-4.67542753,20250301
156,MX Token,MX,298010632.89207965,3.13846267,94954334.0,26994798.01,0.66917392,3.74533951,-7.54772773,20250301
157,Blur,BLUR,288194054.35050696,0.12940302,2227104541.143455,20914708.19,-0.14271577,-1.92542464,-13.42268436,20250301
158,Astar,ASTR,284786092.8605638,0.03743356,7607775516.0,19186791.41,-0.26528469,-1.31281827,-17.80508279,20250301
159,SuperVerse,SUPER,283979660.03011733,0.56446423,503095934.41691726,10222997.98,-0.82431157,0.72692654,-22.14869644,20250301
160,LayerZero,ZRO,282208352.622929,2.56553048,110000000.0,27248443.04,-0.43670822,-3.79966469,-12.83039992,20250301
161,Notcoin,NOT,280889075.82333785,0.00274153,102456957077.5639,61193319.31,-0.69295858,-4.02667049,-11.34243751,20250301
162,Oasis,ROSE,277140929.8462275,0.03923212,7064132681.0,13757366.69,-0.06268125,-0.25548445,-9.19412804,20250301
163,Aethir,ATH,273962456.8879348,0.04090429,6697646536.0,97317618.99,1.39473623,4.46709007,4.89088966,20250301
164,Qtum,QTUM,266247245.95485044,2.52263527,105543298.0,42219505.31,-0.20963264,-0.90394219,-18.05675515,20250301
165,SATS (Ordinals),SATS,265700354.2788,1.3e-07,2100000000000000.0,31146644.32,-0.04962296,-4.04183761,-0.59196146,20250301
166,Zilliqa,ZIL,264494688.92261422,0.01349937,19593115290.386787,14217099.11,-0.28943872,-1.34797167,-9.64779754,20250301
167,Alchemy Pay,ACH,261684536.74302563,0.02989212,8754297869.550547,42427927.31,-0.04750997,-6.49721171,-11.12780982,20250301
168,Safe,SAFE,262318004.32616404,0.4973616,527419089.0,20219889.9,0.08833367,-6.17003734,-10.82058132,20250301
169,VeThor Token,VTHO,254215901.0019903,0.00292944,86779695571.0,9315159.63,-0.37258031,-0.85747474,-14.1833847,20250301
170,WEMIX,WEMIX,254486869.67273584,0.60912047,417793987.7653302,1511349.22,-0.19471597,-1.42864465,-16.80542694,20250301
171,Vana,VANA,259620958.87273052,8.62986833,30084000.0,117115461.88,-1.20931029,-4.70828025,35.6597639,20250301
172,Fartcoin,FARTCOIN,251677515.32531297,0.25167795,999998256.0,52502824.58,-0.97418525,-15.19719917,-30.29666155,20250301
173,Livepeer,LPT,250579112.89937538,6.50772723,38504857.99486236,20559922.17,-0.40852716,-1.88555868,-13.98375484,20250301
174,Basic Attention Token,BAT,250989563.35934842,0.16781097,1495668356.9526057,12931802.22,0.08324934,0.02642185,-8.79998828,20250301
175,Mog Coin,MOG,249278024.96668583,6.4e-07,390567526433216.7,8861568.12,-0.20419492,-1.93719283,-20.76016374,20250301
176,0x Protocol,ZRX,245829532.01212344,0.28975781,848396562.8973439,27556478.23,-0.43412711,-2.94355681,-10.78129631,20250301
177,Popcat (SOL),POPCAT,244159868.2830463,0.24914954,979973184.6,36487400.96,-0.75318667,-11.58948546,-5.08013883,20250301
178,Holo,HOT,242569657.3148457,0.00138632,174973824809.00558,9737734.32,0.31982784,-1.33111281,-13.13096461,20250301
179,SPACE ID,ID,238397578.06864256,0.2654427,898113153.1744398,14021949.18,-0.11343867,-2.68057154,-13.75266808,20250301
180,Baby Doge Coin,BabyDoge,236422517.97373328,0.0,1.6371229694436266e+17,18173606.03,0.21159524,-1.13965985,-15.36960055,20250301
181,ORDI,ORDI,236889386.07256195,11.28044696,21000000.0,91911055.67,-1.09653455,-8.07831429,-14.1572644,20250301
182,Polyhedra Network,ZKJ,229859022.31165233,2.04313685,112502998.79,7888893.59,0.02485821,0.68300902,-0.41047364,20250301
183,Turbo,TURBO,230263835.1462034,0.00333716,69000000000.0,48349513.76,-0.53189224,-3.82025257,-12.72939811,20250301
184,Moca Network,MOCA,229552579.5946046,0.11989657,1914588399.72,25360847.19,-0.14050978,-1.9174367,-9.71909444,20250301
185,Peanut the Squirrel,PNUT,221133396.07885504,0.22116588,999853107.603574,486812160.3,-0.48180063,-15.29104866,0.44452259,20250301
186,Convex Finance,CVX,223112686.43078306,2.26443089,98529253.93798023,14261854.33,0.1517175,1.74002606,-17.01654721,20250301
187,Chia,XCH,221721860.58096883,15.88548935,13957509.0,5920418.47,-0.92950057,-5.49366636,15.64140253,20250301
188,Gas,GAS,221627530.63433924,3.41005665,64992331.0,5473589.43,-0.35323767,0.84464925,-14.72205896,20250301
189,Mask Network,MASK,219820702.56461045,2.19820703,100000000.0,27604667.34,-0.34280179,-0.84958575,-0.64443123,20250301
190,Celo,CELO,219637304.33175606,0.38855427,565268025.0,15561568.67,-0.32058428,-1.11770514,-12.22461812,20250301
191,STP,STPT,219514605.4542689,0.11301087,1942420283.027067,42269744.72,0.66990481,-4.64925282,12.64683886,20250301
192,ether.fi,ETHFI,214298917.12297177,0.92503309,231666217.0,52902637.06,-0.15019827,-2.48932639,-20.96648449,20250301
193,cat in a dogs world,MEW,212836400.25976133,0.00239441,88888888888.0,22279987.41,0.22794951,-4.19836835,-19.1582757,20250301
194,ZetaChain,ZETA,214474712.62377724,0.29314007,731645833.0,14907653.92,0.0740564,-1.54125137,-6.90096509,20250301
195,Osmosis,OSMO,212060642.2423002,0.29728745,713318515.010797,7694894.15,-0.05777952,-2.88643265,-12.70536197,20250301
196,SushiSwap,SUSHI,211062264.20236853,0.79039072,267035351.62667698,30149522.3,-0.53605251,-0.43869281,-12.58318543,20250301
197,Siacoin,SC,207153579.75013694,0.00369748,56025636522.075195,14912615.23,0.03262393,0.73721317,-11.33820218,20250301
198,Ankr,ANKR,206673015.1448583,0.0206673,10000000000.0,11480713.81,-0.21332061,-0.99355764,-13.72222113,20250301
199,Harmony,ONE,205715522.0437291,0.01422501,14461536115.262905,7346979.58,-0.50939997,-2.24456517,-14.98104481,20250301
200,WOO,WOO,202985020.780176,0.10885098,1864797402.2153265,9751211.1,-0.19968576,-2.41260392,-15.07652518,20250301
