rank,coin_name,coin_symbol,Data Points,Avg OI USD,Std OI USD,Min OI USD,Max OI USD
39,Virtuals Protocol,VIRTUAL,321,32283707.9056,15683722.2955,2319482.6988,81543950.495
40,Artificial Superintelligence Alliance,FET,1014,31667172.0845,22342760.3928,4946704.6496,163527386.841
41,Arbitrum,ARB,949,73229705.3194,38029887.1297,22788724.8965,257032160.6521
42,Ethena,ENA,573,158428516.3186,101871197.3981,25370068.476,456408619.975
43,MANTRA,OM,622,53872994.3529,72945614.4839,904246.0905,389049663.1485
44,Monero,XMR,1502,13221779.8494,6417760.2072,3377100.9862,60581311.453
45,Filecoin,FIL,1502,21675786.0519,15870115.7517,3085880.0,111309260.0
46,Algorand,ALGO,1322,1463421.6944,879642.7857,86350.0,4327570.0
47,Kaspa,KAS,710,10729922.5788,4698191.5785,2866423.24,36192266.1648
48,OKB,OKB,46,1672241.3284,906149.9758,408991.0938,3759969.848
49,Cosmos,ATOM,1404,3315508.312,1561435.0152,244800.0,10968330.0
50,Optimism,OP,1186,7314128.3052,4607520.1247,72450.0,22723460.0
51,Celestia,TIA,727,56767276.8904,23355498.2083,7914386.2217,161990709.5254
52,Stacks,STX,979,26367312.5119,17108285.0795,2557295.0478,100149841.6156
53,Bonk,BONK,658,7913047.8647,5444773.5488,1543967.9178,56441282.469
54,Injective,INJ,1167,31677859.4954,19291157.6603,1433592.6436,108963656.8383
56,Movement,MOVE,322,22063949.2168,12751259.5839,5666924.6074,79709041.8355
57,Immutable,IMX,1354,10979165.3991,7251502.8785,1001858.2218,48389837.5074
58,Theta Network,THETA,1502,1474458.0093,1158817.6196,246790.0,7418530.0
59,Fantom,FTM,95,22468473.0601,12148212.9095,7744597.2396,54393582.8592
60,The Graph,GRT,1502,12147012.1309,5679893.9542,4562787.7714,54868729.5859
61,Ondo,ONDO,646,58485255.4939,25076224.3919,4747899.0768,159432334.6305
62,dogwifhat,WIF,648,112225587.83,66192344.1651,2751798.8893,312729656.4773
63,Worldcoin,WLD,826,72343730.4341,37801149.0166,17340213.429,262206295.5304
