rank,coin_name,coin_symbol,Data Points,Avg OI USD,Std OI USD,Min OI USD,Max OI USD
1,Bitcoin,BTC,1502,1182666311.9174,769852044.015,296232200.0,3241583100.0
2,Ethereum,ETH,1502,527431427.3302,338009506.9432,133514800.0,1435404280.0
3,XRP,XRP,1502,53141616.8642,54162125.858,11473500.0,250087560.0
4,Tether USDt,USDT,64,14246003.5638,9064844.8567,2325245.348,41043441.1136
5,Solana,SOL,1502,73309865.7723,78229470.5403,1873330.0,309644580.0
6,BNB,BNB,1502,71307172.3901,35099343.4416,25256640.0,188428320.0
7,Dogecoin,DOGE,1502,57742339.5872,46568406.0815,7963100.0,245453020.0
8,USDC,USDC,961,7782811.8171,7396887.6942,1711954.5036,92765963.1016
9,Cardano,ADA,1502,30358264.221,20434457.0038,6955130.0,95537930.0
10,TRON,TRX,1502,4322290.0732,3027925.8451,1090550.0,18927430.0
11,Avalanche,AVAX,1434,5375957.6499,3527378.8417,719450.0,15694150.0
12,Sui,SUI,909,132824361.4905,112768749.4221,15210647.5072,544301332.2568
13,Chainlink,LINK,1502,10824222.7963,5741443.0907,4006400.0,38650040.0
14,Toncoin,TON,606,64367561.1582,27060125.4296,2216674.3536,142962172.7824
15,Shiba Inu,SHIB,1502,18007847.0828,12514547.1891,4605650.54,154920521.32
16,Stellar,XLM,1502,2316279.9467,1751238.3871,467490.0,8920680.0
17,Polkadot,DOT,1502,17942890.5326,15583939.5484,3763720.0,100558130.0
18,Hedera,HBAR,1502,19636907.0962,20997359.0089,2866220.4979,142378473.021
19,Bitcoin Cash,BCH,1502,7470669.5872,3910857.7588,1653550.0,20013280.0
20,Uniswap,UNI,1502,7384259.2876,5298021.11,1457130.0,25513190.0
21,Litecoin,LTC,1502,20017486.2983,8628794.4511,6326730.0,61295630.0
22,Pepe,PEPE,909,46190885.6655,28203395.8124,6398815.073,200983620.28
24,Hyperliquid,HYPE,151,140880665.124,63190754.3787,7996692.7958,272063439.2196
26,NEAR Protocol,NEAR,1413,4378816.4614,3183075.6622,251230.0,14701700.0
28,Internet Computer,ICP,1502,22870305.5804,18330718.282,1355583.708,117925911.8871
29,Aptos,APT,1099,4213086.333,2447102.1516,286820.0,10626050.0
30,Dai,DAI,3,0.0,0.0,0.0,0.0
31,Aave,AAVE,1399,2464834.4031,2022274.2632,100560.0,9094590.0
32,Mantle,MNT,757,30139278.2754,48896558.2206,848298.0032,379189878.847
33,POL (ex-MATIC),POL,410,23208581.2032,9505395.3866,7807341.382,65874534.7366
34,Render,RENDER,459,20941959.9183,11553994.2391,5732058.234,74191140.6145
35,Ethereum Classic,ETC,1502,10363018.6418,5748315.2039,1930330.0,27880910.0
36,Cronos,CRO,1435,6242560.9824,4169567.1727,2350595.1342,42592915.5985
37,Bittensor,TAO,565,46854235.7232,25411141.5033,4896470.0655,128692583.7744
38,VeChain,VET,1502,14793670.102,10034152.9844,5150195.323,73448433.0221
39,Virtuals Protocol,VIRTUAL,322,32336523.2446,15682924.8871,2319482.6988,81543950.495
40,Artificial Superintelligence Alliance,FET,1015,31662890.3144,22332071.5351,4946704.6496,163527386.841
41,Arbitrum,ARB,950,73195358.481,38024518.5684,22788724.8965,257032160.6521
42,Ethena,ENA,574,158598102.5751,101858320.5473,25370068.476,456408619.975
43,MANTRA,OM,623,53815049.4605,72901288.3879,904246.0905,389049663.1485
44,Monero,XMR,1502,13223353.572,6418077.8476,3377100.9862,60581311.453
45,Filecoin,FIL,1502,21631403.5486,15830232.5555,2809570.0,111309260.0
46,Algorand,ALGO,1323,1462893.0461,879520.1598,86350.0,4327570.0
47,Kaspa,KAS,711,10720026.1706,4702257.7196,2866423.24,36192266.1648
48,OKB,OKB,47,1661608.5056,899767.5103,408991.0938,3759969.848
49,Cosmos,ATOM,1405,3313810.306,1562175.9794,244800.0,10968330.0
50,Optimism,OP,1187,7309431.8029,4608418.725,72450.0,22723460.0
