date,symbol,open,high,low,close,volume
2025-07-17,BTC/USD,118681.67,120998.76,117469.0,119273.69,8360.35130892
2025-07-17,BTC/USDC,118681.67,120998.76,117469.0,119273.69,8360.35130892
2025-07-17,ETH/USD,3373.2,3526.73,3311.01,3479.77,274593.74925785
2025-07-17,ETH/USDC,3373.2,3526.73,3311.01,3479.77,274593.74925785
2025-07-17,SOL/USD,173.71,178.23,168.8,175.99,1258544.12821487
2025-07-17,SOL/USDC,173.71,178.23,168.8,175.99,1258544.12821487
2025-07-17,SUI/USD,3.9444,4.083,3.8642,4.0101,21586184.9
2025-07-17,SUI/USDC,3.9444,4.083,3.8642,4.0101,21586184.9
2025-07-17,XRP/USD,3.0394,3.5526,2.9869,3.4846,334273233.517024
2025-07-17,XRP/USDC,3.0394,3.5526,2.9869,3.4846,334273233.517024
2025-07-18,BTC/USD,119273.7,120918.68,116892.42,118023.05,8735.40386401
2025-07-18,BTC/USDC,119273.7,120918.68,116892.42,118023.05,8735.40386401
2025-07-18,ETH/USD,3479.78,3677.4,3461.68,3549.67,337824.83515568
2025-07-18,ETH/USDC,3479.78,3677.4,3461.68,3549.67,337824.83515568
2025-07-18,SOL/USD,175.99,184.79,173.3,177.34,1775828.85334452
2025-07-18,SOL/USDC,175.99,184.79,173.3,177.34,1775828.85334452
2025-07-18,SUI/USD,4.0101,4.248,3.6545,3.7832,44082750.4
2025-07-18,SUI/USDC,4.0101,4.248,3.6545,3.7832,44082750.4
2025-07-18,XRP/USD,3.4844,3.6662,3.3443,3.4158,323801230.743658
2025-07-18,XRP/USDC,3.4844,3.6662,3.3443,3.4158,323801230.743658
2025-07-19,BTC/USD,118023.06,118564.59,117337.59,117914.17,1700.0997198
2025-07-19,BTC/USDC,118023.06,118564.59,117337.59,117914.17,1700.0997198
2025-07-19,ETH/USD,3549.66,3610.85,3508.66,3594.3,83316.75149516
2025-07-19,ETH/USDC,3549.66,3610.85,3508.66,3594.3,83316.75149516
2025-07-19,SOL/USD,177.35,178.74,174.09,177.04,1127757.09443359
2025-07-19,SOL/USDC,177.35,178.74,174.09,177.04,1127757.09443359
2025-07-19,SUI/USD,3.7841,3.8565,3.6923,3.8364,11712918.0
2025-07-19,SUI/USDC,3.7841,3.8565,3.6923,3.8364,11712918.0
2025-07-19,XRP/USD,3.4156,3.4875,3.3553,3.4267,88880645.645518
2025-07-19,XRP/USDC,3.4156,3.4875,3.3553,3.4267,88880645.645518
2025-07-20,BTC/USD,117914.17,118921.76,116525.0,117312.7,2504.59032125
2025-07-20,BTC/USDC,117914.17,118921.76,116525.0,117312.7,2504.59032125
2025-07-20,ETH/USD,3594.31,3825.36,3581.22,3758.6,146787.12978622
2025-07-20,ETH/USDC,3594.31,3825.36,3581.22,3758.6,146787.12978622
2025-07-20,SOL/USD,177.05,183.72,176.4,181.52,1257378.40027461
2025-07-20,SOL/USDC,177.05,183.72,176.4,181.52,1257378.40027461
2025-07-20,SUI/USD,3.8367,4.0356,3.8106,3.8928,21279127.4
2025-07-20,SUI/USDC,3.8367,4.0356,3.8106,3.8928,21279127.4
2025-07-20,XRP/USD,3.4267,3.5593,3.387,3.4555,107551014.284906
2025-07-20,XRP/USDC,3.4267,3.5593,3.387,3.4555,107551014.284906
2025-07-21,BTC/USD,117315.68,119745.93,116565.01,117428.79,5450.55450292
2025-07-21,BTC/USDC,117315.68,119745.93,116565.01,117428.79,5450.55450292
2025-07-21,ETH/USD,3758.66,3860.8,3703.76,3763.75,221705.85764009
2025-07-21,ETH/USDC,3758.66,3860.8,3703.76,3763.75,221705.85764009
2025-07-21,SOL/USD,181.54,199.48,178.36,195.83,2384494.51580579
2025-07-21,SOL/USDC,181.54,199.48,178.36,195.83,2384494.51580579
2025-07-21,SUI/USD,3.8925,4.0971,3.8378,3.9621,20223329.1
2025-07-21,SUI/USDC,3.8925,4.0971,3.8378,3.9621,20223329.1
2025-07-21,XRP/USD,3.456,3.6531,3.41,3.5512,157102534.100518
2025-07-21,XRP/USDC,3.456,3.6531,3.41,3.5512,157102534.100518
2025-07-22,BTC/USD,117428.79,120300.0,116185.0,120026.42,7564.58852928
2025-07-22,BTC/USDC,117428.79,120300.0,116185.0,120026.42,7564.58852928
2025-07-22,ETH/USD,3763.75,3801.63,3617.47,3748.62,225021.75942135
2025-07-22,ETH/USDC,3763.75,3801.63,3617.47,3748.62,225021.75942135
2025-07-22,SOL/USD,195.83,206.42,193.82,205.8,2443481.34728866
2025-07-22,SOL/USDC,195.83,206.42,193.82,205.8,2443481.34728866
2025-07-22,SUI/USD,3.962,4.0358,3.8026,4.0094,19061640.7
2025-07-22,SUI/USDC,3.962,4.0358,3.8026,4.0094,19061640.7
2025-07-22,XRP/USD,3.5509,3.5807,3.4238,3.5521,129973984.520095
2025-07-22,XRP/USDC,3.5509,3.5807,3.4238,3.5521,129973984.520095
2025-07-23,BTC/USD,120034.21,120180.93,117342.21,118810.44,5526.13819924
2025-07-23,BTC/USDC,120034.21,120180.93,117342.21,118810.44,5526.13819924
2025-07-23,ETH/USD,3748.62,3766.79,3528.43,3630.34,211546.24270422
2025-07-23,ETH/USDC,3748.62,3766.79,3528.43,3630.34,211546.24270422
2025-07-23,SOL/USD,205.8,205.88,184.06,189.49,1641105.21441823
2025-07-23,SOL/USDC,205.8,205.88,184.06,189.49,1641105.21441823
2025-07-23,SUI/USD,4.0108,4.0263,3.5869,3.7192,20519863.6
2025-07-23,SUI/USDC,4.0108,4.0263,3.5869,3.7192,20519863.6
2025-07-23,XRP/USD,3.5523,3.5542,3.05,3.1861,234361473.114926
2025-07-23,XRP/USDC,3.5523,3.5542,3.05,3.1861,234361473.114926
2025-07-24,BTC/USD,118810.44,119557.7,117190.0,118397.04,7137.01277011
2025-07-24,BTC/USDC,118810.44,119557.7,117190.0,118397.04,7137.01277011
2025-07-24,ETH/USD,3630.41,3775.0,3507.78,3708.6,224420.86882496
2025-07-24,ETH/USDC,3630.41,3775.0,3507.78,3708.6,224420.86882496
2025-07-24,SOL/USD,189.5,192.06,179.29,182.96,1529998.30109404
2025-07-24,SOL/USDC,189.5,192.06,179.29,182.96,1529998.30109404
2025-07-24,SUI/USD,3.7196,3.8742,3.519,3.7218,19054801.4
2025-07-24,SUI/USDC,3.7196,3.8742,3.519,3.7218,19054801.4
2025-07-24,XRP/USD,3.1861,3.2682,2.96,3.1468,200683653.410367
2025-07-24,XRP/USDC,3.1861,3.2682,2.96,3.1468,200683653.410367
2025-07-25,BTC/USD,118400.0,118518.2,114750.0,117633.27,24633.33644271
2025-07-25,BTC/USDC,118400.0,118518.2,114750.0,117633.27,24633.33644271
2025-07-25,ETH/USD,3708.88,3747.76,3574.39,3725.84,217042.92308788
2025-07-25,ETH/USDC,3708.88,3747.76,3574.39,3725.84,217042.92308788
2025-07-25,SOL/USD,182.97,186.99,175.73,186.81,1877813.62899416
2025-07-25,SOL/USDC,182.97,186.99,175.73,186.81,1877813.62899416
2025-07-25,SUI/USD,3.7214,4.004,3.5901,3.9501,24879235.6
2025-07-25,SUI/USDC,3.7214,4.004,3.5901,3.9501,24879235.6
2025-07-25,XRP/USD,3.1475,3.1637,3.0,3.1428,146506250.497387
2025-07-25,XRP/USDC,3.1475,3.1637,3.0,3.1428,146506250.497387
2025-07-26,BTC/USD,117633.27,118371.35,117095.73,117969.63,6974.42930567
2025-07-26,BTC/USDC,117633.27,118371.35,117095.73,117969.63,6974.42930567
2025-07-26,ETH/USD,3725.84,3795.0,3699.02,3743.06,72302.973587
2025-07-26,ETH/USDC,3725.84,3795.0,3699.02,3743.06,72302.973587
2025-07-26,SOL/USD,186.8,189.8,184.37,184.94,510226.46891446
2025-07-26,SOL/USDC,186.8,189.8,184.37,184.94,510226.46891446
2025-07-26,SUI/USD,3.9506,4.3468,3.935,4.16,31097043.1
2025-07-26,SUI/USDC,3.9506,4.3468,3.935,4.16,31097043.1
2025-07-26,XRP/USD,3.1428,3.22,3.1076,3.1672,51469242.572805
2025-07-26,XRP/USDC,3.1428,3.22,3.1076,3.1672,51469242.572805
2025-07-27,BTC/USD,117981.73,119800.0,117849.99,119465.52,4999.42180703
2025-07-27,BTC/USDC,117981.73,119800.0,117849.99,119465.52,4999.42180703
2025-07-27,ETH/USD,3743.05,3880.23,3731.71,3873.92,77968.55076879
2025-07-27,ETH/USDC,3743.05,3880.23,3731.71,3873.92,77968.55076879
2025-07-27,SOL/USD,184.92,190.76,184.57,188.71,577361.938791
2025-07-27,SOL/USDC,184.92,190.76,184.57,188.71,577361.938791
2025-07-27,SUI/USD,4.1603,4.4304,4.12,4.3269,30337776.7
2025-07-27,SUI/USDC,4.1603,4.4304,4.12,4.3269,30337776.7
2025-07-27,XRP/USD,3.1671,3.2528,3.157,3.24,57253489.705958
2025-07-27,XRP/USDC,3.1671,3.2528,3.157,3.24,57253489.705958
2025-07-28,BTC/USD,119465.52,119839.0,117380.6,118070.59,7647.38438521
2025-07-28,BTC/USDC,119465.52,119839.0,117380.6,118070.59,7647.38438521
2025-07-28,ETH/USD,3873.92,3941.86,3753.15,3799.46,199027.60346952
2025-07-28,ETH/USDC,3873.92,3941.86,3753.15,3799.46,199027.60346952
2025-07-28,SOL/USD,188.72,195.37,182.2,183.13,1190963.25586955
2025-07-28,SOL/USDC,188.72,195.37,182.2,183.13,1190963.25586955
2025-07-28,SUI/USD,4.3271,4.4444,3.8823,3.9097,24975103.9
2025-07-28,SUI/USDC,4.3271,4.4444,3.8823,3.9097,24975103.9
2025-07-28,XRP/USD,3.2402,3.3319,3.1076,3.1239,117107467.904215
2025-07-28,XRP/USDC,3.2402,3.3319,3.1076,3.1239,117107467.904215
2025-07-29,BTC/USD,118074.43,119284.78,116900.0,117933.39,6070.86335715
2025-07-29,BTC/USDC,118074.43,119284.78,116900.0,117933.39,6070.86335715
2025-07-29,ETH/USD,3799.44,3886.01,3715.14,3793.4,138313.68335934
2025-07-29,ETH/USDC,3799.44,3886.01,3715.14,3793.4,138313.68335934
2025-07-29,SOL/USD,183.1,186.7,178.19,181.46,784932.67806052
2025-07-29,SOL/USDC,183.1,186.7,178.19,181.46,784932.67806052
