coin_symbol,symbol,date,timestamp,oi_open,oi_high,oi_low,oi_close
1000BONK,1000BONKUSDT_PERP.A,2025-10-24,1761264000,24537187.88793,24912360.864324,23998943.562174,24791723.98542
1000BONK,1000BONKUSDT_PERP.A,2025-10-25,1761350400,24778442.22489,25413096.525078,24599502.359565,25342391.337326
1000BONK,1000BONKUSDT_PERP.A,2025-10-26,1761436800,26143448.834706,26800105.396479,25674426.160941,26254470.353907
1000BONK,1000BONKUSDT_PERP.A,2025-10-27,1761523200,26455809.820607997,26468390.401823997,26047915.145951997,26239876.919423997
1000CAT,1000CATUSDT_PERP.A,2025-10-21,1761004800,1415539.504462,1508438.317946,1400682.454112,1416815.413528
1000CAT,1000CATUSDT_PERP.A,2025-10-22,1761091200,1378315.272495,1394940.006758,1254912.120109,1310543.298756
1000CAT,1000CATUSDT_PERP.A,2025-10-23,1761177600,1357713.8726400002,1357713.8726400002,1231058.78624,1231104.6400000001
1000CAT,1000CATUSDT_PERP.A,2025-10-24,1761264000,1246267.142,1247610.888549,1147393.450712,1181500.3833579998
1000CAT,1000CATUSDT_PERP.A,2025-10-25,1761350400,1188794.919954,1208991.172329,1149287.340609,1203671.180655
1000CAT,1000CATUSDT_PERP.A,2025-10-26,1761436800,1245585.816454,1282751.6663620002,1206525.934602,1254119.642644
1000CAT,1000CATUSDT_PERP.A,2025-10-27,1761523200,1260449.70408,1277641.937547,1240222.081224,1260971.687805
1000CHEEMS,1000CHEEMSUSDT_PERP.A,2025-10-21,1761004800,17126931.7595232,17160835.4191495,17026366.782494202,17106467.5727512
1000CHEEMS,1000CHEEMSUSDT_PERP.A,2025-10-22,1761091200,16625695.001500301,16650920.9518672,16470164.822949901,16473990.923489701
1000CHEEMS,1000CHEEMSUSDT_PERP.A,2025-10-23,1761177600,16018835.378832,16266195.3588192,15969420.610876799,16132790.133187199
1000CHEEMS,1000CHEEMSUSDT_PERP.A,2025-10-24,1761264000,16133987.3492652,16258019.7367903,16106364.1599437,16174206.1444716
1000CHEEMS,1000CHEEMSUSDT_PERP.A,2025-10-25,1761350400,16423922.4098328,16623437.8718316,16224532.890060598,16318337.756306399
1000CHEEMS,1000CHEEMSUSDT_PERP.A,2025-10-26,1761436800,16533976.656608,16566561.5482728,16201382.033504,16217503.5974008
1000CHEEMS,1000CHEEMSUSDT_PERP.A,2025-10-27,1761523200,17834816.6760388,25610569.6865054,16843280.1193742,16875620.2417117
1000FLOKI,1000FLOKIUSDT.6,2025-10-21,1761004800,15690868.58592,17340402.29616,13977956.596320001,15323787.852480002
1000FLOKI,1000FLOKIUSDT.6,2025-10-22,1761091200,14777105.878439998,15072889.857639998,14146946.11908,14167989.998799998
1000FLOKI,1000FLOKIUSDT.6,2025-10-23,1761177600,14614115.637,16013868.690750001,12617838.986100001,12617838.986100001
1000FLOKI,1000FLOKIUSDT.6,2025-10-24,1761264000,12833749.9886,12839713.975300001,11061117.6776,11171810.263400001
1000FLOKI,1000FLOKIUSDT.6,2025-10-25,1761350400,11012427.77512,11012427.77512,9843443.25624,9843443.25624
1000FLOKI,1000FLOKIUSDT.6,2025-10-26,1761436800,10128370.88736,10325264.411519999,9787820.70528,9946487.568
1000FLOKI,1000FLOKIUSDT.6,2025-10-27,1761523200,9958366.335,9972539.7684,9583379.5332,9642466.91805
1000LUNC,1000LUNCUSDT_PERP.A,2025-10-21,1761004800,4456318.75056,4877350.28496,4356153.50976,4380828.93936
1000LUNC,1000LUNCUSDT_PERP.A,2025-10-22,1761091200,4269159.05746,5233083.8556,4188438.87759,4216832.54181
1000LUNC,1000LUNCUSDT_PERP.A,2025-10-23,1761177600,4333206.97705,4383099.83154,4207499.54861,4250452.5823800005
1000LUNC,1000LUNCUSDT_PERP.A,2025-10-24,1761264000,4373418.59856,4389074.42072,4153095.9107,4187822.7655
1000LUNC,1000LUNCUSDT_PERP.A,2025-10-25,1761350400,4234273.1702499995,4317942.47848,4063078.11531,4143727.20069
1000LUNC,1000LUNCUSDT_PERP.A,2025-10-26,1761436800,4239097.99236,4263647.08512,4177354.69672,4262217.90712
1000LUNC,1000LUNCUSDT_PERP.A,2025-10-27,1761523200,4264010.261159999,4265889.290519999,4196737.94592,4206043.6899
1000NEIROCTO,1000NEIROCTOUSDT.6,2025-10-21,1761004800,1458018.6380999999,1645705.8279,1455479.3691,1486100.9412
1000NEIROCTO,1000NEIROCTOUSDT.6,2025-10-22,1761091200,1411915.548,1568954.9039999999,1386688.092,1456238.118
1000NEIROCTO,1000NEIROCTOUSDT.6,2025-10-23,1761177600,1536865.9912,1594038.9331999999,1437920.2728,1512761.1324
