rank,coin_name,coin_symbol,Data Points,Avg OI USD,Std OI USD,Min OI USD,Max OI USD
1,Bitcoin,BTC,1502,1182666313.9148,769852047.3445,296232200.0,3241583100.0
2,Ethereum,ETH,1502,527431535.0732,338009638.7314,133514800.0,1435404280.0
3,XRP,XRP,1502,53141601.7377,54162120.3411,11473500.0,250087560.0
4,Tether USDt,USDT,64,14245736.8509,9065092.2136,2325245.348,41043441.1136
5,Solana,SOL,1502,73309868.2423,78229473.3848,1873330.0,309644580.0
6,BNB,BNB,1502,71307285.8921,35099428.6949,25256640.0,188428320.0
7,Dogecoin,DOGE,1502,57742331.7843,46568407.0689,7963100.0,245453020.0
8,USDC,USDC,961,7782802.6771,7396890.5724,1711954.5036,92765963.1016
9,Cardano,ADA,1502,30358269.241,20434453.1303,6955130.0,95537930.0
10,TRON,TRX,1502,4322290.3462,3027926.1759,1090550.0,18927430.0
11,Avalanche,AVAX,1434,5375957.5732,3527378.8378,719450.0,15694150.0
12,Sui,SUI,909,132824071.9459,112768685.8079,15210647.5072,544301332.2568
13,Chainlink,LINK,1502,10824226.0186,5741441.5739,4006400.0,38650040.0
14,Toncoin,TON,606,64367494.8804,27060214.4545,2216674.3536,142962172.7824
15,Shiba Inu,SHIB,1502,18007834.1701,12514555.9701,4605650.54,154920521.32
16,Stellar,XLM,1502,2316280.526,1751238.2011,467490.0,8920680.0
17,Polkadot,DOT,1502,17942885.02,15583944.488,3763720.0,100558130.0
18,Hedera,HBAR,1502,19636865.023,20997342.6246,2866220.4979,142378473.021
19,Bitcoin Cash,BCH,1502,7470677.8029,3910866.2158,1653550.0,20013280.0
20,Uniswap,UNI,1502,7384258.6418,5298021.403,1457130.0,25513190.0
21,Litecoin,LTC,1502,20017488.4021,8628792.5798,6326730.0,61295630.0
22,Pepe,PEPE,909,46190877.4228,28203397.2542,6398815.073,200983620.28
24,Hyperliquid,HYPE,151,140881335.4425,63191556.2097,7996692.7958,272063439.2196
26,NEAR Protocol,NEAR,1413,4378815.1309,3183076.4844,251230.0,14701700.0
28,Internet Computer,ICP,1502,22870314.9045,18330714.2074,1355583.708,117925911.8871
29,Aptos,APT,1099,4213087.9982,2447100.4732,286820.0,10626050.0
30,Dai,DAI,3,0.0,0.0,0.0,0.0
31,Aave,AAVE,1399,2464835.0393,2022274.2589,100560.0,9094590.0
32,Mantle,MNT,757,30138968.7561,48895758.8927,848298.0032,379189878.847
33,POL (ex-MATIC),POL,410,23208540.6911,9505414.8399,7807341.382,65874534.7366
34,Render,RENDER,459,20941931.246,11554021.1596,5732058.234,74191140.6145
35,Ethereum Classic,ETC,1502,10363021.1651,5748312.1018,1930330.0,27880910.0
36,Cronos,CRO,1435,6242534.5596,4169551.3327,2350595.1342,42592915.5985
37,Bittensor,TAO,565,46854142.3203,25411088.0693,4896470.0655,128692583.7744
38,VeChain,VET,1502,14793668.969,10034153.5568,5150195.323,73448433.0221
39,Virtuals Protocol,VIRTUAL,322,32336321.3827,15682793.6757,2319482.6988,81543950.495
40,Artificial Superintelligence Alliance,FET,1015,31662903.8799,22332069.4179,4946704.6496,163527386.841
41,Arbitrum,ARB,950,73195367.2746,38024510.6154,22788724.8965,257032160.6521
42,Ethena,ENA,574,158597993.827,101858233.621,25370068.476,456408619.975
43,MANTRA,OM,623,53815058.3624,72901284.0363,904246.0905,389049663.1485
44,Monero,XMR,1502,13223357.9806,6418079.3375,3377100.9862,60581311.453
45,Filecoin,FIL,1502,21631403.8615,15830232.1832,2810040.0,111309260.0
46,Algorand,ALGO,1323,1462893.0537,879520.1537,86350.0,4327570.0
47,Kaspa,KAS,711,10720020.0191,4702266.5221,2866423.24,36192266.1648
48,OKB,OKB,47,1661608.5056,899767.5103,408991.0938,3759969.848
49,Cosmos,ATOM,1405,3313810.5907,1562175.5461,244800.0,10968330.0
50,Optimism,OP,1187,7309432.3168,4608418.1064,72450.0,22723460.0
