protocol,slug,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,timestamp
Plasma Saving Vaults,plasma-saving-vaults,-,Onchain Capital Allocator,Plasma,655273749.3466902,-0.012006790641663656,-1.024688548499725,3.21756044019466,,2025-11-03T01:15:59.406141
Lorenzo enzoBTC,lorenzo-enzobtc,-,Bridge,Bitcoin,647284041.9132415,0.46156755196220445,0.22323846323703833,-3.080043332810604,,2025-11-03T01:15:59.406142
Re7 Labs,re7-labs,-,Risk Curators,"Linea,Ethereum,Avalanche,Plume Mainnet,World Chain,Plasma,Base,TAC,Starknet,Binance,Sonic,Polygon,Unichain,Berachain,BOB",644455084.8392758,-0.9292916949077039,-11.766797480078864,-14.011680615960259,,2025-11-03T01:15:59.406144
WisdomTree,wisdomtree,-,RWA,"Ethereum,Stellar",636860067.617019,0.0,0.0,1.6413061253884251,,2025-11-03T01:15:59.406145
Meteora DLMM,meteora-dlmm,-,Dexs,Solana,623731528.8101896,0.4880886041177348,-0.3477431677915064,-10.26079325819967,,2025-11-03T01:15:59.406146
Bedrock uniBTC,bedrock-unibtc,-,Anchor BTC,"Bitcoin,Ethereum,Mode,BOB,Binance,Mantle,BSquared,Merlin,Berachain,Arbitrum,Bitlayer,ZetaChain,Base,Optimism,Hemi,RSK,TAC,Taiko",615864476.1920259,-0.025578432078859237,-0.2295166132162052,36.17894865656589,,2025-11-03T01:15:59.406148
Euler DAO,euler-dao,EUL,Risk Curators,"Ethereum,Arbitrum,Linea,Swellchain,Unichain,Base",605481792.4305978,1.165772201162227,0.373144112932124,-7.717064394814187,,2025-11-03T01:15:59.406149
Avalon USDa,avalon-usda,-,CDP,"Binance,Ethereum,Klaytn,Berachain,Sonic,Mantle",605201755.8862902,1.4656378895030002,1.1061826900028677,-3.8088917433431817,,2025-11-03T01:15:59.406151
USD AI,usd-ai,-,RWA Lending,Arbitrum,580494710.8277696,-0.6712086325438946,-0.25091636559338326,-0.46456319786801714,,2025-11-03T01:15:59.406152
Hyperliquid HLP,hyperliquid-hlp,HYPE,Derivatives,Hyperliquid L1,576785870.755232,0.10484255724696823,0.12451345975421191,-0.601625436022303,,2025-11-03T01:15:59.406153
CIAN Yield Layer,cian-yield-layer,-,Yield Aggregator,"Ethereum,Arbitrum,Optimism,Base,Binance,Scroll",575057431.6898106,-0.1677015480255193,-0.5556744904703521,-5.640240281738386,,2025-11-03T01:15:59.406155
PancakeSwap AMM V3,pancakeswap-amm-v3,CAKE,Dexs,"Binance,Solana,Base,Ethereum,Arbitrum,Linea,zkSync Era,Polygon zkEVM,Op_Bnb",564741839.2266322,0.2983182729928444,0.3377363249702512,-1.856546077882328,,2025-11-03T01:15:59.406156
Free Protocol,free-protocol,-,Bridge,"Merlin,Binance,Ethereum,Arbitrum,Hemi,Manta,Kroma,Polygon",550519242.2239311,0.04584273194360833,-0.6868891757456765,-3.2385984856869783,,2025-11-03T01:15:59.406157
Coinbase Wrapped Staked ETH,coinbase-wrapped-staked-eth,-,Liquid Staking,Ethereum,544959152.4288715,0.9168052324572784,1.083536567734697,-3.5741460385149537,,2025-11-03T01:15:59.406158
Superstate USTB,superstate-ustb,-,RWA,"Ethereum,Plume Mainnet,Solana",534105289.6444655,-1.0270295263126172e-05,-0.011935714231682937,3.6617863799606027,,2025-11-03T01:15:59.406160
Core Bitcoin Bridge,core-bitcoin-bridge,-,Bridge,Bitcoin,527306282.79578596,0.2373710178004984,0.324964816574564,-3.165658143580174,,2025-11-03T01:15:59.406161
HyperLend Pooled,hyperlend-pooled,-,Lending,Hyperliquid L1,526347493.8218888,1.6289427698804104,-1.2514860206629521,-11.721594551733943,,2025-11-03T01:15:59.406162
Zircuit Staking,zircuit-staking,-,Farm,"Ethereum,Zircuit",525321876.89266676,1.1480583388306655,-8.643572455434821,-14.476726267462837,,2025-11-03T01:15:59.406164
Yearn Finance,yearn-finance,YFI,Yield Aggregator,"Katana,Ethereum,Optimism,Base,Polygon,Arbitrum,Fantom",518910096.3324462,0.2524876151989588,0.08930344296231851,-4.4985078455732435,,2025-11-03T01:15:59.406165
Phemex,phemex,PT,CEX,"Ethereum,Bitcoin,Ripple,Solana,Binance,Tron,Avalanche,Arbitrum,Polkadot,Optimism,Base,Polygon,zkSync Era,Linea,Sui,Fantom",506754975.2197414,0.1492203363261808,0.0031391305945049908,-3.550777059621012,0.0,2025-11-03T01:15:59.406167
River Omni-CDP,river-omni-cdp,-,CDP,"Hemi,BOB,Binance,Ethereum,Base,BSquared,Bitcoin,BEVM,Arbitrum,Sonic,Bitlayer,X Layer",497489747.07421905,0.30248436999775663,-1.7187104538717506,-14.7089074442884,,2025-11-03T01:15:59.406168
Spiko,spiko,-,RWA,"Arbitrum,Polygon,Ethereum,Starknet,Base,Etherlink",497303928.4788046,0.019703202864704394,-0.3726454338613223,-3.7095124070829115,,2025-11-03T01:15:59.406169
Suilend,suilend,SEND,Lending,Sui,493342092.4870518,-0.1023594791725344,-1.7066213880881378,-10.033803484477176,,2025-11-03T01:15:59.406171
Compound V2,compound-v2,COMP,Lending,Ethereum,492657225.87416315,0.6875838931359937,0.7101457756407399,-3.3725222981521767,,2025-11-03T01:15:59.406172
Quickswap Dex,quickswap-dex,QUICK,Dexs,"Polygon,Base",491262615.84357125,0.051090012693876474,0.25059781025569805,-0.3963775338097406,13316545.248492386,2025-11-03T01:15:59.406173
Stacks sBTC,stacks-sbtc,-,Bridge,Bitcoin,485883173.50588524,0.2373878816617463,0.4637817284639709,-3.3897701962522717,,2025-11-03T01:15:59.406174
GMX V2 Perps,gmx-v2-perps,GMX,Derivatives,"Arbitrum,Avalanche,Botanix,Solana",475671436.7924063,0.4388633362494687,1.7394361795118698,-3.8415096370786586,,2025-11-03T01:15:59.406176
Nexus BTC,nexus-btc,-,Bridge,Bitcoin,466658259.2597748,0.46156755196220445,0.13177181788172732,-7.509699277187636,,2025-11-03T01:15:59.406177
Lightning Network,lightning-network,-,Payments,Bitcoin,454969286.32913274,0.3016377539437798,1.1712504125639782,-4.0135384919184105,,2025-11-03T01:15:59.406178
edgeX Bridge,edgex-bridge,-,Bridge,"Ethereum,Arbitrum,Binance",454621284.39816177,-0.0006033065849919694,1.6268804458234598,11.802360393128566,,2025-11-03T01:15:59.406179
Balancer V2,balancer-v2,BAL,Dexs,"Ethereum,xDai,Arbitrum,Polygon,Base,Avalanche,Fraxtal,Polygon zkEVM,Mode",442962502.24018127,0.5607659976213597,0.3091288768090976,-7.283719865544114,,2025-11-03T01:15:59.406181
Polygon zkEVM Bridge,polygon-zkevm-bridge,-,Canonical Bridge,Ethereum,441496525.26407397,0.38532519090274775,0.34137344518845225,43.64989592975789,,2025-11-03T01:15:59.406182
Reserve Protocol,reserve-protocol,RSR,Indexes,"Ethereum,Base,Arbitrum,Binance",439353352.6355838,1.2290773028302908,0.7731136402223484,-6.264197697137092,333089878.4925312,2025-11-03T01:15:59.406183
Nexo,nexo,NEXO,CEX,"Ethereum,Avalanche,Polygon,Binance,Arbitrum,Optimism,Fantom",436513599.63753706,0.12291381295266035,-0.7460553199565823,-3.5354440913183396,1128547792.746625,2025-11-03T01:15:59.406184
Benqi Staked Avax,benqi-staked-avax,QI,Liquid Staking,Avalanche,435710814.0590898,2.0257449637928175,-0.05066427640093707,-10.921368413195495,,2025-11-03T01:15:59.406186
Orca DEX,orca-dex,ORCA,Dexs,"Solana,Eclipse",431171673.9286781,0.1910841524146889,-0.4072784320688072,-5.532519177656596,,2025-11-03T01:15:59.406187
Treehouse Protocol,treehouse-protocol,TREE,DOR,"Ethereum,Mantle,Avalanche",423896171.0379288,0.7164738908039823,0.5468933174116444,-6.257740815134127,26040529.320013423,2025-11-03T01:15:59.406188
UniRouter,unirouter,URO,Bridge,BSquared,419020552.0042582,0.08508040869187994,0.2876493700716196,-3.7245936279339276,43560.27468921087,2025-11-03T01:15:59.406189
Mantle Restaking,mantle-restaking,-,Liquid Restaking,Ethereum,413408404.1323602,-0.3157567510240682,-0.5150518928346628,-10.694082130686922,,2025-11-03T01:15:59.406191
Buzz Farming,buzz-farming,-,Farm,BSquared,405779056.3779036,0.23735173308642743,0.20061150962278873,-4.000895650186692,,2025-11-03T01:15:59.406192
UltraYield by Edge,ultrayield-by-edge,-,Risk Curators,"Ethereum,Hyperliquid L1,TAC,Etherlink,Base,Plume Mainnet",404206734.395063,0.19258426297419362,0.8183360628296157,-0.2949180032754839,,2025-11-03T01:15:59.406193
Hyperbeat Earn,hyperbeat-earn,-,Yield Aggregator,Hyperliquid L1,403683017.9130796,0.32239706863936135,-0.7290555062133564,1.9591214361700509,,2025-11-03T01:15:59.406194
Aster asBNB,aster-asbnb,ASTER,Yield,Binance,402226901.5306661,-0.024372974498305666,-1.6129299645630653,-13.208033657600936,,2025-11-03T01:15:59.406196
Aura,aura,AURA,Yield,"Ethereum,Base,Arbitrum,xDai,Polygon,Optimism,Avalanche,Fraxtal,Polygon zkEVM",399072815.63476133,0.33685493720683723,0.1584861462897038,-0.704042875177052,5528265.557792367,2025-11-03T01:15:59.406197
Superstate USCC,superstate-uscc,-,Basis Trading,"Ethereum,Plume Mainnet,Solana",395960898.51736563,0.0,-0.8348337084862862,-5.848585681178903,,2025-11-03T01:15:59.406198
Defi Saver,defi-saver,-,CDP Manager,"Ethereum,Arbitrum,Base,Optimism",390459067.5551759,,,,,2025-11-03T01:15:59.406200
Connext,connext,NEXT,Bridge,"Ethereum,Arbitrum,Linea,Binance,Optimism,Polygon,xDai,Metis,Base,Mode,Milkomeda,Moonriver,Fantom,Moonbeam,Fuse,Cronos,Boba,Evmos,Harmony,Avalanche",390118813.7532773,-0.2997795108281309,-0.5597667924056964,-8.121402417525175,,2025-11-03T01:15:59.406201
NAVI Lending,navi-lending,NAVX,Lending,Sui,388271300.00978225,-0.30539083171269965,-1.047685715738254,-9.5427844717275,,2025-11-03T01:15:59.406203
Kinetiq Earn,kinetiq-earn,-,Yield Aggregator,Hyperliquid L1,384819122.94374144,0.9995178834696077,-2.3538837737837923,-12.356120302038349,,2025-11-03T01:15:59.406204
Pell Network,pell-network,-,Restaking,"Plume Mainnet,Goat,BOB,CORE,Arbitrum,ZetaChain,Binance,Bitlayer,IoTeX,BSquared,Ethereum,Merlin,RSK,Mantle,Base,BEVM,Scroll,AILayer,Hemi,HashKey Chain,BounceBit",384587641.70138544,0.18049705884072864,0.16725735223712945,-15.700506126423079,,2025-11-03T01:15:59.406206
Resolv,resolv,RESOLV,Basis Trading,Ethereum,383461193.5750645,0.014254876348871903,0.5159980238124433,-2.3318037571361856,16482010.961793719,2025-11-03T01:15:59.406207
B2 Buzz,b2-buzz,-,Canonical Bridge,"Bitcoin,Ethereum,Polygon,Binance",382793642.86158323,0.25593000863399595,-12.114009852607865,-13.455909131580029,,2025-11-03T01:15:59.406208
xDAI Stake Bridge,xdai-stake-bridge,STAKE,Canonical Bridge,Ethereum,382461699.3161506,0.20585514460510979,0.22094859306119474,-7.539830500750796,132671.93065507867,2025-11-03T01:15:59.406209
BitFi Basis,bitfi-basis,-,Basis Trading,"Binance,Ethereum,Hemi,Base,CORE,Bitlayer",381482050.90566754,0.49539407171741345,0.5189435816727723,-3.705958222468027,,2025-11-03T01:15:59.406211
Infrared Finance,infrared-finance,-,Liquid Staking,Berachain,371636505.3841578,0.12032385039546512,0.9377562951005558,-3.075933082573286,,2025-11-03T01:15:59.406212
Sanctum Infinity,sanctum-infinity,CLOUD,Dexs,Solana,371438396.6990535,0.9358270190954414,1.4266305654333564,-1.127427757197168,,2025-11-03T01:15:59.406213
SuiBridge,suibridge,-,Canonical Bridge,Ethereum,365016555.30756867,0.3724467244268652,-5.495534708855047,-37.480338395562406,,2025-11-03T01:15:59.406214
Solv Strategies,solv-strategies,-,Onchain Capital Allocator,"Binance,Ethereum,Berachain,Avalanche,BOB",359065370.19015545,0.4273910484833294,0.6303153059252935,-3.5494374768977366,,2025-11-03T01:15:59.406216
Lagoon,lagoon,-,Onchain Capital Allocator,"Ethereum,Avalanche,Base,TAC,Arbitrum,Linea,Plasma,Katana,Mantle,Optimism,Polygon,Sonic,Berachain,World Chain,Unichain",358028601.6815657,0.22105502758114426,0.5078418903944595,0.0647930035423343,,2025-11-03T01:15:59.406217
Bitrue,bitrue,-,CEX,"Ripple,Ethereum,Hedera,Cardano,Bitcoin,Tron,Solana,Binance,XDC,Polygon,Flare,Cosmos,Mantle,VeChain,Scroll,Linea,zkSync Era,CORE,Polkadot,Taiko,Sui",355043949.8591265,0.3702152735440336,0.2688657913369781,-5.446026412292255,,2025-11-03T01:15:59.406219
Frax Ether,frax-ether,FRAX,Liquid Staking,"Ethereum,Fraxtal",345067216.132171,0.3578010115532493,0.015098301653068802,-7.643411285632453,,2025-11-03T01:15:59.406220
Mellow LRT,mellow-lrt,-,Liquid Restaking,"Ethereum,Lisk,Binance,Fraxtal",341610065.3436125,0.2531023865814461,-0.2334777354009816,-10.25490143192161,,2025-11-03T01:15:59.406221
Bybit Staked SOL,bybit-staked-sol,-,Liquid Staking,Solana,338852084.99366105,0.5030741822996276,0.2885929769266937,-1.077843688961977,,2025-11-03T01:15:59.406223
exSat Staking BTC,exsat-staking-btc,-,Bridge,Bitcoin,336880411.0257623,0.46156755196220445,0.9989960868889369,-10.87524623330826,,2025-11-03T01:15:59.406224
cap,cap,-,Lending,Ethereum,331436615.4853401,0.04042229133935393,0.01024040045281538,-3.3399496873453955,,2025-11-03T01:15:59.406225
b14g,b14g,-,Restaking,"Bitcoin,CORE",329520542.05836517,0.7482900540108659,2.545948560897912,-5.090881248722155,,2025-11-03T01:15:59.406226
Drift Staked SOL,drift-staked-sol,DRIFT,Liquid Staking,Solana,318658412.6687078,0.5030958215291434,0.07317465707114934,-6.744656088942463,,2025-11-03T01:15:59.406228
Solv Basis Trading,solv-basis-trading,SOLV,Basis Trading,"Binance,Soneium,Arbitrum,Ethereum,Mantle,Polygon,Solana,Merlin",318058256.58614326,-0.0832371210329228,0.16508641448169215,-4.34453363475194,,2025-11-03T01:15:59.406229
Ondo Global Markets,ondo-global-markets,ONDO,RWA,"Ethereum,Binance",317272249.28858477,0.0,7.105427357601002e-14,0.5475333984428659,,2025-11-03T01:15:59.406230
Telos Consilium,telos-consilium,-,Risk Curators,"Plasma,Ethereum",316545406.15462023,-0.23509250419509442,0.8426217532610139,0.21060645268096323,,2025-11-03T01:15:59.406231
Balancer V3,balancer-v3,BAL,Dexs,"Ethereum,Plasma,Base,Arbitrum,xDai,Avalanche,Optimism,Hyperliquid L1",312845711.8564732,-0.028939931795065377,-0.11883737796090088,-7.97597549653247,,2025-11-03T01:15:59.406233
Liquity V1,liquity-v1,LQTY,CDP,Ethereum,311942825.28917545,0.333087208241551,0.12155623373932656,-6.799611196141882,,2025-11-03T01:15:59.406234
The Vault Liquid Staking,the-vault-liquid-staking,-,Liquid Staking,Solana,298408137.7610237,0.5030958215291434,0.0745662332965793,-6.952467883537366,,2025-11-03T01:15:59.406235
SolvBTC LSTs,solvbtc-lsts,-,Restaked BTC,"Bitcoin,Ethereum",295868123.1799642,0.6544819700439888,0.6664425770072029,-10.350911234810155,,2025-11-03T01:15:59.406236
Beefy,beefy,BIFI,Yield Aggregator,"Ethereum,Arbitrum,Base,Avalanche,Fraxtal,Optimism,Binance,Polygon,Fantom,Cronos,Plasma,Sonic,xDai,Linea,Sei,Berachain,Metis,Hyperliquid L1,Saga,Mantle,zkSync Era,Canto,Lisk,RSK,Moonbeam,Fuse,Oasis,Harmony,Aurora,Kava,Celo,Moonriver,Mode,Scroll,Polygon zkEVM,Manta,Heco,re.al",295776398.9648806,0.44977039131420327,-0.04457876921885884,-2.1739001367323283,10567917.237227624,2025-11-03T01:15:59.406238
Anemoy Capital,anemoy-capital,-,RWA,"Ethereum,Celo,Base",295528038.1614271,-0.010353175129623082,-0.00809736119502702,0.05651445108031794,,2025-11-03T01:15:59.406239
Upshift,upshift,-,Onchain Capital Allocator,"Ethereum,Hyperliquid L1,Avalanche,Base,Binance",293785134.0517425,0.02167139894440595,-0.6573004876107262,-6.978783853724309,,2025-11-03T01:15:59.406241
Kamino Liquidity,kamino-liquidity,KMNO,Liquidity manager,Solana,292223112.22422546,0.0012607731951277401,0.4494639151183293,-7.238447180921867,,2025-11-03T01:15:59.406242
PayCash,paycash,MLNK,Dexs,EOS,290121870.23659,0.0006649382123100622,0.5992120760731012,6.685179528631792,0.0,2025-11-03T01:15:59.406243
PinkSale,pinksale,PINKSALE,Launchpad,"Binance,Ethereum,Polygon,Cronos,Avalanche,Fantom",289077682.9705318,0.2950376109330364,10.210152498326124,4.914982860857833,40086665.44322829,2025-11-03T01:15:59.406245
Aerodrome Slipstream,aerodrome-slipstream,AERO,Dexs,Base,288782349.0395554,7.908873419423628,-2.8831240711172086,-2.169789199998746,,2025-11-03T01:15:59.406246
Tydro,tydro,-,Lending,Ink,285871762.8706659,-0.05572919152004374,6.252315254736018,22.389431606187074,,2025-11-03T01:15:59.406247
Sophon Bridge,sophon-bridge,-,Canonical Bridge,Ethereum,283405315.73828334,1.8591084193850804,1.7605255446596146,-12.929035114401216,,2025-11-03T01:15:59.406248
VALR,valr,-,CEX,"Bitcoin,Ethereum,Ripple,Solana,Tron,Avalanche,Binance",281077698.38268113,0.23198281765721163,-0.05422508052478747,-3.7547118663364074,,2025-11-03T01:15:59.406250
Block Analitica,block-analitica,-,Risk Curators,"Ethereum,Base,Arbitrum,Sonic",278872236.95330495,0.28133305460389124,-0.1665826296377304,-1.9386144586087823,,2025-11-03T01:15:59.406251
Benqi Lending,benqi-lending,QI,Lending,Avalanche,278156110.1946046,1.536373676846381,1.260392925575232,0.2134684908056954,35495762.84623474,2025-11-03T01:15:59.406252
