protocol,slug,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,timestamp
ether.fi Stake,ether.fi-stake,ETHFI,Liquid Restaking,"Ethereum,Arbitrum,Base",9556223018.667925,0.33572186939521487,-0.003298436776205449,-7.531320073720863,,2025-11-03T01:15:59.405992
Gemini,gemini,-,CEX,"Bitcoin,Ethereum",9360771249.03254,0.46819349905962326,0.6022898391928209,-4.1781709592738565,,2025-11-03T01:15:59.405993
Ethena USDe,ethena-usde,ENA,Basis Trading,Ethereum,9270993936.168236,-0.014171272098366217,-0.1407535036393739,-10.688084895090427,,2025-11-03T01:15:59.405995
Morpho V1,morpho-v1,MORPHO,Lending,"Ethereum,Base,Hyperliquid L1,Katana,Arbitrum,Plume Mainnet,World Chain,Unichain,Polygon,Optimism,TAC,Sei,Corn,Lisk,Scroll,Hemi,Botanix,Etherlink,Soneium,Fraxtal,Sonic,Binance,Ink,Abstract,xDai,Bitlayer,Zircuit,Mode",8375779678.56502,0.4143327434827455,-0.10388524993020098,5.181409607015468,,2025-11-03T01:15:59.405996
Bitget,bitget,-,CEX,"Ethereum,Bitcoin,Solana,Ripple,Binance,Tron,Arbitrum,Base,TON,Avalanche,Polygon,Optimism,zkSync Era,Cronos,Sonic,Klaytn,Metis,Starknet,Fantom,Kava,Hyperliquid L1",8223815515.535133,0.3218187659972358,0.21567861157558355,-5.1305260434050695,,2025-11-03T01:15:59.405998
Coinbase Bridge,coinbase-bridge,-,Bridge,"Bitcoin,Ripple,Doge,Cardano,Litecoin",7883412275.583078,0.23826898555110176,0.2938547751335534,-3.13270177748889,,2025-11-03T01:15:59.406000
Gate,gate,GT,CEX,"Ethereum,Bitcoin,Solana,Binance,Doge,Tron,Ripple,Litecoin,Cardano,Optimism,Arbitrum,EthereumClassic,Sui,Aptos,Polkadot,Manta,Klaytn,Linea,Arbitrum Nova,Avalanche,Cronos,zkSync Era,WEMIX,XDC,Polygon,Sei,VeChain,Ergo,EOS,Celestia,Alephium,Metis,Base,Flare,Celo,Algorand,CORE,Injective,dYdX,Stacks,X Layer,Terra,ZetaChain,Chiliz,Mantle,Astar,Theta,Cosmos,EnergyWeb,Starknet,Harmony,LUKSO,Bahamut,IoTeX,Moonriver,Vana,Radix,XPLA,Orai,Moonbeam,Etherlink,Elrond,Bitkub,Shibarium,Agoric,Ronin,ThunderCore,REI,Osmosis,Neutron,Aura Network,BandChain,AirDAO,Acala,Fuse,Oasys,Dymension,Neon,Archway,Merlin,ApeChain,Tezos,Bifrost,Umee,Mode,Boba,Bitlayer,Blast,Matchain,Meter,RSK,Zircuit,Op_Bnb,zkLink,Aurora,Taiko,Kroma,Bittorrent,Scroll,Fantom,Polygon zkEVM,ENULS,BSquared,EOS EVM,Fuel,Naka,OKExChain,Songbird,HAQQ,GoChain,HPB,Kardia,Tenet,TomoChain,TON",7733197973.9865465,0.11216342459280781,0.025377336779115467,-6.9542623786357325,1538400019.6721275,2025-11-03T01:15:59.406003
Binance Bitcoin,binance-bitcoin,-,Bridge,Bitcoin,7538833486.695831,0.2645123223794741,0.46782542127805016,-3.5705409586483228,,2025-11-03T01:15:59.406005
Pendle,pendle,PENDLE,Yield,"Ethereum,Hyperliquid L1,Plasma,Arbitrum,Binance,Base,Berachain,Sonic,Mantle,Avalanche,Optimism",6903487089.443731,0.2031725131983535,-0.5257046721423535,-0.5433534395018995,512530453.9685613,2025-11-03T01:15:59.406007
Sky Lending,sky-lending,SKY,CDP,Ethereum,6573602807.223443,0.4741180490631933,0.6513960560398147,-6.938018143508927,,2025-11-03T01:15:59.406008
HTX,htx,-,CEX,"Tron,Ethereum,Bitcoin,Solana,Ripple,Doge,Cardano,Binance,TON,Litecoin,Arbitrum,Avalanche,Sui,Optimism,CORE,Polygon,EOS,Starknet,Algorand",6511064061.158953,0.31709119707372224,-0.21040333165120728,-2.4741010196345314,,2025-11-03T01:15:59.406010
Babylon Protocol,babylon-protocol,BABY,Restaking,Bitcoin,6262892604.13416,0.2373878816617463,0.18703559127931157,-3.4950162496253654,77678466.29834977,2025-11-03T01:15:59.406011
SparkLend,sparklend,SPK,Lending,"Ethereum,xDai",6032641285.522126,1.5850666551211958,1.769079431378941,2.354647300692747,,2025-11-03T01:15:59.406012
Arbitrum Bridge,arbitrum-bridge,ARB,Canonical Bridge,Ethereum,5529361304.784973,0.40078262493167927,0.31956467422608625,-7.860790918573457,,2025-11-03T01:15:59.406014
Bitmex,bitmex,BMEX,CEX,"Bitcoin,Ethereum",5445002467.135681,0.23430418797079255,0.1820207731756227,-3.8137928651975415,20049852.437511083,2025-11-03T01:15:59.406015
USDT0,usdt0,-,Bridge,Ethereum,5234279949.540671,0.0018287054021044469,2.615766171123667,-27.073966942500874,,2025-11-03T01:15:59.406016
Deribit,deribit,-,CEX,"Bitcoin,Ethereum,Solana,Ripple,EthereumPoW,Binance",5044682642.442918,0.23236302683720567,0.30517053281724316,-4.225250560039157,,2025-11-03T01:15:59.406018
MEXC,mexc,-,CEX,"Ethereum,Bitcoin,Solana,Ripple,Binance,Tron,Arbitrum,Avalanche,Optimism,TON,Aptos,Polygon,Klaytn,Base,Starknet",4892572696.249783,0.17726964569384052,0.7426180090234595,-4.482103156197496,,2025-11-03T01:15:59.406019
Hyperliquid Bridge,hyperliquid-bridge,HYPE,Bridge,Arbitrum,4730083405.732851,0.11869893492584538,0.403914437230938,1.9375246998881295,,2025-11-03T01:15:59.406021
