symbol
1INCH
AAVE
ALICE
AMP
ANKR
APE
API3
ARB
ARKM
ATH
ATOM
AUDIO
AXL
AXS
BAL
BAND
BAT
BICO
BIO
BLUR
BNT
BONK
BTRST
CAKE
CELR
CFG
COMP
COTI
CRV
CTSI
CVC
CVX
DIA
DOT
EIGEN
ELA
ENA
ENS
ETH
ETHFI
FET
FLOKI
GLM
GMT
GRT
ILV
IMX
IOTX
JASMY
KNC
LA
LDO
LINK
LPT
LRC
MAGIC
MANA
MASK
METIS
MKR
MLN
MOG
MORPHO
