dex,defi_llama_id,volume_24h,volume_7d,change_1d,chains,timestamp
Surfswap Stable AMM,2598,0,0,0.0,Kava,2025-11-03T01:15:59.015504
Zyberswap V3,2602,2934,14142,-23.73,Arbitrum,2025-11-03T01:15:59.015505
AlienFi,2603,0,282,0.0,Arbitrum,2025-11-03T01:15:59.015506
Balancer V2,2611,8323214,97457724,49.17,"Ethereum,Polygon,Arbitrum,Gnosis,Polygon zkEVM,Avalanche,Base,Mode,Fraxtal",2025-11-03T01:15:59.015507
KyberSwap Elastic,2615,0,0,0.0,"OP Mainnet,Arbitrum,Fantom,Avalanche,BSC,Polygon,Ethereum,Linea,Base,Scroll",2025-11-03T01:15:59.015509
DeDust,2617,866037,6082358,14.09,TON,2025-11-03T01:15:59.015510
Lighter V1,2636,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015511
Maverick V1,2644,1567320,8919348,19.09,"BSC,Base,ZKsync Era,Ethereum",2025-11-03T01:15:59.015512
ArcherSwap,2648,7940,117573,-64.99,CORE,2025-11-03T01:15:59.015513
PonytaSwap,2657,0,0,0.0,Rangers,2025-11-03T01:15:59.015514
Velocimeter V2,2668,441,1385,37.81,Canto,2025-11-03T01:15:59.015516
WEMIX Full Range Deposit,2674,0,0,0.0,WEMIX3.0,2025-11-03T01:15:59.015517
Ramses Legacy,2675,2985,74390,-56.02,Arbitrum,2025-11-03T01:15:59.015518
Arbitrum Exchange V2,2685,269,2061,36.55,Arbitrum,2025-11-03T01:15:59.015519
SMARDEX AMM,2695,4474,118190,3.64,"Arbitrum,Base,BSC,Ethereum,Polygon",2025-11-03T01:15:59.015520
MantisSwap,2702,0,172,0.0,"Polygon,Polygon zkEVM,Mode",2025-11-03T01:15:59.015522
SithSwap,2719,0,0,0.0,Starknet,2025-11-03T01:15:59.015523
Koi Finance AMM,2727,536356,841722,414.42,ZKsync Era,2025-11-03T01:15:59.015524
SyncSwap,2728,7312161,15670090,131.28,"ZKsync Era,Linea,Scroll",2025-11-03T01:15:59.015525
Swapline V1,2731,0,0,0.0,"Fantom,OP Mainnet,Arbitrum,ShimmerEVM",2025-11-03T01:15:59.015526
Persistence DEX,2737,1353,72236,-56.37,Persistence One,2025-11-03T01:15:59.015527
Hadouken AMM,2748,245,5542,-68.87,GodwokenV1,2025-11-03T01:15:59.015528
MM Finance Arbitrum,2754,1,91,-75.0,Arbitrum,2025-11-03T01:15:59.015530
Sharpe Magnum,2756,0,0,0.0,Ethereum,2025-11-03T01:15:59.015531
Maia V3,2760,0,0,0.0,Metis,2025-11-03T01:15:59.015532
PancakeSwap AMM V3,2769,1697709186,14496137068,17.04,"Solana,BSC,Ethereum,Polygon zkEVM,ZKsync Era,Arbitrum,Linea,Base,opBNB",2025-11-03T01:15:59.015533
Auragi Finance,2773,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015534
SushiSwap V3,2776,18567790,192222598,57.7,"Arbitrum,Ethereum,Gnosis,Base,CORE,Blast,Rootstock,Bittorrent,Metis,Kava,Linea,Scroll,Sonic,Hemi,Katana,Arbitrum Nova,BSC,OP Mainnet,Polygon,Polygon zkEVM,ThunderCore,Fantom,Avalanche",2025-11-03T01:15:59.015536
Aktionariat,2782,0,0,0.0,"Ethereum,OP Mainnet,Polygon",2025-11-03T01:15:59.015537
Camelot V3,2792,17233897,220482109,14.46,"Arbitrum,ApeChain,Gravity by Galxe,Rari,ReyaChain,Gnosis,Sanko",2025-11-03T01:15:59.015538
ThalaSwap,2795,145179,1177776,136.24,Aptos,2025-11-03T01:15:59.015540
Native Swap,2803,24960946,408084448,-0.73,"BSC,Ethereum,Arbitrum,Base",2025-11-03T01:15:59.015541
Forge,2804,0,0,0.0,Evmos,2025-11-03T01:15:59.015542
Dove Swap V3,2809,262,6773,-13.25,Polygon zkEVM,2025-11-03T01:15:59.015543
SpaceDex,2814,0,0,0.0,"Arbitrum,BSC",2025-11-03T01:15:59.015544
SatoshiCoreSwap,2827,0,0,0.0,CORE,2025-11-03T01:15:59.015546
WAGMI,2837,660911,8772748,9.82,"Fantom,Ethereum,Metis,Kava,Sonic,Base",2025-11-03T01:15:59.015547
MERLIN DEX,2849,0,0,0.0,ZKsync Era,2025-11-03T01:15:59.015548
Noah Swap,2855,0,0,0.0,EOS EVM,2025-11-03T01:15:59.015549
THENA FUSION,2864,1647018,11786084,76.19,BSC,2025-11-03T01:15:59.015550
Tealswap V2,2874,0,0,0.0,Oasys,2025-11-03T01:15:59.015551
Carbon Defi,2890,311551,1518256,361.13,"Ethereum,Sei,Celo,Coti,TAC",2025-11-03T01:15:59.015553
SMBSwap V3,2895,0,0,0.0,BSC,2025-11-03T01:15:59.015554
PheasantSwap,2896,0,0,0.0,ENULS,2025-11-03T01:15:59.015555
Joe V2.1,2906,709797,26891497,11.62,"Avalanche,Arbitrum,BSC,Ethereum",2025-11-03T01:15:59.015556
Chronos V1,2907,471,5610,-24.76,Arbitrum,2025-11-03T01:15:59.015557
Hydradex V3,2910,202,4303,-79.37,Hydra Chain,2025-11-03T01:15:59.015558
E3,2926,40177,346490,466.03,"Fantom,Arbitrum,Base",2025-11-03T01:15:59.015559
Veax,2928,0,5106,0.0,Near,2025-11-03T01:15:59.015561
StellaSwap V3,2934,313,8198,179.46,Moonbeam,2025-11-03T01:15:59.015562
Kriya AMM,2939,21377,107495,-75.18,Sui,2025-11-03T01:15:59.015563
Turbos,2940,11846724,98468044,41.63,Sui,2025-11-03T01:15:59.015564
BlueMove DEX,2941,0,0,0.0,Aptos,2025-11-03T01:15:59.015565
CroSwap,2942,0,0,0.0,Cronos,2025-11-03T01:15:59.015566
AirSwap,2954,0,0,0.0,"Ethereum,Polygon,Avalanche,BSC,Arbitrum",2025-11-03T01:15:59.015567
Arbitrum Exchange V3,2962,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015569
PulseX V1,2995,4170872,54584594,-15.55,PulseChain,2025-11-03T01:15:59.015570
SUNSwap V2,3005,1505614,20616176,-41.56,Tron,2025-11-03T01:15:59.015571
FXDX,3036,0,0,0.0,Base,2025-11-03T01:15:59.015572
Dexter Exchange,3040,0,0,0.0,Tezos,2025-11-03T01:15:59.015573
FluxBeam,3053,1805659,6062515,0.0,Solana,2025-11-03T01:15:59.015575
PulseX V2,3060,3586537,40939203,-9.58,PulseChain,2025-11-03T01:15:59.015576
Fathom AMM,3077,0,0,0.0,XDC,2025-11-03T01:15:59.015577
Heraswap,3089,0,0,0.0,Onus,2025-11-03T01:15:59.015578
MiaSwap,3090,30,100,87.5,Onus,2025-11-03T01:15:59.015579
BeamSwap V3,3092,80,392,263.64,Moonbeam,2025-11-03T01:15:59.015581
Ramses CL,3096,1462090,14294689,-0.1,Arbitrum,2025-11-03T01:15:59.015582
Ambient,3104,172276,2565965,-31.73,"Scroll,Blast,Ethereum,Swellchain",2025-11-03T01:15:59.015583
Astroport,3117,440151,4333264,71.73,"Terra2,Injective,Neutron,Sei,Osmosis",2025-11-03T01:15:59.015584
Pearl V1,3121,147,1097,45.54,Polygon,2025-11-03T01:15:59.015585
Litx,3159,0,0,0.0,"BSC,PulseChain",2025-11-03T01:15:59.015587
Phoenix,3170,2763442,38514433,47.8,Solana,2025-11-03T01:15:59.015588
Concordex,3172,0,0,0.0,Concordium,2025-11-03T01:15:59.015589
Equity,3173,0,0,0.0,Fantom,2025-11-03T01:15:59.015590
PegaSys V3,3178,0,5,0.0,Rollux,2025-11-03T01:15:59.015591
zkSwap V2,3180,949522,1997919,83.97,"ZKsync Era,Sonic",2025-11-03T01:15:59.015592
FlowX V2,3196,54077,212486,6.41,Sui,2025-11-03T01:15:59.015593
PHUX,3205,180233,2376558,-27.97,PulseChain,2025-11-03T01:15:59.015594
Pinnako,3209,0,0,0.0,ZKsync Era,2025-11-03T01:15:59.015596
Swaap Maker V2,3218,453103,9905419,6.96,"Ethereum,Polygon,Arbitrum,OP Mainnet,BSC,Base,Mode,Scroll,Linea,Mantle",2025-11-03T01:15:59.015597
DerpDEX,3234,189,802,425.0,"ZKsync Era,Base",2025-11-03T01:15:59.015598
FusionX V2,3238,7394,18013,6810.28,Mantle,2025-11-03T01:15:59.015599
FusionX V3,3239,9922,75606,56.65,Mantle,2025-11-03T01:15:59.015600
Sobal,3246,0,25,0.0,"Base,Neon",2025-11-03T01:15:59.015601
HorizonDEX,3255,425,3212,388.51,"Linea,Base",2025-11-03T01:15:59.015602
EchoDEX V2,3256,116,2739,-70.33,Linea,2025-11-03T01:15:59.015604
ICPSwap,3257,1311712,4633488,2.16,ICP,2025-11-03T01:15:59.015605
Aftermath AMM,3259,84389,762464,-27.32,Sui,2025-11-03T01:15:59.015606
Reax Swaps,3260,0,0,0.0,Mantle,2025-11-03T01:15:59.015607
Agni Finance,3265,1796029,26106638,66.04,Mantle,2025-11-03T01:15:59.015608
DeepBook V2,3268,0,0,0.0,Sui,2025-11-03T01:15:59.015609
dexSWAP,3277,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015610
ZKBase,3280,436,2677,664.91,ZKsync Era,2025-11-03T01:15:59.015611
FVM Exchange,3291,433,4001,42.9,Fantom,2025-11-03T01:15:59.015612
FCON DEX,3299,0,0,0.0,Mantle,2025-11-03T01:15:59.015613
Velodrome V2,3302,576729,5377194,2.45,"OP Mainnet,Mode,Lisk,Fraxtal,Ink,BOB,Soneium,Unichain,Swellchain",2025-11-03T01:15:59.015615
Retro,3311,0,0,0.0,Polygon,2025-11-03T01:15:59.015616
CrescentSwap,3315,0,8,0.0,Arbitrum,2025-11-03T01:15:59.015617
TanX.fi,3316,5738775,40653147,1.15,Ethereum,2025-11-03T01:15:59.015618
SwapBased AMM,3328,13135,119768,-48.58,Base,2025-11-03T01:15:59.015619
Velocore V2,3330,0,0,0.0,Linea,2025-11-03T01:15:59.015620
BaseSwap V2,3333,31903,573727,-44.0,Base,2025-11-03T01:15:59.015622
Chronos V2,3341,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015623
DackieSwap V3,3345,56755,612781,-15.87,"Base,OP Mainnet,Arbitrum,Blast,Mode,Linea",2025-11-03T01:15:59.015624
EchoDEX V3,3349,507,9456,-59.01,Linea,2025-11-03T01:15:59.015625
Alien Base V2,3361,1007801,19807809,-1.42,Base,2025-11-03T01:15:59.015626
Throne V3,3382,0,0,0.0,Base,2025-11-03T01:15:59.015628
Sanctum Reserve,3388,238389,3839863,-59.45,Solana,2025-11-03T01:15:59.015629
Lynex V2,3408,1701504,13727409,32.63,Linea,2025-11-03T01:15:59.015630
SwapBased Concentrated Liquidity,3409,143181,947516,17.99,Base,2025-11-03T01:15:59.015631
LuigiSwap,3415,0,0,0.0,Scroll,2025-11-03T01:15:59.015632
YFX,3429,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015633
Hydration DEX,3439,9376368,145757518,-31.75,Hydration,2025-11-03T01:15:59.015635
Aerodrome V1,3450,13025970,178667035,-19.54,Base,2025-11-03T01:15:59.015636
Danogo,3454,0,0,0.0,Cardano,2025-11-03T01:15:59.015637
Kinetix Derivatives,3465,0,0,0.0,Kava,2025-11-03T01:15:59.015638
Solidly V3,3481,676410,6235555,1.6,"Ethereum,Sonic,OP Mainnet,Arbitrum,Fantom,Base",2025-11-03T01:15:59.015639
Ekubo,3499,102384611,825646585,25.15,"Starknet,Ethereum",2025-11-03T01:15:59.015640
BaseX,3507,635515,6567017,50.41,Base,2025-11-03T01:15:59.015642
Nether.Fi,3509,0,0,0.0,Base,2025-11-03T01:15:59.015643
DackieSwap V2,3515,562,4404,-19.94,"Base,OP Mainnet,Arbitrum,Blast,Mode,Linea",2025-11-03T01:15:59.015644
Kinetix AMM V2,3533,0,0,0.0,"Kava,Base",2025-11-03T01:15:59.015645
Kinetix AMM V3,3534,0,0,0.0,Kava,2025-11-03T01:15:59.015646
ApertureSwap,3554,509,48338,-62.66,Manta,2025-11-03T01:15:59.015647
Tegro,3561,0,0,0.0,"Ethereum,Polygon,Avalanche,BSC,Arbitrum",2025-11-03T01:15:59.015648
Arena SocialFi,3564,3841,28049,-7.31,Avalanche,2025-11-03T01:15:59.015650
MagicSea AMM,3571,700,4233,11566.67,ShimmerEVM,2025-11-03T01:15:59.015651
Scale,3575,16488,191036,-34.4,Base,2025-11-03T01:15:59.015652
TangleSwap,3585,10,127,0.0,ShimmerEVM,2025-11-03T01:15:59.015653
BLEX,3605,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015654
Xena Finance,3620,0,0,0.0,Base,2025-11-03T01:15:59.015656
Monocerus,3622,0,0,0.0,"Avalanche,Manta",2025-11-03T01:15:59.015657
CaviarNine Shape Liquidity,3645,204208,592672,292.57,Radix,2025-11-03T01:15:59.015658
Ociswap Basic,3646,1112,6063,204.66,Radix,2025-11-03T01:15:59.015659
DX25,3650,0,0,0.0,MultiversX,2025-11-03T01:15:59.015660
VaporDex V2,3654,217,4265,-56.77,Avalanche,2025-11-03T01:15:59.015661
Primex Finance,3664,0,0,0.0,"Polygon,Arbitrum,Ethereum,Base",2025-11-03T01:15:59.015663
CaviarNine LSU Pool,3666,1663,34182,12.67,Radix,2025-11-03T01:15:59.015664
Zebra V1,3668,80,786,247.83,Scroll,2025-11-03T01:15:59.015665
CandySwap,3682,0,0,0.0,MEER,2025-11-03T01:15:59.015666
Swapsicle V2,3716,2696,15273,251.04,"Mantle,Telos,Taiko",2025-11-03T01:15:59.015667
QuickSwap Liquidity Hub,3743,22209,648786,-77.12,Polygon,2025-11-03T01:15:59.015668
Elektrik,3773,0,157,-100.0,LightLink,2025-11-03T01:15:59.015669
Voodoo Trade Base,3792,0,0,0.0,Base,2025-11-03T01:15:59.015670
Xfai,3816,7567,91021,85.33,Linea,2025-11-03T01:15:59.015672
Sushi Aptos,3827,1577,24354,0.0,Aptos,2025-11-03T01:15:59.015673
Amped Finance,3833,577036,3625458,7.24,"LightLink,Sonic,Berachain,Base",2025-11-03T01:15:59.015674
ChimpX AI,3836,0,26,0.0,Linea,2025-11-03T01:15:59.015675
DyorSwap AMM,3837,0,0,0.0,"Mode,Blast,Plasma",2025-11-03T01:15:59.015676
PlunderSwap V2,3840,0,0,0.0,Zilliqa,2025-11-03T01:15:59.015677
Chainflip,3853,9824794,99199182,-8.95,Chainflip,2025-11-03T01:15:59.015679
Ascent Exchange V1,3867,0,0,0.0,Horizen EON,2025-11-03T01:15:59.015680
Ascent Exchange V3,3868,0,0,0.0,Horizen EON,2025-11-03T01:15:59.015681
Thick,3878,10943,142478,49.31,"Fantom,Arbitrum,Base,Sonic",2025-11-03T01:15:59.015682
StarkDeFI,3880,0,0,0.0,Starknet,2025-11-03T01:15:59.015683
mySwap CL,3887,944845,6613915,0.0,Starknet,2025-11-03T01:15:59.015684
Astrolescent,3897,2745,45129,0.0,Radix,2025-11-03T01:15:59.015685
Zebra V2,3901,7704,56908,193.37,Scroll,2025-11-03T01:15:59.015687
Ryze.Fi,3907,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015688
Lynex V1,3908,2666,55290,-5.96,Linea,2025-11-03T01:15:59.015689
KIM Exchange V1,3913,0,0,0.0,Mode,2025-11-03T01:15:59.015690
XSwap V3,3914,1030693,6602967,12.66,XDC,2025-11-03T01:15:59.015691
Butter.xyz,3918,2376,7982,335.16,Mantle,2025-11-03T01:15:59.015692
Pharaoh CL,3921,1272772,24292484,-28.91,Avalanche,2025-11-03T01:15:59.015693
JIBSWAP,3928,0,0,0.0,JBC,2025-11-03T01:15:59.015695
Archly V2,3940,4,45,-33.33,"Arbitrum Nova,Arbitrum,Avalanche,Base,Blast,BSC,Cronos,Ethereum,Fantom,Filecoin,Fraxtal,Kava,Mantle,Metis,Mode,Neon,OP Mainnet,Polygon,Sonic,Telos,ZKsync Era,Zora",2025-11-03T01:15:59.015696
Cleopatra CL,3985,15251,203693,90.11,Mantle,2025-11-03T01:15:59.015697
Cauldron,3993,19225,331484,-52.04,Bitcoincash,2025-11-03T01:15:59.015699
Merchant Moe DEX,4006,72623,321381,85.48,Mantle,2025-11-03T01:15:59.015700
SquadSwap V2,4009,445,4149,-1.55,BSC,2025-11-03T01:15:59.015701
SquadSwap V3,4010,0,0,0.0,BSC,2025-11-03T01:15:59.015702
SUNSwap V3,4031,32608744,508432334,-0.25,Tron,2025-11-03T01:15:59.015703
KIM Exchange V2,4038,951,16423,53.39,Mode,2025-11-03T01:15:59.015704
ICDex,4040,286699,346357,530.8,ICP,2025-11-03T01:15:59.015705
Horiza,4041,17,1079,0.0,Arbitrum,2025-11-03T01:15:59.015706
Nostra Pools,4053,4633086,12622314,369.19,Starknet,2025-11-03T01:15:59.015707
Swapr V3,4057,316446,3855317,-9.68,Gnosis,2025-11-03T01:15:59.015709
DeltaSwap,4062,90329,1600406,46.74,"Arbitrum,Base,Ethereum",2025-11-03T01:15:59.015710
Nile CL,4072,149848,1402856,-61.91,Linea,2025-11-03T01:15:59.015711
Garden,4086,47,41726,-41.25,"Ethereum,Bitcoin,Arbitrum,Base,Unichain,Berachain,Starknet,Hyperliquid L1,BSC,Corn,Sui,Solana",2025-11-03T01:15:59.015712
Lexer Markets,4087,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015713
HiveSwap V3,4113,139,6654,-6.08,MAP Protocol,2025-11-03T01:15:59.015714
SwapMode V2,4116,2403,17416,228.73,Mode,2025-11-03T01:15:59.015715
SupSwap V2,4117,5,103,25.0,Mode,2025-11-03T01:15:59.015717
SupSwap V3,4118,3138,30420,14.9,Mode,2025-11-03T01:15:59.015718
Omnidrome,4119,0,0,0.0,ZetaChain,2025-11-03T01:15:59.015719
EddyFinance AMM,4120,25128,244654,64.74,ZetaChain,2025-11-03T01:15:59.015720
Econia,4128,0,0,0.0,Aptos,2025-11-03T01:15:59.015721
Bitflow,4136,1872927,11706326,-3.47,Stacks,2025-11-03T01:15:59.015722
DragonSwap V2 Kaia,4138,368,7919,32.37,Kaia,2025-11-03T01:15:59.015723
DragonSwap V3 Kaia,4139,447238,4771356,41.38,Kaia,2025-11-03T01:15:59.015724
JediSwap V2,4144,0,0,0.0,Starknet,2025-11-03T01:15:59.015725
Meteora DLMM,4148,279632199,4537799352,-18.88,Solana,2025-11-03T01:15:59.015726
Standard Protocol Mode,4186,0,0,0.0,Mode,2025-11-03T01:15:59.015728
Voltage V3,4188,0,0,0.0,Fuse,2025-11-03T01:15:59.015729
MerlinSwap,4191,0,0,0.0,Merlin,2025-11-03T01:15:59.015730
Cellana Finance,4194,0,681255,0.0,Aptos,2025-11-03T01:15:59.015731
Secured Finance Lending,4197,116892,925341,-25.84,"Ethereum,Arbitrum,Filecoin",2025-11-03T01:15:59.015732
Thruster V3,4199,217133,3726375,-45.49,Blast,2025-11-03T01:15:59.015733
Rockswap,4204,0,0,0.0,Bitrock,2025-11-03T01:15:59.015734
BladeSwap AMM,4206,524,10148,14.16,Blast,2025-11-03T01:15:59.015736
Thruster V2,4207,13880,55093,242.97,Blast,2025-11-03T01:15:59.015737
Ring Swap,4222,7400319,70403932,111.24,"Ethereum,Blast,BSC,Hyperliquid L1",2025-11-03T01:15:59.015738
Velodrome V3,4249,22993203,269446214,34.02,"OP Mainnet,Mode,Lisk,Fraxtal,Ink,Soneium,Unichain,Swellchain",2025-11-03T01:15:59.015739
Gaming DEX,4263,0,0,0.0,"DeFiVerse,Oasys",2025-11-03T01:15:59.015740
Moraswap V3,4269,0,0,0.0,Neon,2025-11-03T01:15:59.015741
ArthSwap V3,4272,6530,77067,112.43,Astar,2025-11-03T01:15:59.015742
Nile Legacy,4285,1295,14703,3.27,Linea,2025-11-03T01:15:59.015743
Cleopatra Legacy,4286,28,687,-20.0,Mantle,2025-11-03T01:15:59.015745
Pharaoh Legacy,4287,123959,1188146,31.92,Avalanche,2025-11-03T01:15:59.015746
Infusion,4294,8445,177169,34.05,Base,2025-11-03T01:15:59.015747
Blasterswap V2,4296,803,16888,158.2,Blast,2025-11-03T01:15:59.015748
KIM Exchange V3,4299,44106,342572,87.06,Mode,2025-11-03T01:15:59.015749
Curve LlamaLend,4321,296241,2738552,24.83,"Ethereum,Arbitrum,OP Mainnet,Fraxtal,Sonic",2025-11-03T01:15:59.015750
Velar AMM,4339,6604,73764,-36.49,Stacks,2025-11-03T01:15:59.015751
WarpGate,4342,0,0,0.0,Immutable zkEVM,2025-11-03T01:15:59.015752
Glyph V2,4347,40,1109,-73.86,CORE,2025-11-03T01:15:59.015753
Javsphere,4366,2240566,8817052,138.15,Base,2025-11-03T01:15:59.015754
Sanctum Infinity,4368,547842,24305166,-85.14,Solana,2025-11-03T01:15:59.015756
Hercules V2,4372,691,4191,36.02,Metis,2025-11-03T01:15:59.015757
Hercules V3,4373,161151,1158627,-6.9,Metis,2025-11-03T01:15:59.015758
Keller Finance V2,4388,0,0,0.0,Scroll,2025-11-03T01:15:59.015759
savmSwap,4422,0,0,0.0,SatoshiVM,2025-11-03T01:15:59.015760
Merchant Moe Liquidity Book,4427,2894795,48282021,84.09,Mantle,2025-11-03T01:15:59.015761
Web3.world,4430,22972,202224,-34.3,Venom,2025-11-03T01:15:59.015762
pump.fun,4449,75451525,640180428,-2.58,Solana,2025-11-03T01:15:59.015763
HbarSuite,4467,52788,384272,88.05,Hedera,2025-11-03T01:15:59.015765
firefly,4500,158,2221,12.06,Manta,2025-11-03T01:15:59.015766
Fjord V2,4505,0,0,0.0,"Ethereum,Polygon,Arbitrum,Avalanche,Base,Blast,BSC",2025-11-03T01:15:59.015767
Revoswap,4510,0,9866,0.0,X Layer,2025-11-03T01:15:59.015768
PotatoSwap,4512,0,4362863,0.0,X Layer,2025-11-03T01:15:59.015769
GlowSwap,4515,9610,67270,0.0,BSquared,2025-11-03T01:15:59.015771
zkLite Exchange,4519,0,0,0.0,ZKsync Lite,2025-11-03T01:15:59.015772
Helix Markets,4521,0,0,0.0,ICP,2025-11-03T01:15:59.015773
Aerodrome Slipstream,4524,362916344,3623041605,0.0,Base,2025-11-03T01:15:59.015774
FeeFree,4530,0,82,0.0,"Zora,Base,Scroll",2025-11-03T01:15:59.015775
Fjord V1,4557,0,0,0.0,"Ethereum,Polygon,Arbitrum",2025-11-03T01:15:59.015776
Fenix Concentrated Liquidity,4563,2,344,0.0,Blast,2025-11-03T01:15:59.015777
Nuri Legacy,4564,4,194,33.33,Scroll,2025-11-03T01:15:59.015778
Nuri CL,4565,8533,227411,172.45,Scroll,2025-11-03T01:15:59.015780
NLX Protocol,4568,0,0,0.0,CORE,2025-11-03T01:15:59.015781
BitGenie AMM,4573,7414,71904,147.46,Merlin,2025-11-03T01:15:59.015782
FlowX V3,4582,4737089,66916273,-4.19,Sui,2025-11-03T01:15:59.015783
Keller Finance V3,4583,0,0,0.0,Scroll,2025-11-03T01:15:59.015784
Ape.Store,4584,0,0,0.0,"Base,Ethereum",2025-11-03T01:15:59.015785
Equation V3,4586,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015786
Macaron AMM,4590,162,2535,350.0,Bitlayer,2025-11-03T01:15:59.015787
VanillaSwap V2,4600,87,2837,-60.09,DeFiChain EVM,2025-11-03T01:15:59.015788
VanillaSwap V3,4601,0,1664,-100.0,DeFiChain EVM,2025-11-03T01:15:59.015789
Cropper CLMM,4604,10,178,0.0,Solana,2025-11-03T01:15:59.015791
Mangrove,4610,0,0,0.0,"Blast,Arbitrum",2025-11-03T01:15:59.015792
Ociswap Precision,4629,10777,164877,98.07,Radix,2025-11-03T01:15:59.015793
Viridian Exchange,4631,0,0,0.0,CORE,2025-11-03T01:15:59.015794
LineHub V2,4660,1,23,0.0,Linea,2025-11-03T01:15:59.015795
LineHub V3,4661,65,1345,364.29,Linea,2025-11-03T01:15:59.015796
Pearl V2,4668,0,0,0.0,re.al,2025-11-03T01:15:59.015798
C3 Exchange,4670,0,0,0.0,"Algorand,Avalanche,Bitcoin,Ethereum,Arbitrum,BSC,Solana",2025-11-03T01:15:59.015799
YFX V4,4674,0,0,0.0,"Arbitrum,Base",2025-11-03T01:15:59.015800
Koi Finance CL,4678,21609,27736,710.54,ZKsync Era,2025-11-03T01:15:59.015801
Polkadex,4699,0,0,0.0,Polkadex,2025-11-03T01:15:59.015802
Basin Exchange,4703,2294,16375,-81.83,"Ethereum,Arbitrum",2025-11-03T01:15:59.015803
Splash Protocol,4712,147117,858741,101.8,Cardano,2025-11-03T01:15:59.015805
Physica Finance,4719,0,0,0.0,Planq,2025-11-03T01:15:59.015806
Dragon Swap V2 Sei,4720,25177,199061,-1.28,Sei,2025-11-03T01:15:59.015807
Spectra V2,4725,615199,3390447,161.03,"Ethereum,Arbitrum,OP Mainnet,Base,Sonic,Hemi,Avalanche,BSC,Hyperliquid L1,Katana",2025-11-03T01:15:59.015808
Blasterswap V3,4728,3272,50392,-10.01,Blast,2025-11-03T01:15:59.015809
stabble,4734,10809933,191914911,-25.61,Solana,2025-11-03T01:15:59.015810
BladeSwap CL,4746,0,0,0.0,Blast,2025-11-03T01:15:59.015811
Capybara Dexs,4747,9403,239220,-47.04,Kaia,2025-11-03T01:15:59.015812
Maverick V2,4752,25196293,277071926,-14.43,"Ethereum,Arbitrum,ZKsync Era,BSC,Base,Scroll",2025-11-03T01:15:59.015814
MagicSea LB,4755,217016,2707094,131.48,IOTA EVM,2025-11-03T01:15:59.015815
Clober V2,4764,0,0,0.0,"Base,ZKsync Era",2025-11-03T01:15:59.015816
Jellyverse,4772,22042,256419,4.05,Sei,2025-11-03T01:15:59.015817
Fenix Standard Pools,4775,10896,55456,149.56,Blast,2025-11-03T01:15:59.015818
Dusa Protocol,4788,3631,61739,-54.92,Massa,2025-11-03T01:15:59.015819
Joe V2.2,4794,62266101,390144821,18.29,"Avalanche,Arbitrum",2025-11-03T01:15:59.015820
MintSwap Finance,4811,210,7795,187.67,Mint,2025-11-03T01:15:59.015822
FanX Protocol,4821,133203,1633412,31.92,Chiliz,2025-11-03T01:15:59.015823
Xei Finance,4836,0,0,0.0,Sei,2025-11-03T01:15:59.015824
Ape Jupiter,4860,0,0,0.0,Solana,2025-11-03T01:15:59.015825
Yaka V2,4871,551,28470,-78.25,Sei,2025-11-03T01:15:59.015826
Molten V4,4880,417012,2678182,-52.85,CORE,2025-11-03T01:15:59.015827
SparkDEX V2,4887,1016,11856,4.31,Flare,2025-11-03T01:15:59.015829
SparkDEX V3,4888,408,4713,-39.2,Flare,2025-11-03T01:15:59.015830
Kriya CLMM,4895,14092,194099,4.66,Sui,2025-11-03T01:15:59.015831
Ducata,4896,0,0,0.0,Arbitrum,2025-11-03T01:15:59.015832
XRPL DEX,4924,3327128,43479074,-41.74,XRPL,2025-11-03T01:15:59.015833
SpaceWhale,4930,0,102816,0.0,Arbitrum,2025-11-03T01:15:59.015834
Scribe V4,4943,254,3148,21.53,Scroll,2025-11-03T01:15:59.015835
Saturn Swap,4946,600,2110,54.64,Cardano,2025-11-03T01:15:59.015836
FWX DEX,4962,0,0,0.0,"Avalanche,Base",2025-11-03T01:15:59.015838
DiviSwap,4985,327,24165,67.69,Chiliz,2025-11-03T01:15:59.015839
OraiDEX Pool V3,5000,0,0,0.0,Oraichain,2025-11-03T01:15:59.015840
H2 Finance V2,5017,79586,631211,45.84,Cronos zkEVM,2025-11-03T01:15:59.015841
H2 Finance V3,5018,10910,196960,32.05,Cronos zkEVM,2025-11-03T01:15:59.015842
seiyan fun,5019,0,0,0.0,Sei,2025-11-03T01:15:59.015843
Meridian Swap,5025,53,1919,-81.14,Telos,2025-11-03T01:15:59.015844
Aquarius Stellar,5035,579983,6987039,33.11,Stellar,2025-11-03T01:15:59.015845
TanukiX,5038,0,0,0.0,Taiko,2025-11-03T01:15:59.015847
XTrade,5040,0,0,0.0,X Layer,2025-11-03T01:15:59.015848
DeltaTrade,5050,13965,130368,-41.55,"Near,Solana",2025-11-03T01:15:59.015849
