Coin Symbol,Coinalyze Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %,First Date,Last Date
CAKE,CAKEUSDT_PERP.A,365,0.3453,0.6147,-2.6593,3.9753,2024-10-26,2025-10-25
CELO,CELOUSDT_PERP.A,365,0.6466,1.428,-9.8705,8.032,2024-10-26,2025-10-25
CELR,CELRUSDT_PERP.A,365,0.798,0.841,-2.9627,5.0606,2024-10-26,2025-10-25
CFX,CFXUSDT_PERP.A,365,0.7426,0.8366,-4.804,5.6827,2024-10-26,2025-10-25
CHEEMS,CHEEMS_USDT.Y,340,0.5233,4.1584,-17.5,35.53,2024-11-20,2025-10-25
CHR,CHRUSDT_PERP.A,365,0.7275,0.966,-6.4265,4.909,2024-10-26,2025-10-25
CHZ,CHZUSDT_PERP.A,365,0.0335,2.3354,-30.4784,5.0432,2024-10-26,2025-10-25
CKB,CKBUSDT_PERP.A,365,0.564,1.4298,-8.3555,6.5348,2024-10-26,2025-10-25
COMP,COMPUSDT_PERP.A,365,-0.1265,4.3232,-76.1415,4.6547,2024-10-26,2025-10-25
COTI,COTIUSDT_PERP.A,365,0.7773,1.1747,-8.3345,6.3442,2024-10-26,2025-10-25
CTC,CTCUSDT.6,365,0.5625,1.0763,-2.8808,11.8056,2024-10-26,2025-10-25
CTSI,CTSIUSDT_PERP.A,365,0.6643,2.6878,-42.1129,5.7406,2024-10-26,2025-10-25
CVC,CVCUSDT_PERP.A,163,-0.2858,1.695,-9.7977,0.5,2025-05-16,2025-10-25
CVX,CVXUSDT_PERP.A,95,0.4603,0.2249,-1.3776,0.5,2025-07-23,2025-10-25
CYBER,CYBERUSDT_PERP.A,365,-0.0532,1.5018,-11.3321,1.985,2024-10-26,2025-10-25
DASH,DASHUSDT_PERP.A,365,0.7488,0.9054,-6.0355,6.1161,2024-10-26,2025-10-25
DEEP,DEEPUSDT_PERP.A,187,-1.8661,3.7841,-24.1608,0.5,2025-04-22,2025-10-25
DENT,DENTUSDT_PERP.A,365,0.93,0.8352,-2.771,5.4397,2024-10-26,2025-10-25
DEXE,DEXEUSDT_PERP.A,306,0.4209,0.3605,-3.072,0.9598,2024-12-24,2025-10-25
DGB,DGBUSDT.6,365,0.8785,1.8887,-23.9592,11.4124,2024-10-26,2025-10-25
DIA,DIAUSDT_PERP.A,365,-0.4411,6.5227,-103.178,4.034,2024-10-26,2025-10-25
DODO,DODOUSDT.6,365,0.9389,1.543,-4.2071,13.5811,2024-10-26,2025-10-25
DOG,DOGUSDT.6,365,1.9493,2.4909,-1.8653,16.914,2024-10-26,2025-10-25
DOGS,DOGSUSD_PERP.A,365,0.5508,3.3577,-40.4542,14.0175,2024-10-26,2025-10-25
DRIFT,DRIFTUSDT_PERP.A,352,0.2028,2.7423,-40.1733,5.7697,2024-11-08,2025-10-25
DUSK,DUSKUSDT_PERP.A,365,0.8509,1.0952,-6.5101,6.6102,2024-10-26,2025-10-25
DYM,DYMUSDT_PERP.A,365,-0.2334,2.7047,-37.9377,3.6231,2024-10-26,2025-10-25
EDU,EDUUSDT_PERP.A,365,0.053,5.6363,-87.1434,7.125,2024-10-26,2025-10-25
EGLD,EGLDUSD_PERP.A,365,0.3785,1.7185,-21.4338,3.6106,2024-10-26,2025-10-25
