Coin Symbol,Coinalyze Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %,First Date,Last Date
MASK,MASKUSDT_PERP.A,365,0.0907,3.7962,-56.7843,6.2423,2024-10-26,2025-10-25
MATIC,MATIC.H,365,0.0,0.0,0.0,0.0,2024-10-26,2025-10-25
MBOX,MBOXUSDT_PERP.A,365,0.2384,2.2699,-31.9733,3.5249,2024-10-26,2025-10-25
ME,MEUSDT_PERP.A,320,-1.9906,9.1791,-104.9518,0.5,2024-12-10,2025-10-25
MELANIA,MELANIAUSDT_PERP.A,279,-1.7837,6.9705,-59.881,7.4953,2025-01-20,2025-10-25
MEME,MEMEUSDT_PERP.A,365,-0.0178,3.7484,-49.13,4.0819,2024-10-26,2025-10-25
MERL,MERLUSDT_PERP.A,150,-1.5082,6.6298,-66.1856,0.5,2025-05-29,2025-10-25
METIS,METISUSDT_PERP.A,365,0.4324,0.8706,-11.8098,3.0834,2024-10-26,2025-10-25
MEW,MEWUSDT_PERP.A,365,0.179,1.3891,-15.2273,5.5221,2024-10-26,2025-10-25
MINA,MINAUSDT_PERP.A,365,0.7775,0.8628,-4.905,5.8255,2024-10-26,2025-10-25
MLN,MLNUSDT_PERP.A,209,0.2569,2.3171,-26.3869,0.5,2025-03-31,2025-10-25
MOCA,MOCAUSDT_PERP.A,314,-0.3886,2.9854,-21.486,4.8588,2024-12-16,2025-10-25
MOODENG,MOODENGUSDT_PERP.A,365,0.281,2.3417,-26.8647,6.8825,2024-10-26,2025-10-25
MORPHO,MORPHOUSDT_PERP.A,333,0.1861,1.286,-5.9153,7.6899,2024-11-27,2025-10-25
MOVR,MOVRUSDT_PERP.A,365,0.4311,0.464,-3.6731,2.3948,2024-10-26,2025-10-25
MTL,MTLUSDT_PERP.A,365,0.2014,3.0483,-36.2222,4.4214,2024-10-26,2025-10-25
MYX,MYXUSDT_PERP.A,130,-7.6551,29.9558,-192.7362,12.8345,2025-06-18,2025-10-25
NEIRO,NEIROUSDT_PERP.A,365,0.3604,0.7006,-3.7127,4.0579,2024-10-26,2025-10-25
NEO,NEOUSDT_PERP.A,365,0.5947,1.3961,-9.1121,7.4594,2024-10-26,2025-10-25
NFT,NFT-USD.8,269,0.125,0.0,0.125,0.125,2025-01-27,2025-10-25
NKN,NKNUSDT_PERP.A,365,-0.8558,10.0141,-122.3023,5.671,2024-10-26,2025-10-25
NMR,NMRUSDT_PERP.A,365,-2.1367,11.7523,-154.5172,3.4662,2024-10-26,2025-10-25
NOT,NOTUSDT_PERP.A,365,0.337,0.6148,-2.0929,2.9441,2024-10-26,2025-10-25
NTRN,NTRNUSDT_PERP.A,365,0.4184,1.1859,-19.7261,2.7288,2024-10-26,2025-10-25
NXPC,NXPCUSDT_PERP.A,164,-0.5426,2.1286,-11.1026,0.5,2025-05-15,2025-10-25
OGN,OGNUSDT_PERP.A,365,-0.5825,6.6687,-96.5787,5.4137,2024-10-26,2025-10-25
ONE,ONEUSDT_PERP.A,365,0.822,0.6212,-2.2513,4.697,2024-10-26,2025-10-25
ONG,ONGUSDT_PERP.A,365,-0.0482,2.568,-27.2488,3.4979,2024-10-26,2025-10-25
ONT,ONTUSDT_PERP.A,365,-0.9487,11.5318,-153.313,4.161,2024-10-26,2025-10-25
ORBS,ORBSUSDT.6,365,0.6619,1.658,-23.9827,7.1059,2024-10-26,2025-10-25
ORDI,ORDIUSDT_PERP.A,365,0.3838,0.569,-1.8961,3.3341,2024-10-26,2025-10-25
OSMO,OSMO-USD.8,308,0.1009,0.1174,0.0,1.9275,2024-12-19,2025-10-25
OXT,OXTUSDT_PERP.A,365,0.5137,5.2725,-97.484,5.7636,2024-10-26,2025-10-25
PAXG,PAXGUSDT_PERP.A,213,0.239,0.4758,-2.2007,0.5,2025-03-27,2025-10-25
PENDLE,PENDLEUSDT_PERP.A,365,0.7229,0.8319,-2.7018,6.4193,2024-10-26,2025-10-25
PEOPLE,PEOPLEUSDT_PERP.A,365,0.6749,0.9682,-6.6382,6.1575,2024-10-26,2025-10-25
PERP,PERPUSDT_PERP.A,365,0.276,1.6091,-25.5833,3.3208,2024-10-26,2025-10-25
PHA,PHAUSDT_PERP.A,300,0.2838,0.8032,-9.4108,0.5,2024-12-30,2025-10-25
PI,PIUSDT_PERP.3,248,-1.0997,12.8021,-200.0,2.0125,2025-02-20,2025-10-25
PIXEL,PIXELUSDT_PERP.A,365,0.221,2.4662,-43.5323,3.0411,2024-10-26,2025-10-25
PLUME,PLUMEUSDT_PERP.A,219,0.153,1.4703,-12.3373,3.471,2025-03-21,2025-10-25
PNUT,PNUTUSDT_PERP.A,349,0.3411,0.9844,-3.6561,7.1179,2024-11-11,2025-10-25
POLYX,POLYXUSDT_PERP.A,365,0.3062,0.8385,-3.4723,3.2029,2024-10-26,2025-10-25
PONKE,PONKEUSDT_PERP.A,356,0.5899,0.6679,-4.6281,5.1743,2024-11-04,2025-10-25
POPCAT,POPCATUSDT_PERP.A,365,0.7726,1.2104,-2.5187,9.1429,2024-10-26,2025-10-25
PORTAL,PORTALUSDT_PERP.A,365,0.4145,0.5942,-4.0779,3.0351,2024-10-26,2025-10-25
POWR,POWRUSDT_PERP.A,365,-0.3152,5.2603,-87.0446,3.884,2024-10-26,2025-10-25
PRIME,PRIME-USD.8,308,0.1278,0.5733,0.0,10.1138,2024-12-19,2025-10-25
PROM,PROMUSDT_PERP.A,284,0.3781,0.5021,-3.9719,0.5,2025-01-15,2025-10-25
PUMP,PUMPUSDT_PERP.A,108,0.8568,1.3897,-2.0382,7.7506,2025-07-10,2025-10-25
PUNDIX,PUNDIXUSDT_PERP.A,179,-0.8468,2.6083,-15.9807,0.5,2025-04-30,2025-10-25
PYR,PYRUSDT.6,365,0.3213,5.1644,-82.3931,16.3536,2024-10-26,2025-10-25
QTUM,QTUMUSDT_PERP.A,365,-0.875,11.5596,-200.0,6.3849,2024-10-26,2025-10-25
RAD,RADUSDT.6,365,-2.5094,10.782,-129.0714,12.1739,2024-10-26,2025-10-25
REQ,REQUSDT.6,365,0.0015,5.1977,-54.1127,9.6037,2024-10-26,2025-10-25
RIF,RIFUSDT_PERP.A,365,-0.0229,3.9646,-20.8783,18.203,2024-10-26,2025-10-25
RLC,RLCUSDT_PERP.A,365,-0.2419,2.7703,-15.6989,5.8306,2024-10-26,2025-10-25
RLUSD,RLUSDUSDT.6,30,-2.1697,5.2062,-25.4424,0.5,2025-09-26,2025-10-25
RNDR,RNDR.H,365,0.0,0.0,0.0,0.0,2024-10-26,2025-10-25
RON,PERP_RON_USDT.W,365,-1.6334,7.6978,-72.7324,22.1162,2024-10-26,2025-10-25
ROSE,ROSEUSDT_PERP.A,365,0.808,0.6916,-2.0971,5.8214,2024-10-26,2025-10-25
RPL,RPLUSDT_PERP.A,365,0.0187,2.763,-38.2252,2.6268,2024-10-26,2025-10-25
RSR,RSRUSDT_PERP.A,365,0.5745,0.9227,-3.3536,5.8461,2024-10-26,2025-10-25
RVN,RVNUSDT_PERP.A,365,0.3369,1.8066,-26.19,5.6905,2024-10-26,2025-10-25
S,SUSDT_PERP.A,283,0.1226,0.784,-4.9282,0.5,2025-01-16,2025-10-25
SAFE,SAFEUSDT_PERP.A,365,-0.1914,4.7834,-62.0789,6.9458,2024-10-26,2025-10-25
SAGA,SAGAUSDT_PERP.A,365,0.3372,0.9513,-9.4119,3.1893,2024-10-26,2025-10-25
SAHARA,SAHARAUSDT_PERP.A,122,-0.3009,4.59,-48.7167,1.1708,2025-06-26,2025-10-25
SATS,SATSUSDT_PERP.3,365,0.8772,1.5862,-12.0768,8.9709,2024-10-26,2025-10-25
SC,SCUSDT.6,365,0.4376,1.3212,-11.8807,7.6599,2024-10-26,2025-10-25
