symbol
AAVE
ANKR
ARB
ATH
AXL
BAL
BICO
BNT
BONK
CAKE
CELR
COMP
CRV
CTSI
DIA
DOT
ETHFI
GRT
KNC
LDO
LINK
LPT
MAGIC
MKR
MORPHO
