Rank,Coin,Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %
1,Bitcoin,BTC,1906,1.057,2.0541,-30.0,18.3652
2,Ethereum,ETH,1898,0.9875,2.3604,-37.5,21.0447
3,XRP,XRP,1876,1.2051,2.8516,-52.5712,23.9981
4,Tether USDt,USDT,65,-4.0804,12.8959,-81.6104,0.5
5,Solana,SOL,1518,0.284,7.0206,-250.0,10.735
6,BNB,BNB,1895,-0.0214,4.2969,-48.145,47.074
7,Dogecoin,DOGE,1730,1.2114,2.9046,-65.8932,37.8903
8,USDC,USDC,961,0.0447,0.7436,-2.7637,2.03
9,Cardano,ADA,1890,1.0928,2.6726,-45.4562,29.3144
10,TRON,TRX,1878,0.2085,3.3534,-71.2085,25.4584
11,Avalanche,AVAX,1435,0.577,1.9504,-35.1029,11.0103
12,Sui,SUI,910,0.5698,1.7759,-13.2376,11.338
13,Chainlink,LINK,1897,0.9741,2.8419,-80.2647,29.1836
14,Toncoin,TON,607,0.4165,1.6302,-8.4639,15.0693
15,Shiba Inu,SHIB,1634,0.5707,4.6149,-75.0,18.6614
16,Stellar,XLM,1657,0.707,2.6725,-90.0,21.9712
17,Polkadot,DOT,1891,0.982,2.9877,-56.9891,31.4425
18,Hedera,HBAR,1687,0.8636,3.5815,-75.0,31.9956
19,Bitcoin Cash,BCH,1869,0.3962,2.6237,-49.1407,18.512
20,Uniswap,UNI,1660,0.9599,2.4867,-81.1538,21.7176
21,Litecoin,LTC,1877,1.0642,2.5346,-60.6737,19.6102
22,Pepe,PEPE,910,0.7192,5.8809,-150.0,23.5089
24,Hyperliquid,HYPE,152,0.7067,0.8104,-2.0558,3.953
26,NEAR Protocol,NEAR,1414,0.8553,1.7602,-31.0316,23.5183
28,Internet Computer,ICP,1524,0.8883,2.9912,-75.0,14.6387
29,Aptos,APT,1100,0.811,1.9987,-29.2848,11.3173
30,Dai,DAI,311,0.0953,0.0533,0.0,0.125
31,Aave,AAVE,1400,0.8195,1.0856,-12.5008,7.0628
32,Mantle,MNT,758,0.4831,1.6004,-8.9599,10.546
33,POL (ex-MATIC),POL,411,0.2321,0.7958,-7.4757,3.2194
34,Render,RENDER,460,0.3291,0.7364,-5.8166,3.1866
35,Ethereum Classic,ETC,1876,0.8336,2.5711,-41.3932,22.5131
37,Bittensor,TAO,566,0.3339,0.8952,-9.213,4.2384
38,VeChain,VET,2084,1.6768,4.3726,-75.0,45.843
39,Virtuals Protocol,VIRTUAL,323,0.1689,1.6362,-8.1714,10.8112
40,Artificial Superintelligence Alliance,FET,1016,0.9185,1.9757,-11.2372,14.6803
41,Arbitrum,ARB,951,1.0036,1.3387,-2.3108,11.2665
42,Ethena,ENA,575,-1.0246,3.9479,-60.1292,3.1718
43,MANTRA,OM,624,-1.3391,11.5416,-200.0,7.8782
44,Monero,XMR,2108,1.0974,3.9974,-48.75,42.6181
45,Filecoin,FIL,1832,0.956,5.1831,-120.0,28.3403
46,Algorand,ALGO,1324,0.8393,1.119,-10.4261,7.0269
47,Kaspa,KAS,712,1.0324,1.8338,-5.8806,15.0161
48,OKB,OKB,48,0.8638,1.2979,0.5,6.7854
49,Cosmos,ATOM,1406,0.381,2.0181,-43.3824,8.2437
50,Optimism,OP,1188,0.9953,1.3316,-17.4484,8.746
51,Celestia,TIA,729,-0.1672,2.3915,-15.6903,10.0553
52,Stacks,STX,981,0.8963,2.421,-48.9571,11.4065
53,Bonk,BONK,660,0.6214,2.664,-46.4781,11.5598
54,Injective,INJ,1169,0.0727,2.8238,-39.25,10.8217
55,Pudgy Penguins,PENGU,98,-0.0636,1.4211,-6.9318,0.5
56,Movement,MOVE,324,-4.3183,10.0835,-98.7712,0.5
57,Immutable,IMX,1356,0.0358,2.9452,-72.3555,6.0211
58,Theta Network,THETA,1659,0.8267,2.7592,-90.0,24.7547
59,Fantom,FTM,384,0.1444,0.4013,-0.3041,3.5084
60,The Graph,GRT,1775,1.0708,4.6566,-75.0,38.8876
61,Ondo,ONDO,648,0.4483,2.8894,-21.1477,22.8396
62,dogwifhat,WIF,650,0.9018,2.6499,-4.1842,39.5284
63,Worldcoin,WLD,828,0.6963,2.124,-14.5228,13.7138
65,JasmyCoin,JASMY,1288,0.2356,3.0949,-70.1523,16.2716
66,FLOKI,FLOKI,982,-0.2702,7.0806,-150.0,28.0199
67,Sei,SEI,804,-0.2731,4.2791,-71.6713,13.7836
68,Lido DAO,LDO,1133,0.8999,2.3471,-53.5278,11.3481
69,THORChain,RUNE,1316,0.7673,2.1728,-32.3061,8.8669
70,Raydium,RAY,512,1.4321,2.3104,-13.2499,17.727
71,GateToken,GT,1020,-0.2935,13.4657,-337.18,41.79
72,The Sandbox,SAND,1449,0.8108,1.1764,-9.3841,9.9086
73,Gala,GALA,1502,0.902,1.6804,-20.5834,10.759
74,Brett (Based),BRETT,435,0.4883,1.315,-6.2029,10.2427
76,Tezos,XTZ,2094,1.5001,4.0527,-48.75,31.5551
77,XDC Network,XDC,261,0.5127,0.5602,-3.4319,8.5891
78,Quant,QNT,1105,0.3387,3.0864,-70.6644,9.3775
79,Pyth Network,PYTH,707,0.3878,1.7926,-17.9647,8.228
80,Maker,MKR,384,0.1984,0.2643,-0.2691,1.4415
81,SPX6900,SPX,323,0.0013,1.6079,-8.8531,6.4195
82,Beam,BEAM,707,0.2071,2.0517,-33.6038,6.9732
85,Kaia,KAIA,329,0.299,0.751,-7.8351,4.2456
86,Curve DAO Token,CRV,1884,0.271,5.4917,-75.0,39.1527
87,Ethereum Name Service,ENS,1184,0.9934,1.3735,-12.0163,9.8744
88,Arweave,AR,1492,0.9477,1.2303,-9.5641,10.8164
89,IOTA,IOTA,2086,1.1461,6.0568,-75.9516,74.8375
90,Jupiter,JUP,636,0.092,1.5207,-7.2518,6.8831
91,Fartcoin,FARTCOIN,313,0.7881,1.4695,-4.6247,9.1739
92,AIOZ Network,AIOZ,503,-1.4979,6.6861,-64.9701,16.8508
93,Starknet,STRK,617,0.2416,1.3725,-13.0891,6.6506
94,Flow,FLOW,1357,0.5488,1.9299,-22.8848,10.4278
95,BitTorrent [New],BTT,1180,0.9683,4.6767,-103.2439,34.6355
97,Mog Coin,MOG,104,0.4655,0.3518,-3.0876,0.5
98,dYdX (Native),DYDX,1510,0.7574,1.6394,-16.6131,10.6542
99,Bitcoin SV,BSV,740,0.2298,2.2571,-19.8252,6.7689
