Symbol,First Date,Last Date,Days
BADGER,2021-10-14,2021-10-28,15
BOBA,2022-06-30,2022-10-28,121
DNT,2022-01-01,2025-10-25,1394
IDEX,2022-01-01,2025-10-25,1394
SPELL,2022-01-01,2025-10-25,1394
