symbol,1Confirmation Portfolio,Alameda Research Portfolio,Animoca Brands Portfolio,Arrington XRP Capital Portfolio,Blockchain Capital Portfolio,BoostVC Portfolio,CMS Holdings Portfolio,Circle Ventures Portfolio,Coinbase Ventures Portfolio,Coinfund Portfolio,DCG Portfolio,DWF Labs Portfolio,DeFiance Capital Portfolio,DragonFly Capital Portfolio,Electric Capital Portfolio,Exnetwork Capital Portfolio,Fabric Ventures Portfolio,Fenbushi Capital Portfolio,Framework Ventures Portfolio,Galaxy Digital Portfolio,Hashkey Capital Portfolio,Huobi Capital Portfolio,Kenetic Capital Portfolio,LedgerPrime Portfolio,Multicoin Capital Portfolio,OKX Ventures Portfolio,Pantera Capital Portfolio,Paradigm Portfolio,Placeholder Ventures Portfolio,Polychain Capital Portfolio,Standard Crypto Portfolio,Three Arrows Capital Portfolio,USV Portfolio,VBC Ventures Portfolio,Winklevoss Capital Portfolio,World Liberty Financial Portfolio,YZi Labs Portfolio,a16z Portfolio,eGirl Capital Portfolio,total_vc_portfolios
EOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
ETC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ETH,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,25
FET,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FIL,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8
FLOKI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FLOW,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
FLR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GRT,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
HBAR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
ICP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7
IMX,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
