symbol
1INCH
AAVE
ADA
AERO
ALICE
ANKR
API3
ARKM
ATOM
AXL
BAL
BAND
BAT
BICO
BNT
CAKE
CELR
COMP
COTI
CRV
CTSI
CVX
DAI
DIA
DOT
DRIFT
EIGEN
ENA
EOS
ETHFI
FLOKI
FLOW
GRT
IOTX
JTO
KNC
LDO
LINK
LRC
MINA
MKR
MLN
MORPHO
