date,Breakout Signal
2023-04-11,
2023-04-12,-0.0053125952402069965
2023-04-13,0.0035641582290315554
2023-04-14,0.008660194756385797
2023-04-15,0.004746306830780922
2023-04-16,0.0051334018225601685
2023-04-17,-0.006765416325355766
2023-04-18,0.0036906546509485327
2023-04-19,-0.004770581625646697
2023-04-20,0.009316826398039213
2023-04-21,-0.0025844614519404674
2023-04-22,-0.0026660393942806726
2023-04-23,0.005024173262917708
2023-04-24,-0.006693622025070622
2023-04-25,0.004027746186547443
2023-04-26,0.0022044604293940395
2023-04-27,-0.00392593194700086
2023-04-28,0.0038742659423192105
2023-04-29,-0.0007220184977781985
2023-04-30,-0.005041719639201969
2023-05-01,-0.0011638741577087997
2023-05-02,-0.004481059354253136
2023-05-03,0.004239250631446145
2023-05-04,-0.007183889564348123
2023-05-05,-0.0010876017844901886
2023-05-06,-0.005874697565745324
2023-05-07,-0.0014541358545118177
2023-05-08,-0.0026452207008751394
2023-05-09,-0.0008174805037557409
2023-05-10,-0.006724749666333074
2023-05-11,0.004129680108192257
2023-05-12,-0.0016873659012696107
2023-05-13,0.002145827253415389
2023-05-14,-0.0019284142971782714
2023-05-15,0.004098184141965611
2023-05-16,0.007758292106678333
2023-05-17,0.002352907058451592
2023-05-18,0.0012376195814030044
2023-05-19,-0.002428383484551211
2023-05-20,0.0012386016686005696
2023-05-21,0.0021216479861465576
2023-05-22,-0.0005935108614349982
2023-05-23,-0.005588794252499807
2023-05-24,0.001873914565971635
2023-05-25,0.0009159435287162676
2023-05-26,-0.00396315616109022
2023-05-27,0.0016563062833196973
2023-05-28,7.60859326356389e-05
2023-05-29,0.005951826960485906
2023-05-30,0.000599407374757055
2023-05-31,0.015617018711332253
2023-06-01,-0.0021577359354916226
2023-06-02,-0.006182983972709777
2023-06-03,0.002372401254870038
2023-06-04,-0.0038452555978503167
2023-06-05,0.014562524874573768
2023-06-06,-0.0006110675202694038
2023-06-07,0.008966334328412318
2023-06-08,-0.002526237564006939
2023-06-09,-0.0006080999717218427
2023-06-10,0.02050151865293315
2023-06-11,0.0017013321406336157
2023-06-12,-0.011196148410332896
2023-06-13,-0.001222738371607135
2023-06-14,-0.008357847863939005
2023-06-15,-0.006325513324905163
2023-06-16,0.014547228336505347
2023-06-17,-0.0012729813873096907
2023-06-18,-0.01212938513555728
2023-06-19,0.0020256235130460265
2023-06-20,-0.0027840591366871115
2023-06-21,0.002274675030948803
2023-06-22,-0.011257812462635908
2023-06-23,0.03350785983833959
2023-06-24,0.007099535527596679
2023-06-25,-0.0016789439485725977
2023-06-26,0.03459612787086952
2023-06-27,-0.005333711492736204
2023-06-28,0.007232999107390503
2023-06-29,0.006841529603163199
2023-06-30,0.011854402735826275
2023-07-01,-0.002028382379742455
2023-07-02,0.015575318690830287
2023-07-03,-0.012035869350620176
2023-07-04,-0.016326528695131848
2023-07-05,0.003810919063409024
2023-07-06,-0.0033072995405394323
2023-07-07,0.005120715263040365
2023-07-08,-0.0007906589567331368
2023-07-09,-0.0075844152560846645
2023-07-10,0.004485903303121042
2023-07-11,-0.005168622221425334
2023-07-12,-0.007856779335521868
2023-07-13,0.0036901761017664736
2023-07-14,-0.008691570059562337
2023-07-15,0.0005322875506916791
2023-07-16,0.004129508309608454
2023-07-17,-0.007420199121305759
2023-07-18,0.0014881943814335497
2023-07-19,0.010142159370119419
2023-07-20,-0.00033612515079062266
2023-07-21,-0.006079723769979117
2023-07-22,-0.0021632804653566318
2023-07-23,-0.005288735163244573
2023-07-24,0.0037743920033694867
2023-07-25,0.0013022328408811568
2023-07-26,0.0034279190769685997
2023-07-27,0.001189412220906405
2023-07-28,-0.0058752358414850825
2023-07-29,-0.0009039243685168286
2023-07-30,0.0035104065578350774
2023-07-31,-0.007035343786514714
2023-08-01,-0.0030359907273347364
2023-08-02,-0.008151436301038983
2023-08-03,-0.0017707188549956898
2023-08-04,0.004889133356405173
2023-08-05,0.0022888130508178506
2023-08-06,-0.01661049026387107
2023-08-07,0.010812389192244032
2023-08-08,-0.0015906764556375963
2023-08-09,-0.0009399155532998638
2023-08-10,-0.004228519898264782
2023-08-11,-0.002737529057649346
2023-08-12,-0.0014529612752743892
2023-08-13,-0.0057971299734389525
2023-08-14,0.006551887421736735
2023-08-15,0.006672040679806424
2023-08-16,0.0073675646547344265
2023-08-17,0.0027249456720574994
2023-08-18,0.004694240843186259
2023-08-19,-0.0025701350048160654
2023-08-20,-2.0651303651142427e-05
2023-08-21,-0.00410567483038482
2023-08-22,0.001245083955484061
2023-08-23,0.006250380478323159
2023-08-24,-0.0026204956454743966
2023-08-25,-0.0009532929978992577
2023-08-26,0.0036145506455518284
2023-08-27,0.003373667943160852
2023-08-28,-0.009805740730198576
2023-08-29,0.01360191235355579
2023-08-30,-0.0021410157500116878
2023-08-31,0.00544470418922427
2023-09-01,-0.001658980866472426
2023-09-02,-0.00319601426912397
2023-09-03,0.015530986466493868
2023-09-04,0.014566984260224958
2023-09-05,-0.0026627960255281025
2023-09-06,0.005745074218897139
2023-09-07,-0.001980194760851761
2023-09-08,-0.007236799273807937
2023-09-09,0.002041086352869037
2023-09-10,0.010789489693389553
2023-09-11,-0.0005408186843584017
2023-09-12,-0.0014276905924605066
2023-09-13,-0.0018292647224809055
2023-09-14,-0.003918776164731019
2023-09-15,0.0024461201748111616
2023-09-16,-0.010580775814228338
2023-09-17,0.0005665422597924685
2023-09-18,0.0016227024369595
2023-09-19,-0.003803994877590533
2023-09-20,-0.0057531545526555705
2023-09-21,-0.00905600122149719
