date,portfolio_value,num_positions,daily_return,log_return
2023-03-02,5000.0,34,,
2023-03-03,4749.036807282818,34,-0.050192638543436474,-0.05149609236381377
2023-03-04,4632.0471528170365,34,-0.024634396239332834,-0.02494290005498213
2023-03-05,4637.544491242328,34,0.001186805367891841,0.0011861016711135922
2023-03-06,4628.841334309972,34,-0.0018766735173736393,-0.0018784366753789963
2023-03-07,4560.223695906258,34,-0.014823933992963778,-0.014934906568163016
2023-03-08,4314.429823467707,33,-0.05389952090709982,-0.055406500884698145
2023-03-09,4061.2604059624196,33,-0.05867969299864606,-0.06047180730422864
2023-03-10,4053.7618015315875,33,-0.0018463737069958075,-0.0018480803559935226
2023-03-11,4000.717483608422,33,-0.013085208386719782,-0.01317157396099661
2023-03-12,4338.812376859836,33,0.08450856493532544,0.08112694884265688
2023-03-13,4574.772451530552,33,0.0543835626378224,0.05295629534055332
2023-03-14,4767.2187003975205,33,0.04206684614501066,0.04120609304418196
2023-03-15,4441.079921615646,33,-0.06841279984798665,-0.07086548070565668
2023-03-16,4575.63260429503,33,0.03029728918511232,0.029847390872647418
2023-03-17,4930.918216015345,33,0.07764732058837431,0.07478025809379776
2023-03-18,4827.813677615788,33,-0.02090980500643458,-0.02113151097767269
2023-03-19,4961.854803106185,33,0.027764353481966264,0.02738591262580681
2023-03-20,4793.321435565954,33,-0.033965799933268204,-0.03455604160053003
2023-03-21,4938.457046187414,33,0.03027871436798879,0.029829362110697356
2023-03-22,4707.933842177316,33,-0.04667919592174352,-0.04780380649796831
2023-03-23,4855.978339444511,33,0.03144574716426507,0.03096145608609854
2023-03-24,4670.606235653037,33,-0.0381739972531836,-0.03892171500099518
2023-03-25,4594.639696406975,33,-0.01626481347671138,-0.016398537535905967
2023-03-26,4709.463167765747,33,0.024990745509068768,0.02468358377797167
2023-03-27,4505.3600160126,33,-0.04333894214316103,-0.04430612178118234
2023-03-28,4629.071236798717,33,0.02745867596516871,0.02708844854072037
2023-03-29,4806.920125041074,33,0.03841999380535577,0.03770032121737409
2023-03-30,4758.8482043490585,33,-0.010000565734718747,-0.010050907302875573
2023-03-31,4880.9309268747,33,0.025653838341402002,0.025330300289127663
2023-04-01,4901.990426678709,33,0.004314648193043169,0.004305366786287787
