Configuration,Entry Window,Exit Window,Volatility Window,Is Original,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Win Rate,Volatility,Avg Long Positions,Avg Short Positions,Avg Total Positions,Avg Net Exposure,Avg Gross Exposure,Final Value,Num Days
Entry_10d_Exit_15d,10,15,20,False,0.2547864374982242,0.04905617302124643,0.1934693590608425,-0.44339600806822393,0.5127167630057804,0.25356042558563074,12.593298671288272,16.99422299248989,29.587521663778162,-0.00462160600808781,0.9572501444251877,12547.864374982242,1731
Entry_15d_Exit_20d,15,20,20,False,0.19208964242745497,0.03788257806927531,0.1496339392034661,-0.4433960080682253,0.5118840579710144,0.2531683538569691,12.589223638470452,17.04055619930475,29.629779837775203,-0.004634994206257242,0.9571263035921205,11920.89642427455,1726
Entry_20d_Exit_30d,20,30,30,False,0.10224780489704645,0.021061431319943535,0.08390134704975345,-0.4666668258437711,0.5055718475073314,0.2510261403485467,12.397420867526378,16.818874560375146,29.216295427901525,-0.0076201641266119575,0.947831184056272,11022.478048970464,1706
Entry_30d_Exit_50d,30,50,30,False,-0.014300704313494679,-0.0031155640785440752,-0.012703828242236138,-0.46666682584377306,0.5050445103857567,0.24524608008992346,12.443653618030842,16.998813760379598,29.44246737841044,-0.00771055753262159,0.9472123368920522,9856.992956865053,1686
Entry_50d_Exit_50d,50,50,30,False,-0.014300704313494679,-0.0031155640785440752,-0.012703828242236138,-0.46666682584377306,0.5050445103857567,0.24524608008992346,12.443653618030842,16.998813760379598,29.44246737841044,-0.00771055753262159,0.9472123368920522,9856.992956865053,1686
Entry_40d_Exit_60d,40,60,30,False,-0.017061434582115544,-0.003743252315017931,-0.015283080334910446,-0.46666682584377084,0.5050746268656716,0.24492787010138198,12.5,17.08532219570406,29.58532219570406,-0.007756563245823389,0.9468973747016707,9829.385654178845,1676
Entry_50d_Exit_60d,50,60,30,False,-0.017061434582115544,-0.003743252315017931,-0.015283080334910446,-0.46666682584377084,0.5050746268656716,0.24492787010138198,12.5,17.08532219570406,29.58532219570406,-0.007756563245823389,0.9468973747016707,9829.385654178845,1676
Entry_70d_Exit_90d,70,90,30,False,-0.03943145207284051,-0.008887357424622322,-0.03656958892002308,-0.4666668258437702,0.5033434650455927,0.24302590450384293,12.667071688942892,17.342041312272176,30.00911300121507,-0.007897934386391251,0.9459295261239368,9605.685479271595,1646
Entry_50d_Exit_70d,50,70,30,True,-0.041693024921255525,-0.009293250159746691,-0.03798243424068081,-0.4666668258437712,0.5045045045045045,0.24467231617801954,12.55702280912365,17.169867947178872,29.726890756302524,-0.0078031212484993995,0.946578631452581,9583.069750787445,1666
Entry_100d_Exit_120d,100,120,30,False,-0.05537687509835996,-0.012793702797813555,-0.05233751506053292,-0.4666668258437716,0.5015479876160991,0.24444612593885126,12.740717821782178,17.60829207920792,30.349009900990097,-0.008044554455445545,0.9449257425742574,9446.2312490164,1616
Entry_50d_Exit_80d,50,80,30,False,-0.07806908083128491,-0.017768588844929267,-0.07271399992528234,-0.4666668258437718,0.5039274924471299,0.2443626930603113,12.614734299516908,17.255434782608695,29.870169082125603,-0.00785024154589372,0.946256038647343,9219.30919168715,1656
Entry_60d_Exit_80d,60,80,30,False,-0.07806908083128491,-0.017768588844929267,-0.07271399992528234,-0.4666668258437718,0.5039274924471299,0.2443626930603113,12.614734299516908,17.255434782608695,29.870169082125603,-0.00785024154589372,0.946256038647343,9219.30919168715,1656
