date,portfolio_value,num_long_positions,num_short_positions,daily_return,log_return
2020-03-01,10000.0,13,1,,
2020-03-02,10497.72809487919,13,1,0.04977280948791907,0.04857376884138421
2020-03-03,10524.300893209584,13,1,0.002531290398286812,0.002528092078859787
2020-03-04,10505.380323843192,13,1,-0.0017977982156135441,-0.0017994161943158614
2020-03-05,10701.508853208492,13,1,0.01866934116798835,0.01849720812485293
2020-03-06,10827.254609268159,13,1,0.011750282860530037,0.011681784349316524
2020-03-07,10766.543341274955,13,1,-0.0056072633538362116,-0.00562304306999113
2020-03-08,10369.651931586968,13,2,-0.03686340147505396,-0.037560030384607285
2020-03-09,10476.976901704918,13,2,0.0103499105684568,0.010296716961955513
2020-03-10,10416.85317064114,13,2,-0.005738652631179786,-0.005755181965931731
2020-03-11,10511.758832844167,13,2,0.009110780448601252,0.009069527662478087
2020-03-12,10442.698198588052,3,2,-0.006569845765518667,-0.006591522194903516
2020-03-13,10952.69013165889,3,2,0.048837180139879255,0.047682103010520144
2020-03-14,10331.249758173119,3,2,-0.05673860631640537,-0.05841184103378716
2020-03-15,10122.048093897401,3,2,-0.020249405364555884,-0.020457234976891066
2020-03-16,10183.258453667422,3,2,0.006047230679226301,0.006029019560792761
2020-03-17,10142.185759328173,3,2,-0.004033354797595035,-0.00404151071090507
2020-03-18,10862.095034310467,3,2,0.07098166924424198,0.06857567576754421
2020-03-19,10877.623002077884,3,2,0.0014295555064072207,0.0014285346647183632
2020-03-20,11264.689706377954,3,2,0.035583757979673614,0.03496528509098224
2020-03-21,11182.394161389424,3,2,-0.007305620228663323,-0.007332436960524556
2020-03-22,10921.619361485671,3,2,-0.02332012234054104,-0.023596339116837062
2020-03-23,11277.940107382745,3,2,0.03262526683118194,0.032104362301353
2020-03-24,11321.351362083999,3,2,0.0038492184111560412,0.003841829125879659
2020-03-25,11243.58043909416,3,2,-0.006869402821495285,-0.006893105781545918
2020-03-26,11152.825631952317,3,3,-0.00807169990319867,-0.008104452437678504
2020-03-27,11043.975271908403,3,3,-0.009759890778894942,-0.009807830693482022
2020-03-28,11068.819566929556,3,3,0.0022495790156600304,0.002247052501139415
2020-03-29,10926.941547486686,3,3,-0.01281780939557109,-0.012900666305301107
2020-03-30,11017.48699925528,3,3,0.008286440572149001,0.00825229651559046
2020-03-31,11213.801591236183,3,3,0.017818454607132495,0.017661566868239123
2020-04-01,11223.645665589853,3,3,0.0008778534445770259,0.0008774683565926781
2020-04-02,11385.742446428314,3,3,0.01444243569942949,0.01433913712574711
2020-04-03,11418.29759628325,3,3,0.002859290907739398,0.0028552109109067875
2020-04-04,11378.831046679517,3,3,-0.0034564302840187633,-0.0034624175395082187
2020-04-05,11281.990437995593,3,3,-0.00851059377599106,-0.008547015674416052
2020-04-06,11543.27872834195,3,3,0.0231597688176004,0.02289565152746764
2020-04-07,11608.184409145575,3,3,0.0056228115365752895,0.0056070625399676525
2020-04-08,11905.315805151451,3,3,0.02559671569067934,0.02527460484946024
2020-04-09,11609.705610615367,3,3,-0.024830101055208775,-0.025143567836995024
2020-04-10,11502.03257997231,3,3,-0.009274398012694252,-0.009317673016169486
2020-04-11,11656.783098954647,3,3,0.013454188892821684,0.01336448499323189
2020-04-12,11799.225124441744,3,3,0.012219668520714766,0.012145611065992348
2020-04-13,11831.245206738915,3,3,0.0027137445009708383,0.00271006894454164
2020-04-14,11492.040861230835,3,3,-0.028670215144799283,-0.029089234105063266
2020-04-15,11470.245381965211,3,3,-0.001896571681984871,-0.0018983724512762368
2020-04-16,11795.526615011046,3,3,0.028358698721238973,0.0279640348886642
2020-04-17,11782.45476991338,3,3,-0.0011082036033075449,-0.0011088181149653778
2020-04-18,11950.252438568037,3,3,0.01424131659585326,0.014140861663632756
2020-04-19,12059.369613774428,3,3,0.009130951481345129,0.009089516380801991
2020-04-20,11955.861138608085,3,3,-0.008583240955490234,-0.008620289115998036
2020-04-21,11998.266101813702,3,3,0.003546792883758254,0.0035405178470047306
2020-04-22,12233.99679425044,3,3,0.01964706320366605,0.019456550951675127
2020-04-23,12378.905082249183,4,3,0.011844721756576249,0.011775122093182563
2020-04-24,12027.341368074412,4,3,-0.02840022698606015,-0.028811315475040438
2020-04-25,11937.090183084849,4,3,-0.007503834989595282,-0.007532130397622246
2020-04-26,11331.006721495389,4,3,-0.05077313250496296,-0.05210744941126129
2020-04-27,11467.419313234397,4,3,0.012038876605750204,0.011966985745743074
2020-04-28,11511.723566909752,4,3,0.0038634894622038285,0.0038560453541199476
2020-04-29,11629.781799153308,7,3,0.010255478387520833,0.010203247765524726
2020-04-30,11474.952071620755,7,3,-0.01331321001601471,-0.013402625286081906
2020-05-01,11539.147113758156,7,3,0.005594362550425336,0.005578772222523674
2020-05-02,11614.869932836335,8,3,0.00656225441375069,0.006540816558254036
2020-05-03,11670.28871281817,8,3,0.004771364664632349,0.004760017783341702
2020-05-04,11570.30199126296,8,3,-0.00856763050303877,-0.00860454363922213
2020-05-05,11653.447288110236,8,3,0.007186095653342495,0.007160398701700914
2020-05-06,11712.811757362922,8,3,0.0050941552130463474,0.005081223901857458
2020-05-07,11852.220224105806,9,3,0.011902220374646388,0.011831946014087475
2020-05-08,11855.790911201193,9,3,0.00030126735985924746,0.0003012219879606752
2020-05-09,11611.964293343404,9,3,-0.020566035592566423,-0.020780461524697154
2020-05-10,11530.429212466343,9,3,-0.0070216441264637774,-0.0070464118779035405
2020-05-11,11609.007587710943,9,3,0.0068148699234582555,0.006791753660875894
2020-05-12,11493.382223001017,9,3,-0.009959969776600408,-0.010009902101866098
2020-05-13,11539.527948422809,9,3,0.004014982232944719,0.004006943700971044
2020-05-14,11643.736076630314,9,3,0.009030536489297969,0.00899000502581028
2020-05-15,11585.057474297086,9,3,-0.0050394995169118495,-0.005052240618477597
2020-05-16,11491.81664304289,9,3,-0.008048370192470955,-0.008080933160753399
2020-05-17,11588.51056691229,9,3,0.00841415477403551,0.00837895309748661
2020-05-18,11622.033261053597,9,3,0.0028927526059321362,0.002888576648515335
2020-05-19,11649.6587954069,9,3,0.0023769966694104916,0.0023741760816282254
2020-05-20,11607.305667290044,9,3,-0.0036355681192615785,-0.0036421928583706604
2020-05-21,11604.113990215888,9,3,-0.00027497139867260767,-0.0002750092102392101
2020-05-22,11625.497602584715,9,3,0.0018427613161036138,0.001841065514455063
2020-05-23,11494.674494017509,9,3,-0.011253119052565985,-0.011316914446402966
2020-05-24,11559.573259124209,9,3,0.005645985464005632,0.005630106627824956
2020-05-25,11513.009532321978,9,3,-0.00402815274910584,-0.004036287609379682
2020-05-26,11534.695576330058,9,3,0.0018836120952734348,0.001881840322550174
2020-05-27,11523.982488049744,9,3,-0.000928770786313371,-0.0009292023611435478
2020-05-28,11582.678512893031,9,3,0.005093380253237578,0.00508045286950839
2020-05-29,11495.268458766745,9,3,-0.0075466183429842015,-0.007575238146599921
2020-05-30,11668.651505983618,10,3,0.015082992436304954,0.014970375098196287
2020-05-31,11593.917429532503,10,3,-0.006404688357758537,-0.0064252863705754224
2020-06-01,11641.885569657874,10,3,0.004137353954512868,0.00412881863995296
2020-06-02,11737.320868020353,10,3,0.008197580863636977,0.008164163202730116
2020-06-03,11676.870315539429,10,3,-0.005150285415271294,-0.005163593849690296
2020-06-04,11481.527071503733,10,2,-0.016729075407794447,-0.016870586846866938
2020-06-05,11220.49338560326,10,2,-0.022735101722517248,-0.022997529321688862
2020-06-06,11287.255277868355,10,2,0.005949996133927105,0.005932364809902367
2020-06-07,11357.851230408356,10,2,0.006254483557080803,0.00623500544960961
2020-06-08,11218.13098393261,10,1,-0.012301644355199315,-0.01237793590208206
2020-06-09,11261.879539693566,11,1,0.0038998078934553426,0.003892223355085807
2020-06-10,11412.398356563646,11,1,0.013365337139290334,0.013276808954544608
